num_images,all,giraffes,zebras
2,990.0,14.0,0.0
3,1193.5,28.0,1827.0
4,3872.0,0.0,3552.0
5,6048.0,52.0,0.0
6,4309.5,87.0,6720.0
7,2208.0,38.0,2407.0
8,2242.5,48.0,2821.0
9,2174.25,96.0,2100.0
10,2898.0,69.0,3547.5
11,2818.75,38.0,3307.5
12,2210.1666666666665,66.66666666666667,2446.1111111111113
13,2311.3846153846152,172.0,2146.6666666666665
14,2912.0,144.0,3058.4285714285716
15,3466.8,102.0,3617.875
16,3283.6363636363635,72.0,3445.3333333333335
17,2886.0,70.5,2910.3846153846152
18,5553.5,72.0,6477.333333333333
19,2373.714285714286,94.0,2242.1052631578946
20,2713.2,100.0,2726.764705882353
21,3656.1875,171.0,3555.714285714286
22,4399.636363636364,106.0,4648.555555555556
23,2498.086956521739,92.0,2528.9
24,2918.913043478261,81.0,3102.1052631578946
25,3529.8947368421054,74.66666666666667,3668.25
26,3394.782608695652,110.0,3357.2
27,2843.4444444444443,144.66666666666666,2762.0416666666665
28,2744.366666666667,162.0,2564.5
29,3542.0,94.4,3890.5263157894738
30,3426.6666666666665,177.0,3269.0
31,4044.521739130435,240.0,3772.3636363636365
32,3793.4285714285716,441.0,3453.3333333333335
33,3373.0666666666666,113.33333333333333,3264.6666666666665
34,3122.7586206896553,106.75,3164.04
35,3097.1875,173.33333333333334,2955.103448275862
36,3266.0,120.0,3141.7586206896553
37,3114.1714285714284,165.66666666666666,2936.71875
38,4829.166666666667,148.0,5239.473684210527
39,3291.279069767442,146.0,3165.974358974359
40,3231.7894736842104,140.0,3136.0
41,3393.2894736842104,126.0,3414.6666666666665
42,3003.0697674418607,189.33333333333334,2802.8
43,3592.5405405405404,103.6,3641.3125
44,3672.0,132.0,3614.9142857142856
45,3240.9333333333334,131.25,3138.560975609756
46,3102.127659574468,189.33333333333334,2921.4545454545455
47,3015.5576923076924,121.5,2964.1304347826085
48,3376.487804878049,109.5,3323.189189189189
49,2754.1666666666665,210.66666666666666,2544.4313725490197
50,2917.8214285714284,138.25,2754.0
51,3890.4615384615386,98.66666666666667,4053.757575757576
52,3257.1,130.0,3081.404255319149
53,2988.6612903225805,146.66666666666666,2868.535714285714
54,3032.5714285714284,109.2,2938.235294117647
55,3515.918367346939,171.0,3354.5555555555557
56,3985.2,148.0,3885.3658536585367
57,3367.9636363636364,160.0,3206.0
58,3348.222222222222,182.0,3251.625
59,3950.8,154.0,3933.075
60,3377.40350877193,126.66666666666667,3336.921568627451
61,3595.0689655172414,180.4,3451.9245283018868
62,3641.1071428571427,176.0,3500.705882352941
63,3555.1964285714284,192.0,3414.3529411764707
64,3366.3793103448274,161.33333333333334,3258.4615384615386
65,3654.2105263157896,197.5,3454.5283018867926
66,2899.4736842105262,168.0,2778.3478260869565
67,3961.4814814814813,151.2,3849.3061224489797
68,3779.3684210526317,184.16666666666666,3665.4901960784314
69,3884.375,217.5,3683.076923076923
70,3259.7014925373132,207.5,3067.4285714285716
71,3577.2698412698414,161.33333333333334,3444.7368421052633
72,3333.820895522388,144.0,3258.75
73,3367.6521739130435,174.0,3165.753846153846
74,3097.0,172.71428571428572,2966.8676470588234
