num_images,all,giraffes,zebras
2,420.0,0.0,338.0
3,987.5,28.0,1610.0
4,1341.6666666666667,15.0,1700.0
5,2516.0,16.0,3325.0
6,1652.4,23.0,1825.0
7,4806.0,93.0,7599.0
8,1943.3333333333333,43.5,2491.0
9,2939.4,48.0,4026.0
10,3495.2,185.0,3622.5
11,2177.777777777778,82.0,2125.0
12,5206.0,63.0,8723.5
13,2214.6666666666665,114.0,2047.7272727272727
14,2709.818181818182,92.0,2786.6666666666665
15,2147.0,90.0,2254.6666666666665
16,2570.285714285714,80.0,2754.0
17,2602.75,75.0,2765.5384615384614
18,2716.0,86.0,2755.0
19,2514.3333333333335,72.0,2497.5
20,3729.0,102.0,3824.909090909091
21,2268.818181818182,92.0,2188.8
22,3454.4117647058824,114.0,3565.9285714285716
23,2707.478260869565,106.0,2679.95
24,3673.8333333333335,106.0,3475.0
25,4018.235294117647,147.5,3963.4
26,2340.375,100.0,2231.689655172414
27,3161.217391304348,174.0,3006.6666666666665
28,3213.8076923076924,118.0,3379.5238095238096
29,2338.848484848485,106.75,2296.4827586206898
30,4198.0952380952385,147.0,4258.5
31,3652.0,113.33333333333333,3622.909090909091
32,3898.6666666666665,175.0,3726.5454545454545
33,3383.3076923076924,105.0,3351.608695652174
34,2928.6666666666665,100.5,2778.176470588235
35,3150.8333333333335,172.66666666666666,2966.818181818182
36,2833.4210526315787,120.6,2832.0
37,3172.205882352941,134.0,3048.7741935483873
38,3664.8571428571427,201.0,3504.125
39,3003.7,340.0,2737.6666666666665
40,3672.0,81.25,3746.6785714285716
41,3823.529411764706,231.0,3552.5
42,3488.027777777778,213.0,3293.3333333333335
43,2791.4893617021276,140.0,2697.5
44,3270.139534883721,131.4,3229.4736842105262
45,2926.122448979592,136.8,2828.068181818182
46,3243.183673469388,234.0,3013.6304347826085
47,3334.409090909091,167.2,3269.3333333333335
48,3702.1111111111113,197.5,3562.1463414634145
49,3412.1666666666665,154.0,3284.068181818182
50,3984.0,177.33333333333334,3794.885714285714
51,3966.439024390244,182.4,3905.5
52,4174.5,256.6666666666667,3937.7297297297296
53,3185.309090909091,142.2,3077.44
54,3280.277777777778,160.0,3159.5102040816328
55,3531.92,250.0,3303.574468085106
56,3294.9454545454546,148.0,3186.02
57,3225.6923076923076,166.0,3117.255319148936
58,3238.3333333333335,184.8,3081.309090909091
59,3193.27868852459,182.25,3009.842105263158
60,3307.5593220338983,166.0,3182.490566037736
61,3327.9322033898306,158.0,3173.6181818181817
62,3499.1186440677966,180.4,3352.6296296296296
63,3551.3818181818183,207.5,3349.0196078431372
64,3322.7118644067796,294.0,3036.0
65,3778.9655172413795,162.0,3577.9636363636364
66,3176.625,174.0,3017.5423728813557
67,3405.344262295082,166.0,3300.072727272727
68,3490.1311475409834,312.0,3226.6271186440677
69,3660.032786885246,169.4,3519.75
70,3676.1666666666665,161.33333333333334,3573.777777777778
71,3549.377049180328,164.0,3454.690909090909
72,4007.1724137931033,184.0,3853.3584905660377
73,3460.6153846153848,176.0,3329.084745762712
74,3549.9692307692308,293.3333333333333,3282.1935483870966
