num_images,all,giraffes,zebras
2,546.0,13.0,34680.0
3,1039.5,18.0,34680.0
4,1279.3333333333333,24.0,2808.0
5,1361.25,25.0,2085.5
6,1887.0,30.0,3038.0
7,2392.5,68.0,3699.0
8,1984.0,87.5,2322.75
9,2310.0,92.5,2729.75
10,2796.0,97.5,3383.5
11,3198.0,100.0,3905.5
12,3205.714285714286,102.5,3696.0
13,3092.75,107.5,3416.0
14,2812.8,110.0,2934.75
15,3110.0,112.5,3265.625
16,3434.4,117.5,3610.75
17,3696.0,125.0,3898.125
18,4036.5,130.0,4262.5
19,3970.909090909091,130.0,4127.222222222223
20,3957.6666666666665,130.0,4069.8
21,4202.666666666667,130.0,4341.9
22,3819.0,88.33333333333333,4189.090909090909
23,4061.1428571428573,91.66666666666667,4449.454545454545
24,4259.357142857143,96.66666666666667,4666.909090909091
25,3733.764705882353,90.0,4169.0
26,3933.0,90.0,4410.0
27,4101.882352941177,91.5,4615.384615384615
28,3889.4210526315787,106.75,4229.866666666667
29,3862.2,106.75,4160.5
30,3541.6521739130435,112.0,3683.3684210526317
31,3439.24,132.0,3496.4285714285716
32,3561.24,132.0,3629.4761904761904
33,3498.4444444444443,124.2,3648.7272727272725
34,3399.310344827586,151.8,3463.5416666666665
35,3304.451612903226,156.2,3320.3846153846152
36,3212.2727272727275,132.0,3331.740740740741
37,3320.909090909091,137.5,3432.777777777778
38,3396.757575757576,139.33333333333334,3511.4444444444443
39,3479.4848484848485,141.16666666666666,3598.0
40,3586.3333333333335,141.16666666666666,3717.037037037037
41,3529.114285714286,143.0,3616.310344827586
42,3680.8,144.83333333333334,3777.5172413793102
43,3703.3333333333335,160.0,3762.0
44,3826.6666666666665,160.0,3897.9
45,3630.4615384615386,148.57142857142858,3746.25
46,3709.4871794871797,150.42857142857142,3828.625
47,3646.9756097560976,150.42857142857142,3734.823529411765
48,3546.860465116279,150.42857142857142,3605.1666666666665
49,3480.088888888889,150.42857142857142,3514.8947368421054
50,3438.191489361702,154.14285714285714,3441.9
51,3466.8333333333335,157.85714285714286,3465.170731707317
52,3431.5102040816328,157.85714285714286,3422.0
53,3226.740740740741,157.85714285714286,3176.8936170212764
54,3202.327272727273,157.85714285714286,3146.5833333333335
55,3223.625,157.85714285714286,3165.6326530612246
56,3287.5,159.71428571428572,3227.1428571428573
57,3343.8571428571427,159.71428571428572,3288.612244897959
58,3380.1428571428573,159.71428571428572,3327.4285714285716
59,3339.310344827586,141.375,3335.86
60,3402.5423728813557,141.375,3398.372549019608
61,3385.6,141.375,3376.153846153846
62,3384.590163934426,143.0,3365.2075471698113
63,3436.4918032786886,154.0,3408.1509433962265
64,3462.590163934426,154.0,3436.0943396226417
65,3449.2258064516127,154.0,3417.6111111111113
66,3481.7619047619046,146.66666666666666,3498.6111111111113
67,3452.8125,146.66666666666666,3462.5454545454545
68,3481.1875,146.66666666666666,3492.690909090909
69,3528.0,146.66666666666666,3543.2727272727275
70,3527.4461538461537,146.66666666666666,3537.5
71,3504.179104477612,151.66666666666666,3488.5344827586205
72,3479.205882352941,151.66666666666666,3458.593220338983
73,3466.4347826086955,151.66666666666666,3441.6
74,3441.214285714286,151.66666666666666,3411.1475409836066
