num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,1950.0,0.0,1875.0
7,1415.5,0.0,1349.0
8,1630.0,0.0,1540.0
9,2353.0,0.0,2236.0
10,1624.0,0.0,1544.0
11,1870.0,0.0,1768.0
12,1864.2,0.0,1762.8
13,2066.4,0.0,1959.8
14,2251.2,0.0,2142.0
15,2476.8,0.0,2339.2
16,2361.3333333333335,0.0,2215.6666666666665
17,2353.285714285714,0.0,2171.4285714285716
18,2473.714285714286,0.0,2287.714285714286
19,2533.1428571428573,0.0,2346.0
20,2485.0,0.0,2310.0
21,2220.0,0.0,2076.8
22,2280.0,0.0,2135.8
23,2522.0,0.0,2368.0
24,2760.8,0.0,2599.6
25,2912.0,0.0,2746.2
26,2977.818181818182,54.0,3048.8
27,3167.181818181818,54.0,3249.4
28,3265.4545454545455,54.0,3354.0
29,3414.181818181818,54.0,3512.0
30,3709.3636363636365,56.0,3825.0
31,3630.0,62.0,3712.0
32,3908.8333333333335,64.0,3997.818181818182
33,3797.923076923077,66.0,3855.4166666666665
34,4063.3076923076924,68.0,4125.0
35,4345.846153846154,68.0,4418.75
36,4127.142857142857,68.0,4174.7692307692305
37,4320.0,70.0,4366.153846153846
38,4253.333333333333,70.0,4283.142857142857
39,4187.3125,72.0,4196.4
40,4346.25,72.0,4360.0
41,3850.1052631578946,108.0,3795.777777777778
42,3789.5,111.0,3723.1052631578946
43,3820.9523809523807,111.0,3750.6
44,4006.6666666666665,126.0,3904.5
45,4060.0,129.0,3952.45
46,4347.0,132.0,4233.6
47,4368.0,132.0,4255.2
48,4351.545454545455,135.0,4228.571428571428
49,4159.166666666667,138.0,4024.695652173913
50,4075.72,184.0,3914.25
51,3730.8214285714284,188.0,3565.0
52,3912.5714285714284,196.0,3733.3333333333335
53,3971.785714285714,200.0,3786.4814814814813
54,3909.5862068965516,204.0,3720.214285714286
55,3811.7419354838707,204.0,3623.2
56,3741.125,220.0,3543.548387096774
57,3722.6666666666665,240.0,3509.875
58,3659.735294117647,240.0,3449.5151515151515
59,3605.7714285714287,122.0,3495.818181818182
60,3697.5714285714284,124.0,3582.909090909091
61,3685.1111111111113,124.0,3568.235294117647
62,3745.8333333333335,126.0,3623.9411764705883
63,3754.4594594594596,132.0,3615.4285714285716
64,3804.5135135135133,132.0,3665.2
65,3744.6052631578946,132.0,3604.9444444444443
66,3619.2,132.0,3478.0
67,3572.8536585365855,132.0,3431.076923076923
68,3666.121951219512,134.0,3518.5384615384614
69,3703.3333333333335,134.0,3554.1
70,3740.4418604651164,134.0,3589.6341463414633
71,3698.222222222222,134.0,3545.6744186046512
72,3613.8297872340427,134.0,3460.4
73,3682.808510638298,136.0,3523.866666666667
74,3727.659574468085,136.0,3569.0
