num_images,all,giraffes,zebras
2,168.0,1770.0,160.0
3,488.0,1770.0,472.0
4,880.0,1770.0,847.0
5,728.0,1770.0,700.0
6,1143.0,1770.0,1098.0
7,1554.0,1770.0,1470.0
8,1711.5,1770.0,1596.0
9,2325.0,1770.0,2187.5
10,3296.0,1770.0,3088.0
11,3646.5,1770.0,3399.0
12,2951.3333333333335,1770.0,2761.3333333333335
13,3485.0,1770.0,3252.6666666666665
14,3766.0,1770.0,3514.0
15,3243.0,1770.0,3036.0
16,2822.4,1770.0,2630.4
17,3060.0,1770.0,2860.0
18,3456.0,1770.0,3240.0
19,3192.0,1770.0,2992.5
20,3306.0,1770.0,3106.5
21,2866.5,1770.0,2701.125
22,3008.0,1770.0,2824.0
23,3144.375,1770.0,2949.375
24,3267.0,1770.0,3052.5
25,3434.0,1770.0,3213.0
26,2891.0,37.0,2967.0
27,2813.818181818182,37.0,2865.6
28,2880.181818181818,37.0,2937.6
29,2818.3333333333335,37.0,2856.818181818182
30,3033.3333333333335,37.0,3081.0
31,2998.153846153846,38.0,3022.5833333333335
32,3088.6153846153848,39.0,3112.5
33,2809.3333333333335,39.0,2805.0
34,2761.0,41.0,2737.6
35,2722.3529411764707,41.0,2695.0
36,2879.0588235294117,43.0,2843.75
37,2795.5789473684213,43.0,2748.3333333333335
38,2623.809523809524,45.0,2559.15
39,2688.5238095238096,47.0,2615.0
40,2862.0,47.0,2787.75
41,2945.0476190476193,49.0,2862.0
42,2925.0,51.0,2828.809523809524
43,2812.0,51.0,2712.0
44,2723.076923076923,52.0,2616.12
45,2852.923076923077,52.0,2744.28
46,2861.1111111111113,52.0,2751.846153846154
47,2897.8928571428573,53.0,2782.814814814815
48,2712.3870967741937,54.0,2593.8
49,2809.6774193548385,54.0,2711.266666666667
50,2858.1875,56.0,2748.6129032258063
51,2858.4545454545455,58.0,2740.6875
52,2940.0,118.0,2796.121212121212
53,2952.8571428571427,118.0,2809.0882352941176
54,3038.1428571428573,118.0,2892.470588235294
55,3063.4444444444443,118.0,2915.714285714286
56,3128.8888888888887,118.0,2980.114285714286
57,3041.2368421052633,122.0,2894.108108108108
58,3020.769230769231,124.0,2870.0
59,2989.512195121951,126.0,2834.975
60,2959.9285714285716,128.0,2802.9268292682927
61,2965.139534883721,130.0,2805.2380952380954
62,2942.181818181818,132.0,2780.0697674418607
63,3047.7272727272725,132.0,2880.6511627906975
64,3054.4,132.0,2886.409090909091
65,3065.1739130434785,132.0,2897.4666666666667
66,2981.877551020408,134.0,2813.2708333333335
67,3076.0,136.0,2900.625
68,3088.0,136.0,2912.8125
69,3031.823529411765,140.0,2851.2
70,3045.5384615384614,144.0,2857.3529411764707
71,3137.5384615384614,219.0,2928.0
72,3146.830188679245,219.0,2937.8076923076924
73,3158.6603773584907,222.0,2945.769230769231
74,3235.188679245283,222.0,3018.923076923077
