num_images,all,giraffes,zebras
2,397.5,16.0,34680.0
3,869.0,30.0,34680.0
4,986.0,34.5,2054.0
5,1439.3333333333333,39.0,3131.0
6,2156.0,45.0,4797.0
7,2873.0,46.5,6624.0
8,2122.8,51.0,2731.6666666666665
9,2155.8333333333335,54.0,2526.5
10,2737.5,57.0,3290.0
11,2651.0,57.0,3019.2
12,2333.222222222222,58.5,2457.1428571428573
13,2610.0,61.5,2760.0
14,2697.8,63.0,2798.25
15,2425.5,66.0,2413.0
16,2704.0,66.0,2716.9
17,2226.0,66.0,2141.0714285714284
18,2220.0,88.0,2102.5
19,2371.1666666666665,92.0,2246.125
20,2555.0,94.0,2432.375
21,2456.25,80.0,2431.0588235294117
22,2541.0,83.33333333333333,2510.1176470588234
23,2726.3,104.0,2673.9411764705883
24,2752.095238095238,126.0,2670.0
25,2864.8636363636365,130.66666666666666,2765.2631578947367
26,2984.7272727272725,135.33333333333334,2877.1052631578946
27,2973.521739130435,147.0,2876.2
28,2895.08,128.0,2887.7619047619046
29,2922.769230769231,132.0,2893.090909090909
30,2868.185185185185,134.0,2820.521739130435
31,3012.5925925925926,134.0,2974.521739130435
32,3197.296296296296,136.0,3163.695652173913
33,3249.214285714286,138.0,3203.9583333333335
34,3233.793103448276,138.0,3178.56
35,3204.0,127.8,3220.0384615384614
36,3201.875,127.8,3208.740740740741
37,3348.75,135.0,3365.259259259259
38,3213.294117647059,135.0,3200.689655172414
39,3303.529411764706,135.0,3296.689655172414
40,3320.0,125.0,3400.344827586207
41,3269.945945945946,141.16666666666666,3294.967741935484
42,3390.324324324324,141.16666666666666,3426.8387096774195
43,3392.657894736842,143.0,3418.75
44,3530.5263157894738,144.83333333333334,3563.625
45,3510.948717948718,144.83333333333334,3533.212121212121
46,3556.85,144.83333333333334,3572.823529411765
47,3549.8536585365855,144.83333333333334,3556.714285714286
48,3625.756097560976,148.5,3627.0
49,3717.6585365853657,148.5,3725.4285714285716
50,3773.4634146341464,150.33333333333334,3780.342857142857
51,3748.809523809524,150.33333333333334,3745.777777777778
52,3773.0232558139537,152.16666666666666,3756.837837837838
53,3864.279069767442,154.0,3847.6486486486488
54,3845.340909090909,154.0,3819.4736842105262
55,3746.9565217391305,157.66666666666666,3691.275
56,3675.0,157.66666666666666,3618.4761904761904
57,3715.9375,157.66666666666666,3662.3571428571427
58,3686.8,157.66666666666666,3619.318181818182
59,3736.12,159.5,3665.4545454545455
60,3670.6153846153848,159.5,3589.1304347826085
61,3630.0,159.5,3542.872340425532
62,3677.5471698113206,159.5,3592.531914893617
63,3571.7090909090907,161.33333333333334,3469.8367346938776
64,3622.909090909091,161.33333333333334,3523.265306122449
65,3625.6071428571427,161.33333333333334,3521.76
66,3671.785714285714,161.33333333333334,3569.72
67,3675.9473684210525,180.0,3547.0588235294117
68,3666.0,180.0,3533.423076923077
69,3643.864406779661,186.0,3502.6415094339623
70,3563.27868852459,188.0,3410.0
71,3576.483870967742,188.0,3420.0
72,3632.3225806451615,188.0,3476.8571428571427
73,3671.3548387096776,203.66666666666666,3504.3571428571427
74,3631.873015873016,203.66666666666666,3462.8070175438597
