num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,2400.0,12.0,0.0
4,1224.0,14.0,1540.0
5,1250.5,17.0,1400.0
6,1430.0,20.0,1568.0
7,1902.4,23.0,2080.5
8,1488.0,27.0,1494.0
9,1872.625,28.0,1900.0
10,1925.6,32.0,1886.0
11,2115.6,34.0,2068.3333333333335
12,2403.0,38.0,2353.5555555555557
13,2232.5,39.0,2153.4545454545455
14,2499.0,40.0,2425.0
15,2686.0,41.0,2607.6363636363635
16,2834.769230769231,45.0,2731.6666666666665
17,3060.769230769231,46.0,2954.5
18,2952.4,92.0,2811.4285714285716
19,2838.0,141.0,2661.75
20,3042.5882352941176,147.0,2865.625
21,3136.764705882353,153.0,2945.25
22,3143.3333333333335,153.0,2954.1176470588234
23,3045.6,153.0,2857.1052631578946
24,3010.0,208.0,2795.65
25,2895.6521739130435,212.0,2681.090909090909
26,2772.36,216.0,2557.8333333333335
27,2945.12,224.0,2727.0833333333335
28,3009.4615384615386,152.5,2858.7083333333335
29,2940.3928571428573,152.5,2785.153846153846
30,2811.0333333333333,183.0,2637.1071428571427
31,2878.451612903226,183.0,2702.4137931034484
32,2885.625,186.0,2702.8
33,2809.5882352941176,186.0,2627.34375
34,2878.3823529411766,189.0,2690.59375
35,2835.0,192.0,2642.735294117647
36,2730.923076923077,195.0,2535.4594594594596
37,2671.512195121951,132.0,2538.2894736842104
38,2709.5238095238096,132.0,2576.7179487179487
39,2832.3333333333335,140.0,2682.230769230769
40,2809.090909090909,140.0,2658.5365853658536
41,2801.413043478261,140.0,2647.6744186046512
42,2873.7391304347825,140.0,2720.232558139535
43,2965.217391304348,140.0,2811.860465116279
44,2984.404255319149,142.0,2825.931818181818
45,3086.2340425531916,142.0,2928.25
46,3133.7872340425533,142.0,2976.818181818182
47,3021.48,146.0,2853.191489361702
48,2902.188679245283,146.0,2734.6
49,2791.285714285714,146.0,2624.1509433962265
50,2778.1754385964914,146.0,2610.925925925926
51,2813.793103448276,146.0,2646.327272727273
52,2770.9,152.0,2596.0
53,2783.3606557377047,152.0,2608.396551724138
54,2822.9508196721313,156.0,2640.0
55,2824.0,138.25,2671.7758620689656
56,2788.453125,140.0,2635.2
57,2819.25,141.75,2662.3333333333335
58,2861.46875,162.0,2693.7
59,2903.296875,162.0,2734.85
60,2961.5625,162.0,2793.0
61,2990.107692307692,162.0,2832.7868852459014
62,3006.2923076923075,162.0,2849.5737704918033
63,2992.0,162.0,2833.714285714286
64,3004.0,162.0,2846.1428571428573
65,3034.4776119402986,162.0,2876.3015873015875
66,2967.0285714285715,182.25,2797.030303030303
67,2993.5714285714284,182.25,2823.7272727272725
68,3038.1428571428573,182.25,2867.7272727272725
69,2953.4246575342468,182.25,2783.072463768116
70,3000.5753424657532,202.5,2819.4202898550725
71,3011.178082191781,202.5,2829.710144927536
72,3041.301369863014,202.5,2860.0
73,2988.6266666666666,178.2,2837.2714285714287
74,2951.064935064935,178.2,2799.3055555555557
75,2948.3333333333335,178.2,2796.1643835616437
