num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,1972.0,15.0,0.0
5,2814.0,28.5,0.0
6,1749.0,42.0,1960.0
7,3023.6666666666665,21.0,3956.0
8,4107.333333333333,46.0,5280.5
9,3752.0,38.0,4290.0
10,2694.8571428571427,58.5,3174.0
11,2466.75,42.666666666666664,3330.0
12,4146.4,44.0,4462.5
13,2733.3333333333335,86.33333333333333,3375.0
14,4905.0,195.0,5005.2
15,3296.5,220.0,3120.0
16,3874.8888888888887,55.5,4342.0
17,2800.0,165.0,2638.4615384615386
18,2688.4285714285716,175.0,2588.75
19,2350.4,114.33333333333333,2360.294117647059
20,2397.0,125.0,2298.0
21,3576.125,116.66666666666667,3731.846153846154
22,2840.5,208.0,2619.4736842105262
23,4808.7692307692305,285.0,4488.75
24,3426.315789473684,180.0,3143.3888888888887
25,2944.5,114.0,2913.809523809524
26,3528.7,232.0,3239.3684210526317
27,2747.5,183.33333333333334,2616.6
28,2946.6666666666665,105.0,2790.48
29,2958.75,206.5,2773.766666666667
30,3206.6785714285716,74.66666666666667,3211.0
31,3295.862068965517,612.0,2898.0
32,2981.5,96.0,2960.8571428571427
33,3575.1428571428573,128.0,3614.8333333333335
34,3029.472222222222,149.33333333333334,2877.090909090909
35,2808.4444444444443,142.0,2663.3939393939395
36,2948.3142857142857,124.0,2944.766666666667
37,3638.25,248.5,3374.3333333333335
38,2964.7179487179487,94.5,3066.181818181818
39,3418.3125,110.6,3481.8518518518517
40,3243.162162162162,148.0,3098.294117647059
41,3495.3333333333335,198.0,3346.6
42,3296.975,129.6,3274.285714285714
43,3023.1627906976746,172.5,2884.2820512820513
44,3543.3076923076924,177.5,3427.6
45,3942.162162162162,171.0,3849.151515151515
46,3017.6470588235293,148.0,2914.5652173913045
47,3436.214285714286,135.0,3410.2162162162163
48,3703.0975609756097,146.0,3541.842105263158
49,2912.0,288.0,2680.346153846154
50,3205.7872340425533,154.0,3025.568181818182
51,3517.318181818182,140.4,3484.102564102564
52,3346.204081632653,205.33333333333334,3146.608695652174
53,3537.8,234.0,3323.0425531914893
54,3615.31914893617,162.0,3512.3720930232557
55,3530.0,218.66666666666666,3294.4
56,3501.76,231.0,3312.8478260869565
57,3273.8490566037735,135.0,3190.6875
58,2948.1290322580644,143.0,2853.714285714286
59,3480.8571428571427,217.25,3272.653846153846
60,3557.2115384615386,164.0,3435.0
61,3139.032786885246,151.2,2987.1428571428573
62,3584.0,196.8,3440.8979591836733
63,3518.6666666666665,166.0,3411.918367346939
64,3894.529411764706,213.33333333333334,3652.6875
65,3390.483870967742,195.75,3184.5689655172414
66,3681.7894736842104,198.0,3514.0
67,3659.3275862068967,159.71428571428572,3628.235294117647
68,3244.0597014925374,190.66666666666666,3092.4262295081967
69,3521.375,205.33333333333334,3281.967213114754
70,3235.1944444444443,189.2,3056.507462686567
71,3297.4117647058824,190.66666666666666,3146.5806451612902
72,3343.073529411765,182.0,3184.6129032258063
73,3432.9545454545455,234.66666666666666,3190.3809523809523
74,3438.716417910448,217.5,3237.0
