GID,Shares,Not Shares,Total,Proportion,tags
7768,10,0,10,100.0,"['grass', 'zebra', 'outdoor', 'sky', 'animal', 'standing', 'mammal', 'field']"
2151,10,0,10,100.0,"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'grassy', 'dry']"
9019,10,0,10,100.0,"['ground', 'outdoor', 'zebra', 'animal', 'grass', 'mammal', 'road', 'dirt', 'walking']"
6430,10,0,10,100.0,"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'grassy', 'baby', 'adult']"
8838,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'field', 'mammal', 'zebra', 'standing', 'grassy']"
1909,10,0,10,100.0,"['outdoor', 'animal', 'grass', 'aquatic bird', 'bird', 'ground', 'stork', 'standing', 'ibis']"
678,9,0,9,100.0,"['grass', 'outdoor', 'bird', 'aquatic bird', 'standing', 'animal', 'field', 'tall', 'heron', 'grassy']"
5766,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'mammal', 'field', 'rhinoceros', 'group']"
5777,10,0,10,100.0,"['tree', 'outdoor', 'grass', 'animal', 'bovine', 'mammal', 'cow', 'standing', 'wooded']"
390,10,0,10,100.0,"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy']"
1971,10,0,10,100.0,"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'group']"
2695,9,0,9,100.0,"['zebra', 'grass', 'outdoor', 'ground', 'animal', 'mammal', 'field', 'standing', 'dirt']"
672,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'field', 'mammal', 'mountain', 'brown', 'herd', 'tall', 'grassy', 'group']"
6686,10,0,10,100.0,"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing', 'grassy', 'open']"
8324,19,0,19,100.0,"['giraffe', 'outdoor', 'tree', 'sky', 'animal', 'mammal', 'standing']"
6663,10,0,10,100.0,"['zebra', 'outdoor', 'grass', 'animal', 'mammal', 'field', 'baby', 'mother']"
2131,10,0,10,100.0,"['animal', 'bird', 'outdoor', 'grass', 'stork', 'aquatic bird', 'standing', 'black']"
2144,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'bird', 'standing', 'field', 'aquatic bird', 'stork']"
2514,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'field', 'rhinoceros', 'mammal', 'brown', 'tall', 'grassy', 'open']"
9184,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'field', 'rhinoceros', 'mammal', 'standing']"
509,9,0,9,100.0,"['outdoor', 'sky', 'giraffe', 'grass', 'tree', 'animal', 'field', 'mammal', 'standing', 'grassy', 'hill']"
5019,20,0,20,100.0,"['grass', 'outdoor', 'giraffe', 'sky', 'animal', 'mammal', 'field', 'standing', 'grassy', 'open', 'plain']"
1060,10,0,10,100.0,"['giraffe', 'outdoor', 'grass', 'sky', 'tree', 'field', 'animal', 'mammal', 'standing', 'grassy', 'tall']"
1712,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'rhinoceros', 'mammal', 'field', 'baby', 'standing', 'adult']"
3261,10,0,10,100.0,"['tree', 'zebra', 'outdoor', 'grass', 'mammal', 'animal', 'grazing', 'standing', 'field', 'eating']"
913,10,0,10,100.0,"['outdoor', 'giraffe', 'grass', 'sky', 'tree', 'animal', 'mammal', 'standing', 'field', 'grassy', 'tall']"
3337,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'mammal', 'field', 'sky', 'giraffe', 'grassy', 'green', 'open']"
3253,10,0,10,100.0,"['tree', 'zebra', 'grass', 'outdoor', 'animal', 'mammal', 'standing', 'field']"
3260,10,0,10,100.0,"['zebra', 'tree', 'outdoor', 'mammal', 'grass', 'animal', 'grazing', 'field', 'standing']"
7748,10,0,10,100.0,"['outdoor', 'grass', 'tree', 'sky', 'giraffe', 'standing', 'animal', 'field', 'mammal', 'grassy', 'tall']"
5005,20,0,20,100.0,"['grass', 'zebra', 'outdoor', 'sky', 'animal', 'field', 'standing', 'mammal', 'grassy']"
3289,10,0,10,100.0,"['zebra', 'outdoor', 'tree', 'grass', 'mammal', 'animal', 'standing', 'grazing', 'field', 'eating']"
896,10,0,10,100.0,"['outdoor', 'grass', 'giraffe', 'sky', 'tree', 'field', 'animal', 'standing', 'mammal', 'grassy']"
5284,10,0,10,100.0,"['outdoor', 'tree', 'ground', 'animal', 'mammal', 'big cat', 'lion', 'dirt']"
9094,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'bird', 'field', 'bustard']"
3274,10,0,10,100.0,"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'grassy']"
1062,10,0,10,100.0,"['giraffe', 'outdoor', 'sky', 'animal', 'grass', 'mammal', 'field', 'standing', 'grassy']"
5209,10,0,10,100.0,"['zebra', 'tree', 'outdoor', 'grass', 'standing', 'mammal', 'animal', 'field']"
329,10,0,10,100.0,"['grass', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy']"
6653,10,0,10,100.0,"['grass', 'outdoor', 'zebra', 'animal', 'sky', 'field', 'mammal', 'mountain', 'grassy', 'open']"
5011,10,0,10,100.0,"['grass', 'outdoor', 'zebra', 'animal', 'sky', 'mammal', 'field', 'standing', 'grassy']"
450,10,0,10,100.0,"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'group', 'wild']"
1332,19,0,19,100.0,"['giraffe', 'outdoor', 'grass', 'tree', 'sky', 'animal', 'mammal', 'zebra', 'field', 'standing', 'group', 'herd', 'grassy']"
4880,10,0,10,100.0,"['grass', 'outdoor', 'cow', 'field', 'sky', 'animal', 'bovine', 'mammal', 'tall', 'standing', 'grassy']"
787,10,0,10,100.0,"['grass', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'zebra', 'tall', 'grassy', 'open']"
1532,10,0,10,100.0,"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing', 'open', 'grassy']"
546,10,0,10,100.0,"['zebra', 'grass', 'outdoor', 'tree', 'mammal', 'animal', 'field', 'standing']"
3091,10,0,10,100.0,"['grass', 'outdoor', 'giraffe', 'animal', 'tree', 'mammal', 'field', 'standing', 'grassy']"
1715,10,0,10,100.0,"['grass', 'rhinoceros', 'animal', 'outdoor', 'field', 'mammal', 'open', 'dry', 'grassy', 'baby']"
172,10,0,10,100.0,"['grass', 'outdoor', 'rhinoceros', 'animal', 'field', 'mammal', 'grassy', 'group']"
1731,10,0,10,100.0,"['giraffe', 'grass', 'outdoor', 'animal', 'mammal', 'tree', 'field', 'standing', 'tall', 'wild', 'grassy']"
1732,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'tree', 'giraffe', 'mammal', 'field', 'standing', 'tall']"
3079,10,0,10,100.0,"['grass', 'outdoor', 'tree', 'mammal', 'animal', 'field', 'standing', 'bovine']"
7956,10,0,10,100.0,"['zebra', 'grass', 'outdoor', 'mammal', 'animal', 'standing', 'field']"
178,10,0,10,100.0,"['grass', 'outdoor', 'animal', 'rhinoceros', 'mammal', 'sky', 'field', 'grassy', 'open']"
5712,10,0,10,100.0,"['grass', 'outdoor', 'giraffe', 'animal', 'field', 'mammal', 'standing', 'grassy']"
182,10,0,10,100.0,"['grass', 'outdoor', 'sky', 'mammal', 'animal', 'rhinoceros', 'field', 'grassy']"
