AID,GID,Album,Shared,Not Shared,Proportion,AGE,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
16167,546,photo_album_20,10,0,100,infant,0,____,-16167,poor,UNKNOWN NAME,zebra_plains,frontleft
16168,546,photo_album_20,10,0,100,infant,0,____,-16168,ok,UNKNOWN NAME,zebra_plains,right
16169,546,photo_album_20,10,0,100,infant,0,____,-16169,poor,UNKNOWN NAME,zebra_plains,right
16170,546,photo_album_20,10,0,100,infant,0,____,-16170,poor,UNKNOWN NAME,zebra_plains,left
13822,5666,photo_album_24,10,0,100,infant,1,IBEIS_PZ_1866,2139,ok,UNKNOWN SEX,zebra_plains,left
9269,5713,photo_album_41,10,0,100,"juvenille, one year old",1,NNP_GIRM_0149,253,ok,Male,giraffe_masai,frontleft
11554,8838,photo_album_78,10,0,100,adult,1,IBEIS_PZ_0373,646,ok,Female,zebra_plains,frontleft
9439,1062,photo_album_29,10,0,100,adult,0,NNP_GIRM_0143,234,good,Female,giraffe_masai,left
9440,1062,photo_album_29,10,0,100,infant,0,____,-9440,poor,UNKNOWN NAME,giraffe_masai,frontleft
9253,7748,photo_album_27,10,0,100,infant,0,____,-9253,poor,UNKNOWN NAME,giraffe_masai,right
9432,896,photo_album_50,10,0,100,infant,0,____,-9432,ok,UNKNOWN NAME,giraffe_masai,front
9433,896,photo_album_50,10,0,100,infant,0,____,-9433,poor,UNKNOWN NAME,giraffe_masai,front
9516,1060,photo_album_90,10,0,100,infant,0,____,-9516,ok,UNKNOWN NAME,giraffe_masai,front
9517,1060,photo_album_90,10,0,100,infant,0,____,-9517,poor,UNKNOWN NAME,giraffe_masai,front
15598,826,photo_album_48,10,0,100,adult,0,IBEIS_PZ_1382,1655,ok,Male,zebra_plains,backleft
15599,826,photo_album_48,10,0,100,adult,0,IBEIS_PZ_1378,1651,ok,Male,zebra_plains,backleft
8885,8324,photo_album_67,10,0,100,infant,0,NNP_GIRM_0048,64,poor,UNKNOWN SEX,giraffe_masai,front
8885,8324,photo_album_11,9,0,100,infant,0,NNP_GIRM_0048,64,poor,UNKNOWN SEX,giraffe_masai,front
13279,390,photo_album_46,10,0,100,"juvenille, two year old",0,IBEIS_PZ_0711,984,good,Female,zebra_plains,left
9008,3337,photo_album_84,10,0,100,"juvenille, one year old",1,NNP_GIRM_0088,114,excellent,Male,giraffe_masai,left
13042,5011,photo_album_4,10,0,100,adult,0,IBEIS_PZ_0182,455,good,Male,zebra_plains,frontleft
9528,1061,photo_album_29,10,0,100,adult,0,NNP_GIRM_0143,234,good,Female,giraffe_masai,left
8842,3091,photo_album_61,10,0,100,adult,0,NNP_GIRM_0007,8,ok,Male,giraffe_masai,frontleft
12693,3260,photo_album_13,10,0,100,adult,1,IBEIS_PZ_0881,1154,good,Female,zebra_plains,left
12694,3260,photo_album_13,10,0,100,adult,0,IBEIS_PZ_0870,1143,junk,Female,zebra_plains,left
15974,583,photo_album_36,10,0,100,infant,1,IBEIS_PZ_1565,1838,ok,Female,zebra_plains,left
15975,583,photo_album_36,10,0,100,infant,0,____,-15975,junk,UNKNOWN NAME,zebra_plains,right
15976,583,photo_album_36,10,0,100,infant,0,____,-15976,poor,UNKNOWN NAME,zebra_plains,right
15977,583,photo_album_36,10,0,100,infant,0,____,-15977,ok,UNKNOWN NAME,zebra_plains,right
15978,583,photo_album_36,10,0,100,infant,0,____,-15978,ok,UNKNOWN NAME,zebra_plains,backright
17726,6653,photo_album_45,10,0,100,adult,1,IBEIS_PZ_1780,2053,excellent,Male,zebra_plains,left
9167,351,photo_album_14,10,0,100,infant,0,____,-9167,ok,UNKNOWN NAME,giraffe_masai,right
9167,351,photo_album_1,10,0,100,infant,0,____,-9167,ok,UNKNOWN NAME,giraffe_masai,right
