num_images,all,giraffes,zebras
2,1606.0,0.0,1197.0
3,2697.0,0.0,2128.0
4,1977.5,0.0,1564.0
5,2002.0,72.0,2419.0
6,1336.0,58.5,1621.5
7,1074.6666666666667,88.0,1085.0
8,1105.0,73.6,1416.857142857143
9,1369.0,76.8,1789.857142857143
10,1458.4615384615386,80.0,1825.0
11,1653.8461538461538,84.8,2073.75
12,1934.7692307692307,91.2,2425.25
13,2012.7857142857142,102.6,2428.3333333333335
14,2148.285714285714,108.0,2586.1111111111113
15,2456.0,108.0,3004.4444444444443
16,2491.0666666666666,111.6,2941.5
17,2460.0,126.0,2798.181818181818
18,2638.125,128.0,3020.7272727272725
19,2697.0588235294117,136.0,3029.6666666666665
20,2622.0,140.0,2828.785714285714
21,2775.4736842105262,142.0,3007.714285714286
22,2546.181818181818,148.0,2628.529411764706
23,2695.5454545454545,150.0,2791.764705882353
24,2842.0,150.0,2959.705882352941
25,3023.5454545454545,150.0,3172.823529411765
26,3124.8636363636365,154.0,3272.470588235294
27,3087.478260869565,154.0,3203.3333333333335
28,2930.4,131.66666666666666,3128.2105263157896
29,3060.0,131.66666666666666,3279.315789473684
30,2985.4814814814813,133.33333333333334,3133.2380952380954
31,2964.655172413793,136.66666666666666,3058.608695652174
32,2880.7741935483873,138.33333333333334,2930.16
33,2988.0,140.0,3044.4
34,3044.0625,140.0,3094.0
35,3045.212121212121,140.0,3083.3333333333335
36,3012.705882352941,141.66666666666666,3032.6785714285716
37,3105.6470588235293,141.66666666666666,3135.5714285714284
38,3143.6,155.83333333333334,3147.896551724138
39,3221.4285714285716,157.66666666666666,3227.5862068965516
40,3298.285714285714,157.66666666666666,3311.3793103448274
41,3272.5,172.0,3256.9666666666667
42,3096.6923076923076,172.0,3042.242424242424
43,3094.2,172.0,3032.794117647059
44,3177.35,174.0,3117.176470588235
45,3194.6341463414633,176.0,3122.8
46,3210.6666666666665,163.42857142857142,3210.285714285714
47,3282.3809523809523,163.42857142857142,3289.4857142857145
48,3385.9285714285716,163.42857142857142,3403.8
49,3408.3023255813955,163.42857142857142,3419.3611111111113
50,3432.7272727272725,165.28571428571428,3432.6486486486488
51,3296.553191489362,165.28571428571428,3265.7
52,3346.0,165.28571428571428,3319.875
53,3413.744680851064,165.28571428571428,3392.5
54,3253.176470588235,155.75,3257.2093023255816
55,3218.943396226415,157.5,3202.6
56,3263.6603773584907,157.5,3250.822222222222
57,3261.818181818182,159.25,3232.021276595745
58,3246.9285714285716,159.25,3211.0625
59,3278.1071428571427,159.25,3244.7916666666665
60,3268.3333333333335,159.25,3229.714285714286
61,3229.6271186440677,159.25,3180.0
62,3288.0,159.25,3237.403846153846
63,3330.4,161.0,3277.3846153846152
64,3326.8852459016393,161.0,3270.0
65,3319.3548387096776,161.0,3258.3888888888887
66,3288.8888888888887,161.0,3223.418181818182
67,3315.5555555555557,164.5,3242.836363636364
68,3382.5238095238096,164.5,3313.6363636363635
69,3415.4761904761904,164.5,3348.072727272727
70,3445.6190476190477,164.5,3380.2363636363634
71,3424.5,164.5,3354.0178571428573
72,3426.4615384615386,164.5,3353.157894736842
73,3456.1846153846154,164.5,3384.7719298245615
74,3497.9692307692308,164.5,3428.7719298245615
75,3525.0153846153844,164.5,3458.245614035088
