num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,312.0,0.0,294.0
4,335.0,0.0,279.0
5,445.5,0.0,380.0
6,689.0,0.0,600.0
7,1032.0,0.0,907.5
8,906.0,0.0,793.3333333333334
9,1180.6666666666667,0.0,1050.0
10,1334.0,0.0,1166.0
11,1566.6666666666667,0.0,1368.0
12,1313.0,0.0,1156.25
13,1384.5,0.0,1218.75
14,1518.75,0.0,1332.5
15,1338.4,0.0,1182.6
16,1416.8,0.0,1252.8
17,1537.0,0.0,1366.4
18,1772.8,0.0,1581.0
19,1649.0,54.0,1721.6
20,1824.0,56.0,1917.6
21,2041.0,56.0,2160.8
22,2385.0,56.0,2545.6
23,2452.5,56.0,2623.0
24,2793.0,58.0,2998.6
25,2983.5,60.0,3214.4
26,3300.0,62.0,3561.6
27,3515.0,62.0,3806.0
28,3780.0,66.0,4106.4
29,3389.8571428571427,35.0,4283.4
30,3080.5,35.0,3717.0
31,3231.75,54.0,3835.0
32,3171.3333333333335,54.0,3648.0
33,3400.1111111111113,54.0,3924.5714285714284
34,3479.0,55.5,4012.0
35,3568.0,55.5,4120.285714285715
36,3458.0,58.5,3878.125
37,3634.8,58.5,4087.5
38,3792.0,58.5,4273.5
39,3928.5,58.5,4436.25
40,3645.0,58.5,4030.0
41,3840.6363636363635,58.5,4257.777777777777
42,4042.0,58.5,4491.222222222223
43,4272.0,66.0,4720.444444444444
44,4457.818181818182,66.0,4934.555555555556
45,4200.5,67.5,4563.0
46,4354.166666666667,67.5,4738.0
47,4276.923076923077,69.0,4585.454545454545
48,4174.857142857143,70.5,4427.166666666667
49,4364.071428571428,72.0,4628.0
50,4299.4,73.5,4511.076923076923
51,4429.6,78.0,4628.461538461538
52,4499.2,78.0,4704.692307692308
53,4305.3125,78.0,4464.0
54,4284.705882352941,106.0,4369.333333333333
55,4348.882352941177,106.0,4438.2
56,4536.941176470588,114.0,4608.0
57,4676.588235294118,116.0,4747.8
58,4751.058823529412,116.0,4827.733333333334
59,4856.470588235294,122.0,4916.666666666667
60,4328.2,124.0,4297.222222222223
61,4479.9,126.0,4448.111111111111
62,4683.0,128.0,4654.222222222223
63,4751.7,128.0,4726.5
64,4820.9,128.0,4799.333333333333
65,4557.0,128.0,4497.35
66,4614.909090909091,128.0,4557.6
67,4725.0,130.0,4664.7
68,4840.363636363636,165.0,4743.4
69,4754.608695652174,167.5,4637.857142857143
70,4791.913043478261,167.5,4675.809523809524
71,4654.416666666667,167.5,4527.409090909091
72,4393.846153846154,136.0,4399.04347826087
73,4179.785714285715,136.0,4151.08
74,4254.642857142857,136.0,4229.4
