num_images,all,giraffes,zebras
2,1020.0,0.0,738.0
3,937.5,0.0,724.5
4,1344.0,0.0,1079.0
5,1815.0,0.0,1410.0
6,2580.0,0.0,2072.0
7,3289.5,0.0,2640.0
8,2679.0,84.0,3212.0
9,2337.5,56.0,3726.0
10,2314.2,77.5,3033.3333333333335
11,2572.4,80.0,3402.0
12,2731.3333333333335,82.5,3323.25
13,2628.0,99.0,2974.8
14,3085.714285714286,105.0,3522.4
15,2551.1111111111113,108.0,2681.714285714286
16,2557.8,76.0,2997.0
17,2824.4,76.0,3341.714285714286
18,3152.5,80.0,3744.0
19,3336.3,82.0,3972.4285714285716
20,3539.4,82.0,4237.714285714285
21,3687.4,82.0,4434.285714285715
22,3642.5454545454545,82.0,4245.75
23,2930.4666666666667,84.0,3120.8333333333335
24,3001.625,94.0,3127.3846153846152
25,3165.0,98.0,3297.230769230769
26,3121.764705882353,108.0,3223.1428571428573
27,3143.0,114.0,3216.0
28,3252.6111111111113,116.0,3331.5333333333333
29,3202.1052631578946,120.0,3239.5
30,3300.0,124.0,3346.875
31,3438.9473684210525,124.0,3499.125
32,3562.0,132.0,3618.875
33,3667.8947368421054,132.0,3737.25
34,3584.0,132.0,3625.8823529411766
35,3725.15,134.0,3771.529411764706
36,3893.25,140.0,3932.8823529411766
37,3855.0476190476193,140.0,3873.4444444444443
38,3823.0454545454545,140.0,3823.4210526315787
39,3753.7391304347825,144.0,3723.0
40,3684.75,144.0,3640.0
41,3835.0,168.0,3774.6666666666665
42,3917.0833333333335,168.0,3861.285714285714
43,4014.75,168.0,3966.4761904761904
44,3991.68,168.0,3931.3636363636365
45,4106.56,175.0,4032.0454545454545
46,4203.12,200.0,4108.0
47,4123.615384615385,168.75,4172.636363636364
48,4205.5,173.25,4247.272727272727
49,4282.692307692308,173.25,4332.363636363636
50,4272.666666666667,175.5,4297.173913043478
51,4354.37037037037,180.0,4378.304347826087
52,4513.333333333333,180.0,4550.086956521739
53,4762.666666666667,180.0,4817.434782608696
54,4762.964285714285,180.0,4799.333333333333
55,4765.6551724137935,182.25,4777.92
56,4779.310344827586,182.25,4793.04
57,4716.8,182.25,4711.384615384615
58,4855.2,182.25,4860.0
59,4791.1612903225805,182.25,4779.074074074074
60,4861.8125,184.5,4832.142857142857
61,5032.5,184.5,5011.25
62,5175.0,184.5,5160.857142857143
63,5011.058823529412,186.75,4957.333333333333
64,4833.333333333333,168.0,4876.8387096774195
65,4884.888888888889,168.0,4934.129032258064
66,4712.368421052632,184.8,4704.0
67,4629.2307692307695,184.8,4605.882352941177
68,4683.692307692308,184.8,4665.441176470588
69,4648.55,184.8,4618.628571428571
70,4686.0,184.8,4658.5142857142855
71,4707.414634146341,184.8,4672.944444444444
72,4579.3488372093025,184.8,4521.710526315789
73,4649.930232558139,184.8,4597.1578947368425
74,4505.555555555556,189.2,4421.5
