num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,518.75,9.0,592.0
4,4522.0,0.0,3737.0
5,2515.5,44.0,4256.0
6,1690.5,38.0,1893.3333333333333
7,3802.6666666666665,31.0,4971.5
8,2020.0,33.0,2492.75
9,2137.5,66.0,2390.3333333333335
10,1943.4,97.5,1924.0
11,2467.5,60.0,2780.5
12,4200.0,104.0,4214.8
13,2402.5,72.0,2291.5454545454545
14,3240.4444444444443,160.0,3047.0
15,3300.0,86.0,3234.0
16,3426.5454545454545,82.0,3349.6
17,3603.6,67.5,3960.0
18,2418.0,63.0,2603.25
19,2182.9166666666665,106.0,2089.7272727272725
20,2849.2631578947367,114.0,2888.0
21,3651.5,122.5,3677.1428571428573
22,3743.25,116.0,3959.3076923076924
23,3118.8,126.0,3121.4117647058824
24,3213.0,118.0,3223.8823529411766
25,3346.086956521739,95.0,3371.25
26,3344.095238095238,145.0,3205.8947368421054
27,3345.6521739130435,150.0,3238.3333333333335
28,3184.875,110.4,3346.8947368421054
29,4060.6,128.0,4130.823529411765
30,2895.3125,86.66666666666667,3065.5384615384614
31,2859.090909090909,130.0,2798.689655172414
32,3239.3225806451615,160.0,3066.0
33,2730.0,95.2,2750.3225806451615
34,3330.3225806451615,160.0,3266.6666666666665
35,3838.75,220.5,3614.769230769231
36,2929.5,156.33333333333334,2776.8
37,4127.666666666667,184.0,4025.0
38,3421.1470588235293,184.0,3270.3870967741937
39,2957.1794871794873,115.2,2976.235294117647
40,3015.3846153846152,117.25,2969.4285714285716
41,4158.0,176.0,4055.769230769231
42,3100.9767441860463,180.0,2942.846153846154
43,3314.871794871795,164.25,3203.8
44,4117.939393939394,456.0,3732.46875
45,3220.8,216.0,2988.8372093023254
46,3020.3333333333335,135.0,2959.0238095238096
47,3066.938775510204,184.8,2926.0
48,3783.225,324.0,3525.9210526315787
49,3444.595744680851,182.6,3309.285714285714
50,3030.0,115.5,2910.4
51,3839.0,202.5,3659.8
52,3143.6792452830186,135.42857142857142,3136.0
53,3541.44,200.0,3352.695652173913
54,3348.0,118.5,3309.6304347826085
55,3695.851063829787,164.0,3538.4651162790697
56,3630.188679245283,228.0,3431.5102040816328
57,2888.0,190.0,2718.3050847457625
58,3576.703703703704,166.0,3443.673469387755
59,3887.0204081632655,221.33333333333334,3653.804347826087
60,3575.5471698113206,273.3333333333333,3310.56
61,3018.6969696969695,184.8,2848.1311475409834
62,3689.214285714286,176.0,3547.921568627451
63,3538.508474576271,202.8,3381.1111111111113
64,3044.0,136.66666666666666,2948.1451612903224
65,3370.75,186.33333333333334,3225.689655172414
66,3762.690909090909,324.0,3474.509433962264
67,3385.064516129032,176.0,3289.0
68,3392.1846153846154,176.0,3255.1186440677966
69,3800.245614035088,179.83333333333334,3704.8039215686276
70,3538.4285714285716,242.0,3319.186440677966
71,3656.71875,232.0,3397.8688524590166
72,3816.4137931034484,151.2,3696.377358490566
73,2999.5890410958905,141.375,2929.2923076923075
74,3583.7301587301586,189.2,3413.0172413793102
