num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,1330.0,29.0,1890.0
4,2176.0,76.0,3210.0
5,3440.0,132.0,5207.0
6,2307.75,86.66666666666667,6768.0
7,2835.75,88.33333333333333,8533.0
8,3575.0,110.0,10800.0
9,4224.5,118.0,12804.0
10,3034.0,142.33333333333334,4047.0
11,3151.0,139.5,4767.0
12,3419.25,157.5,5148.0
13,3318.8888888888887,160.0,4530.8
14,3429.9,165.0,4386.0
15,3198.0,170.0,3726.0
16,3492.6666666666665,175.0,4082.5
17,3864.5,177.5,4559.75
18,4098.166666666667,177.5,4875.0
19,4002.0,177.5,4615.333333333333
20,4232.307692307692,182.5,4890.666666666667
21,4488.0,190.0,5181.333333333333
22,4758.7692307692305,195.0,5498.222222222223
23,4646.857142857143,195.0,5233.8
24,3827.1111111111113,195.0,3980.4285714285716
25,3732.315789473684,197.5,3830.0
26,3912.0,197.5,4034.8
27,4087.1052631578946,200.0,4223.866666666667
28,3678.181818181818,166.0,3873.470588235294
29,3496.0416666666665,166.0,3608.0
30,3477.76,182.6,3544.1
31,3644.44,182.6,3734.9
32,3626.0,182.6,3693.904761904762
33,3702.230769230769,182.6,3781.285714285714
34,3828.076923076923,182.6,3925.0
35,3672.714285714286,184.8,3707.0434782608695
36,3558.9666666666667,184.8,3554.84
37,3508.3125,187.0,3467.5555555555557
38,3586.59375,187.0,3551.185185185185
39,3485.0,187.0,3422.5862068965516
40,3475.3714285714286,189.2,3396.266666666667
41,3452.1944444444443,189.2,3365.1290322580644
42,3541.527777777778,189.2,3458.548387096774
43,3542.3783783783783,189.2,3454.3125
44,3650.810810810811,189.2,3570.0
45,3632.0,189.2,3535.823529411765
46,3442.232558139535,191.4,3312.4736842105262
47,3464.909090909091,191.4,3332.051282051282
48,3537.5454545454545,191.4,3408.3076923076924
49,3481.2391304347825,163.16666666666666,3413.45
50,3548.608695652174,165.0,3480.75
51,3604.4347826086955,165.0,3540.0
52,3452.9591836734694,165.0,3367.6046511627906
53,3437.28,165.0,3348.2272727272725
54,3495.0,165.0,3409.090909090909
55,3468.705882352941,165.0,3377.2444444444445
56,3480.6153846153848,165.0,3385.1739130434785
57,3532.6153846153848,165.0,3439.6521739130435
58,3488.4814814814813,154.28571428571428,3444.574468085106
59,3535.8888888888887,154.28571428571428,3495.8297872340427
60,3536.5454545454545,154.28571428571428,3492.5
61,3569.2363636363634,154.28571428571428,3527.5
62,3454.137931034483,146.25,3446.88
63,3510.0344827586205,146.25,3505.56
64,3549.9310344827586,147.875,3542.88
65,3568.9655172413795,147.875,3564.0
66,3610.551724137931,149.5,3604.0
67,3670.293103448276,149.5,3668.58
68,3684.7241379310344,149.5,3684.6
69,3680.3389830508477,149.5,3674.1176470588234
70,3726.9661016949153,149.5,3724.921568627451
71,3696.733333333333,151.125,3682.4615384615386
72,3751.366666666667,151.125,3741.153846153846
73,3669.6774193548385,151.125,3644.222222222222
74,3704.516129032258,151.125,3680.925925925926
75,3740.7580645161293,151.125,3720.0
