num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,2900.0,1770.0,2296.0
4,1428.0,66.0,1633.5
5,1526.5,43.5,2300.0
6,2065.5,55.5,3048.0
7,2057.0,82.0,2634.6666666666665
8,1416.5555555555557,92.0,1458.2857142857142
9,1332.0,112.0,1402.5
10,1378.5833333333333,85.75,1600.625
11,1470.6153846153845,104.0,1624.0
12,1804.6153846153845,126.0,1988.0
13,1836.0714285714287,114.0,2170.6666666666665
14,1741.764705882353,118.0,1896.0
15,1809.7058823529412,118.0,1984.0
16,1899.3333333333333,118.0,2063.5384615384614
17,2042.888888888889,122.0,2222.3076923076924
18,2238.5,124.0,2455.3846153846152
19,2467.5555555555557,124.0,2737.0
20,2427.25,132.0,2587.4666666666667
21,2585.4,136.0,2773.3333333333335
22,2750.4,140.0,2952.0
23,2873.85,144.0,3082.0
24,2924.190476190476,146.0,3101.3125
25,2947.0,148.0,3096.176470588235
26,2972.608695652174,148.0,3100.0
27,3104.086956521739,152.0,3234.0
28,3199.5652173913045,154.0,3336.6666666666665
29,3064.32,130.0,3297.157894736842
30,3089.3846153846152,131.66666666666666,3292.6
31,3242.4615384615386,135.0,3456.9
32,3378.4615384615386,135.0,3616.65
33,3261.3214285714284,136.66666666666666,3424.6363636363635
34,3286.7586206896553,136.66666666666666,3432.1304347826085
35,3302.4,154.0,3397.3333333333335
36,3401.4666666666667,172.0,3477.0
37,3447.1935483870966,172.0,3511.84
38,3317.6969696969695,172.0,3338.962962962963
39,3336.3529411764707,172.0,3346.0
40,3243.3333333333335,172.0,3223.8
41,3329.1111111111113,174.0,3313.3333333333335
42,3315.891891891892,174.0,3290.6451612903224
43,3383.5135135135133,174.0,3365.8709677419356
44,3396.2105263157896,174.0,3370.21875
45,3501.1052631578946,174.0,3484.6875
46,3520.8205128205127,174.0,3498.3636363636365
47,3553.5,174.0,3523.323529411765
48,3613.4,174.0,3588.0
49,3612.731707317073,174.0,3580.7428571428572
50,3597.7380952380954,176.0,3552.8888888888887
51,3671.046511627907,176.0,3624.054054054054
52,3602.5333333333333,176.0,3537.051282051282
53,3579.8260869565215,163.42857142857142,3582.358974358974
54,3544.276595744681,163.42857142857142,3537.225
55,3565.468085106383,163.42857142857142,3560.925
56,3592.4375,163.42857142857142,3585.0
57,3537.92,154.0,3581.3571428571427
58,3520.9411764705883,157.5,3543.953488372093
59,3571.529411764706,157.5,3600.9302325581393
60,3628.4117647058824,157.5,3662.3255813953488
61,3703.9607843137255,157.5,3746.5813953488373
62,3795.5882352941176,157.5,3845.4418604651164
63,3830.823529411765,157.5,3884.3023255813955
64,3729.056603773585,157.5,3757.911111111111
65,3763.3207547169814,157.5,3795.4666666666667
66,3794.0,157.5,3829.866666666667
67,3635.0175438596493,157.5,3631.3469387755104
68,3708.7719298245615,157.5,3710.7551020408164
69,3711.137931034483,157.5,3709.12
70,3752.189655172414,157.5,3753.0
71,3654.2950819672133,157.5,3632.0754716981132
72,3639.032258064516,157.5,3611.259259259259
73,3646.222222222222,157.5,3614.5454545454545
74,3636.796875,157.5,3600.535714285714
