num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,1804.0,15.0,0.0
4,1708.0,20.0,2754.0
5,1721.25,39.0,2736.0
6,1792.8,0.0,1448.4
7,3162.0,100.0,3783.5
8,1519.25,62.5,1629.0
9,1736.4285714285713,42.0,2028.0
10,1728.0,68.33333333333333,1971.7142857142858
11,1879.6,120.0,1719.7777777777778
12,2883.0,60.0,3172.5
13,2556.7272727272725,80.0,2694.6666666666665
14,2564.818181818182,205.0,2405.5
15,4494.0,129.0,4512.5
16,7582.5,188.0,8628.666666666666
17,2363.294117647059,90.0,2315.733333333333
18,3010.6428571428573,92.0,3033.8333333333335
19,3946.6666666666665,98.0,4042.4
20,2807.3529411764707,90.0,2899.285714285714
21,2690.285714285714,119.25,2771.1176470588234
22,2524.8695652173915,180.0,2406.65
23,2461.92,106.0,2418.0
24,3128.5714285714284,116.0,3149.722222222222
25,3325.1739130434785,157.5,3160.6666666666665
26,2116.848484848485,145.0,1960.483870967742
27,3072.0,185.5,2913.190476190476
28,2826.6666666666665,126.0,2720.6666666666665
29,3298.2727272727275,183.0,3144.15
30,3097.5,172.5,2868.714285714286
31,3228.448275862069,126.0,3133.0
32,3406.6785714285716,195.0,3174.769230769231
33,3617.777777777778,122.0,3580.0
34,2715.2432432432433,124.25,2622.818181818182
35,3001.5,154.0,2884.9655172413795
36,2809.2972972972975,198.0,2604.4285714285716
37,3520.9375,170.33333333333334,3363.4137931034484
38,2966.7297297297296,170.0,2792.057142857143
39,2945.9555555555557,185.0,2717.4883720930234
40,3452.029411764706,171.0,3348.0
41,3258.5526315789475,177.5,3071.9166666666665
42,3192.5581395348836,124.25,3091.230769230769
43,3349.756097560976,184.33333333333334,3156.6315789473683
44,3209.1428571428573,175.5,3058.315789473684
45,3840.0857142857144,166.5,3770.7096774193546
46,3052.0,159.75,2906.095238095238
47,2945.446808510638,152.0,2822.3255813953488
48,3450.8571428571427,148.0,3355.0
49,3996.7105263157896,182.0,3786.9714285714285
50,3159.4285714285716,187.2,3048.5454545454545
51,3550.5434782608695,160.0,3472.682926829268
52,3557.3333333333335,177.33333333333334,3381.3333333333335
53,3573.5833333333335,142.2,3512.5581395348836
54,3828.6136363636365,243.33333333333334,3589.756097560976
55,3460.8,182.6,3342.6666666666665
56,3465.6862745098038,121.6,3386.1521739130435
57,3445.6153846153848,148.0,3309.25
58,3183.811320754717,147.0,3039.673469387755
59,3411.875,152.0,3297.8823529411766
60,3265.8888888888887,200.0,3100.66
61,3906.12,184.5,3739.1304347826085
62,3459.3396226415093,246.0,3230.76
63,3138.59375,220.0,2929.4666666666667
64,3546.867924528302,157.66666666666666,3459.191489361702
65,3348.866666666667,189.0,3138.714285714286
66,2884.9850746268658,144.0,2802.6
67,3865.28,168.0,3801.818181818182
68,4884.425,215.0,4773.222222222223
69,3729.3859649122805,180.4,3579.230769230769
70,3537.3333333333335,252.0,3300.0677966101694
71,3412.5,168.0,3252.0
72,3612.3225806451615,195.0,3403.448275862069
73,3360.3088235294117,163.16666666666666,3236.6774193548385
74,3596.4590163934427,229.33333333333334,3343.948275862069
