num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,280.0,1770.0,255.0
4,612.0,1770.0,567.0
5,489.5,1770.0,456.5
6,891.0,1770.0,790.5
7,1190.0,1770.0,1064.0
8,1584.0,1770.0,1426.0
9,1989.0,1770.0,1787.5
10,1670.0,1770.0,1488.6666666666667
11,1870.3333333333333,1770.0,1650.0
12,2123.0,1770.0,1877.3333333333333
13,2345.0,1770.0,2085.3333333333335
14,2568.0,1770.0,2298.3333333333335
15,2174.25,1770.0,1947.5
16,2494.0,1770.0,2247.0
17,2722.5,1770.0,2442.0
18,2964.0,1770.0,2667.25
19,3212.5,1770.0,2903.25
20,2830.2,1770.0,2568.8
21,2948.4,1770.0,2681.8
22,3136.0,1770.0,2849.0
23,3306.0,1770.0,3012.8
24,2950.0,58.0,3180.6
25,3110.0,90.0,3294.6
26,2496.375,96.0,2511.4285714285716
27,2455.5555555555557,96.0,2445.625
28,2558.8888888888887,96.0,2554.375
29,2186.181818181818,49.5,2369.0
30,2282.909090909091,52.5,2465.5555555555557
31,2393.181818181818,54.0,2584.0
32,2741.4545454545455,54.0,2979.0
33,2920.0,54.0,3182.777777777778
34,3153.090909090909,55.5,3441.3333333333335
35,3211.6363636363635,55.5,3510.5555555555557
36,3297.2727272727275,57.0,3610.0
37,3394.090909090909,57.0,3720.8888888888887
38,3554.7272727272725,57.0,3905.5555555555557
39,3618.0,57.0,3978.6666666666665
40,3718.181818181818,57.0,4095.5555555555557
41,3828.818181818182,57.0,4224.888888888889
42,3922.3636363636365,57.0,4334.0
43,4056.0,57.0,4488.888888888889
44,3824.8333333333335,57.0,4161.2
45,3630.4615384615386,57.0,3894.5454545454545
46,3504.4285714285716,58.5,3708.0
47,3289.25,61.5,3400.714285714286
48,3410.6875,63.0,3531.5714285714284
49,3505.5,64.5,3625.714285714286
50,3384.470588235294,64.5,3476.733333333333
51,3570.9411764705883,66.0,3670.4
52,3614.1176470588234,66.0,3716.6666666666665
53,3657.529411764706,67.5,3754.8
54,3765.8823529411766,90.0,3840.0
55,3899.1176470588234,90.0,3982.4
56,3997.176470588235,90.0,4087.5333333333333
57,4075.0588235294117,96.0,4145.066666666667
58,4205.117647058823,120.0,4252.266666666666
59,4104.0,120.0,4126.5625
60,4177.222222222223,120.0,4203.5625
61,4023.157894736842,122.5,4017.764705882353
62,4188.263157894737,132.5,4156.705882352941
63,4248.0,132.5,4219.764705882353
64,4344.421052631579,132.5,4321.0
65,4376.8421052631575,132.5,4356.058823529412
66,4474.736842105263,135.0,4450.058823529412
67,4557.0526315789475,135.0,4536.0
68,4416.0,137.5,4365.833333333333
69,4315.619047619048,137.5,4249.368421052632
70,4027.304347826087,110.0,4104.0
71,3792.36,110.0,3823.090909090909
72,3821.6,110.0,3854.0
73,3757.5384615384614,112.0,3767.478260869565
74,3825.9615384615386,114.0,3833.7391304347825
