num_images,all,giraffes,zebras
2,1587.0,0.0,1122.0
3,1501.5,0.0,1136.0
4,1600.0,52.0,1824.0
5,1215.0,45.0,1526.0
6,1550.0,55.5,1911.3333333333333
7,1567.7142857142858,60.0,1663.8
8,1331.7,61.5,1287.0
9,1562.4,88.0,1504.5
10,1701.8181818181818,100.0,1803.75
11,1634.6153846153845,110.0,1643.2
12,1652.857142857143,114.0,1629.8181818181818
13,1815.0,116.0,1782.5
14,1881.5,103.25,1991.6666666666667
15,1752.0,126.0,1822.5
16,1904.0,138.6,1985.357142857143
17,2016.2105263157894,143.0,2104.0
18,2142.7894736842104,147.4,2243.8571428571427
19,2276.315789473684,151.8,2406.785714285714
20,2432.0,154.0,2587.5714285714284
21,2583.0,154.0,2767.5
22,2711.157894736842,158.4,2902.8571428571427
23,2829.4736842105262,177.6,3003.8571428571427
24,2967.0526315789475,180.0,3162.714285714286
25,3112.1052631578946,182.4,3326.785714285714
26,3105.0,184.8,3271.133333333333
27,3103.714285714286,187.2,3230.5
28,3295.4285714285716,189.6,3445.3125
29,3194.4347826086955,192.0,3264.0
30,3141.6,194.4,3156.15
31,3067.5555555555557,166.0,3174.6190476190477
32,2749.1935483870966,170.0,2742.08
33,2759.0,170.0,2742.653846153846
34,2733.818181818182,172.0,2700.4444444444443
35,2708.4,174.0,2651.1724137931033
36,2664.324324324324,174.0,2591.1290322580644
37,2772.972972972973,174.0,2708.0967741935483
38,2791.5789473684213,176.0,2714.0
39,2915.7894736842104,176.0,2846.8125
40,2982.157894736842,176.0,2918.71875
41,3009.4615384615386,176.0,2940.0
42,3009.6,163.42857142857142,3008.7272727272725
43,3084.6,163.42857142857142,3090.909090909091
44,3099.1463414634145,163.42857142857142,3098.735294117647
45,3084.5,163.42857142857142,3075.0
46,3031.159090909091,163.42857142857142,3004.2972972972975
47,3047.6666666666665,163.42857142857142,3015.0789473684213
48,3064.5,154.0,3091.7368421052633
49,3046.3125,154.0,3057.45
50,3074.183673469388,154.0,3080.9268292682927
51,3053.84,155.75,3047.6666666666665
52,3034.529411764706,155.75,3021.3953488372094
53,3061.3333333333335,155.75,3050.5813953488373
54,3123.549019607843,155.75,3117.767441860465
55,3121.6153846153848,155.75,3110.2272727272725
56,3102.943396226415,155.75,3085.133333333333
57,3093.222222222222,155.75,3069.521739130435
58,3065.785714285714,157.5,3024.5833333333335
59,3117.3214285714284,159.25,3075.0
60,3152.842105263158,159.25,3109.408163265306
61,3164.8275862068967,159.25,3117.14
62,3204.0,159.25,3159.52
63,3235.5,159.25,3194.24
64,3222.864406779661,159.25,3176.470588235294
65,3248.5,159.25,3199.423076923077
66,3321.0,159.25,3276.75
67,3299.6721311475408,159.25,3249.7169811320755
68,3350.8852459016393,159.25,3304.3584905660377
69,3394.6721311475408,159.25,3351.622641509434
70,3446.6065573770493,159.25,3407.0943396226417
71,3425.6774193548385,159.25,3381.203703703704
72,3422.222222222222,161.0,3369.0545454545454
73,3410.4375,161.0,3352.8928571428573
74,3444.640625,161.0,3389.464285714286
75,3451.6923076923076,144.66666666666666,3450.410714285714
