num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,1312.5,18.0,2208.0
4,3306.0,16.0,34680.0
5,1677.3333333333333,40.5,3944.0
6,2860.0,104.0,3432.0
7,5600.0,96.0,9450.0
8,2299.5,23.0,2455.2
9,2310.0,52.5,2784.6
10,2667.8571428571427,44.0,3958.25
11,3175.0,136.0,3138.2
12,2325.0,135.0,2160.0
13,2541.0,63.0,2738.0
14,1925.8666666666666,98.0,1774.2857142857142
15,3368.6666666666665,86.0,3699.8571428571427
16,2596.846153846154,76.66666666666667,2829.4
17,3977.6,112.5,4266.0
18,3503.0,51.0,3652.909090909091
19,3756.6666666666665,74.66666666666667,4279.666666666667
20,2568.4210526315787,76.0,2632.875
21,2887.3684210526317,105.0,2830.8823529411766
22,5063.0,265.0,4797.0
23,2658.0,220.0,2419.809523809524
24,3212.6315789473683,112.0,3266.8125
25,2683.3846153846152,165.0,2540.6666666666665
26,4693.0,116.0,5189.818181818182
27,3138.75,153.0,3027.2727272727275
28,3378.5454545454545,112.0,3560.0
29,2775.862068965517,120.0,2639.925925925926
30,3149.423076923077,63.0,3160.695652173913
31,2889.0344827586205,162.66666666666666,2772.0
32,3031.7419354838707,154.0,2870.3571428571427
33,2900.1470588235293,180.0,2753.548387096774
34,3232.7096774193546,97.6,3347.6923076923076
35,3129.6129032258063,118.0,2985.9310344827586
36,2660.5714285714284,161.0,2494.3076923076924
37,3443.34375,140.0,3325.551724137931
38,3173.6470588235293,119.0,3149.6
39,3239.4444444444443,184.0,3070.6666666666665
40,2557.5365853658536,175.0,2406.810810810811
41,3447.818181818182,148.0,3351.6206896551726
42,3624.657142857143,177.5,3524.2258064516127
43,2986.909090909091,165.0,2848.875
44,3641.189189189189,185.0,3502.3333333333335
45,3653.157894736842,150.0,3718.0
46,3231.5555555555557,173.25,3092.0975609756097
47,3626.325,152.16666666666666,3627.529411764706
48,3868.5882352941176,168.0,3753.935483870968
49,3622.439024390244,164.25,3506.054054054054
50,3094.8571428571427,123.42857142857143,3114.3809523809523
51,3269.8867924528304,111.0,3232.340425531915
52,3357.183673469388,231.0,3099.8297872340427
53,3153.925925925926,197.5,2965.7
54,3420.0652173913045,128.0,3351.6585365853657
55,3407.52,132.0,3388.0227272727275
56,4554.1621621621625,266.0,4282.057142857143
57,3547.6170212765956,171.0,3395.720930232558
58,3891.121951219512,175.5,3748.5675675675675
59,3217.5,154.0,3071.923076923077
60,3422.6603773584907,147.6,3309.25
61,3384.4716981132074,352.0,3055.88
62,3548.25,191.25,3368.8846153846152
63,3367.188679245283,184.5,3178.8367346938776
64,4232.142857142857,177.75,4101.263157894737
65,4469.523809523809,156.6,4424.72972972973
66,3370.035714285714,173.8,3238.9803921568628
67,3363.157894736842,156.0,3257.8823529411766
68,3456.561403508772,173.8,3325.75
69,3109.8529411764707,200.0,2902.107692307692
70,3804.8571428571427,152.28571428571428,3773.2448979591836
71,3160.4477611940297,210.6,2973.5967741935483
72,3495.483870967742,164.0,3348.9473684210525
73,3454.5846153846155,189.0,3263.6721311475408
74,3765.448275862069,193.6,3603.3584905660377
