,,Share Proportion,Standard Deviation,Variance
10,photo_album_57,20.0,0.0,0.0
10,photo_album_8,20.0,,
1061,photo_album_29,100.0,7.0710678118654755,50.0
1061,photo_album_90,90.0,,
1102,photo_album_29,80.0,14.142135623730951,200.0
1102,photo_album_90,60.0,,
1300,photo_album_15,100.0,28.284271247461902,800.0
1300,photo_album_89,60.0,,
1301,photo_album_15,88.88888888888889,20.427529234278037,417.28395061728384
1301,photo_album_89,60.0,,
1307,photo_album_15,62.5,8.838834764831844,78.125
1307,photo_album_89,50.0,,
1315,photo_album_15,90.0,14.142135623730951,200.0
1315,photo_album_89,70.0,,
1329,photo_album_15,70.0,0.0,0.0
1329,photo_album_89,70.0,,
1332,photo_album_15,100.0,0.0,0.0
1332,photo_album_89,100.0,,
1338,photo_album_15,66.66666666666667,2.357022603955155,5.555555555555539
1338,photo_album_89,70.0,,
141,photo_album_38,70.0,0.0,0.0
141,photo_album_75,70.0,,
1753,photo_album_22,66.66666666666667,32.99831645537222,1088.8888888888891
1753,photo_album_54,20.0,,
1781,photo_album_54,40.0,14.142135623730951,200.0
1781,photo_album_76,60.0,,
1793,photo_album_22,44.44444444444444,7.856742013183858,61.72839506172835
1793,photo_album_25,33.333333333333336,,
1869,photo_album_25,90.0,7.0710678118654755,50.0
1869,photo_album_54,100.0,,
1920,photo_album_25,37.5,15.90990257669732,253.125
1920,photo_album_76,60.0,,
193,photo_album_75,100.0,14.142135623730951,200.0
193,photo_album_97,80.0,,
195,photo_album_38,90.0,7.0710678118654755,50.0
195,photo_album_97,100.0,,
1957,photo_album_25,12.5,1.7677669529663689,3.125
1957,photo_album_54,10.0,,
1968,photo_album_22,88.88888888888889,27.498597046143512,756.1728395061727
1968,photo_album_76,50.0,,
2032,photo_album_22,100.0,7.0710678118654755,50.0
2032,photo_album_54,90.0,,
226,photo_album_75,80.0,42.42640687119285,1800.0
226,photo_album_97,20.0,,
242,photo_album_38,70.0,14.142135623730951,200.0
242,photo_album_75,90.0,,
2451,photo_album_53,40.0,7.0710678118654755,50.0
2451,photo_album_9,30.0,,
2458,photo_album_53,50.0,14.142135623730951,200.0
2458,photo_album_96,70.0,,
282,photo_album_38,40.0,35.35533905932738,1250.0
282,photo_album_97,90.0,,
3076,photo_album_6,60.0,0.0,0.0
