num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,1400.0,1770.0,1380.0
7,2340.0,1770.0,2295.0
8,2960.0,1770.0,2864.0
9,4473.0,1770.0,4326.0
10,5850.0,1770.0,5625.0
11,6656.0,1770.0,6344.0
12,7209.0,1770.0,6885.0
13,4433.0,1770.0,4247.0
14,4848.0,1770.0,4656.0
15,3706.0,1770.0,3570.0
16,3334.5,1770.0,3217.5
17,3177.0,1770.0,3060.0
18,3496.8,1770.0,3374.6
19,3112.0,1770.0,2992.0
20,2979.8571428571427,1770.0,2863.285714285714
21,2424.4,1770.0,2325.8
22,2429.2727272727275,1770.0,2333.4545454545455
23,2538.6666666666665,1770.0,2442.3333333333335
24,2517.769230769231,1770.0,2424.923076923077
25,2603.076923076923,1770.0,2503.3846153846152
26,2656.5,1770.0,2557.5
27,2717.0,1770.0,2596.0
28,2700.0,1770.0,2581.2
29,2714.25,1770.0,2598.75
30,2712.470588235294,1770.0,2588.235294117647
31,2827.0588235294117,1770.0,2700.0
32,2985.8823529411766,1770.0,2853.176470588235
33,2953.1111111111113,1770.0,2818.3888888888887
34,2907.4736842105262,38.0,2901.8888888888887
35,3005.2631578947367,38.0,3003.0
36,3061.8947368421054,39.0,3055.5555555555557
37,3088.8,40.0,3073.7368421052633
38,3185.3,41.0,3166.5789473684213
39,3142.285714285714,43.0,3108.35
40,3199.9545454545455,44.0,3157.3333333333335
41,3350.4545454545455,45.0,3303.2380952380954
42,3469.090909090909,46.0,3417.0
43,3664.7727272727275,47.0,3607.809523809524
44,3460.75,47.0,3396.521739130435
45,3520.0,47.0,3456.608695652174
46,3270.814814814815,48.0,3295.96
47,3273.714285714286,49.0,3288.153846153846
48,3291.6206896551726,49.0,3299.962962962963
49,3273.6,49.0,3276.1428571428573
50,3232.0967741935483,50.0,3247.448275862069
51,3354.9032258064517,52.0,3363.1724137931033
52,3391.935483870968,53.0,3396.1724137931033
53,3296.4545454545455,79.5,3268.4193548387098
54,3211.7714285714287,79.5,3175.151515151515
55,3241.2571428571428,79.5,3205.090909090909
56,3307.2,85.5,3254.181818181818
57,3362.6,85.5,3310.090909090909
58,3399.4,85.5,3348.6363636363635
59,3460.2571428571428,116.0,3384.242424242424
60,3526.285714285714,120.0,3441.2727272727275
61,3500.0,120.0,3411.6176470588234
62,3532.6666666666665,124.0,3435.8823529411766
63,3526.2972972972975,126.0,3422.4
64,3581.5675675675675,126.0,3477.714285714286
65,3651.3513513513512,126.0,3548.114285714286
66,3649.0,126.0,3543.75
67,3558.1,126.0,3448.1052631578946
68,3561.2195121951218,105.0,3520.2631578947367
69,3631.609756097561,106.66666666666667,3588.0
70,3771.170731707317,106.66666666666667,3730.0
71,3761.3333333333335,106.66666666666667,3716.923076923077
72,3753.232558139535,108.33333333333333,3700.125
73,3640.978260869565,130.0,3558.139534883721
74,3699.0,130.0,3617.2093023255816
