num_images,all,giraffes,zebras
2,1254.0,116.0,34680.0
3,2516.0,216.0,34680.0
4,3627.0,234.0,34680.0
5,2677.5,301.0,2926.0
6,3381.0,322.0,3906.0
7,4482.5,336.0,5568.0
8,3422.0,350.0,3250.0
9,4485.0,350.0,4526.0
10,3990.0,212.0,5372.0
11,4653.5,232.0,6438.0
12,4193.4,177.0,7293.0
13,4026.3333333333335,186.0,5695.0
14,3378.375,195.0,3852.0
15,2756.0,162.5,3113.1428571428573
16,2700.0,165.0,2940.0
17,2489.5714285714284,154.0,2777.777777777778
18,2597.4,154.0,2851.4
19,2735.75,156.2,2958.5454545454545
20,3019.5,156.2,3311.0
21,3123.875,156.2,3444.0
22,3224.235294117647,156.2,3504.25
23,3411.764705882353,158.4,3729.6666666666665
24,3534.5882352941176,158.4,3881.6666666666665
25,3456.222222222222,158.4,3726.153846153846
26,3633.8888888888887,172.8,3916.0
27,3741.8333333333335,172.8,4048.846153846154
28,3890.8333333333335,175.2,4217.846153846154
29,3993.5,175.2,4344.153846153846
30,4014.315789473684,182.4,4312.285714285715
31,4191.368421052632,184.8,4514.285714285715
32,4295.0526315789475,184.8,4640.142857142857
33,4427.789473684211,187.2,4791.142857142857
34,4566.315789473684,187.2,4956.0
35,4154.090909090909,194.4,4304.64705882353
36,3961.125,194.4,4024.4210526315787
37,3926.96,199.2,3955.9
38,3693.75,199.2,3643.695652173913
39,3735.964285714286,201.6,3683.913043478261
40,3597.9,218.4,3489.28
41,3687.8333333333335,218.4,3587.2
42,3697.032258064516,218.4,3585.0
43,3822.8387096774195,221.0,3712.1153846153848
44,3702.848484848485,221.0,3567.75
45,3727.0588235294117,221.0,3583.2413793103447
46,3704.2285714285713,221.0,3553.0
47,3818.5714285714284,221.0,3674.6666666666665
48,3988.8571428571427,221.0,3855.366666666667
49,4056.6857142857143,221.0,3927.4
50,3925.135135135135,172.0,4000.1
51,3908.2105263157896,174.0,3966.967741935484
52,3945.7894736842104,174.0,4010.3225806451615
53,3895.3846153846152,174.0,3940.875
54,3787.243902439024,176.0,3791.970588235294
55,3716.4883720930234,157.5,3787.9142857142856
56,3534.717391304348,157.5,3555.9210526315787
57,3590.391304347826,157.5,3617.3684210526317
58,3378.2,151.66666666666666,3415.951219512195
59,3404.5882352941176,151.66666666666666,3436.714285714286
60,3411.0384615384614,153.33333333333334,3429.279069767442
61,3461.4716981132074,153.33333333333334,3475.181818181818
62,3512.7735849056603,153.33333333333334,3531.6363636363635
63,3498.4444444444443,156.66666666666666,3508.8
64,3528.777777777778,158.33333333333334,3537.4666666666667
65,3527.7818181818184,158.33333333333334,3529.1739130434785
66,3492.1785714285716,160.0,3478.468085106383
67,3521.8571428571427,160.0,3525.31914893617
68,3514.4210526315787,160.0,3511.25
69,3584.6666666666665,160.0,3586.6666666666665
70,3660.5087719298244,160.0,3668.4375
71,3693.4736842105262,160.0,3704.7083333333335
72,3617.6271186440677,155.2,3664.795918367347
73,3556.655737704918,155.2,3584.705882352941
74,3619.5737704918033,155.2,3654.3529411764707
