num_images,all,giraffes,zebras
2,442.5,0.0,390.0
3,949.3333333333334,13.0,1209.0
4,1989.0,27.0,3348.0
5,997.6666666666666,26.0,1000.0
6,2616.3333333333335,24.0,3312.0
7,2807.25,26.0,3341.3333333333335
8,1596.5,20.0,2218.4
9,2854.8,50.0,3082.75
10,3542.0,72.0,4972.0
11,2031.3333333333333,37.0,2604.0
12,2135.3636363636365,52.5,2266.6666666666665
13,1829.0,99.0,1697.142857142857
14,2540.5454545454545,38.0,2735.6666666666665
15,3105.0,130.0,3100.3
16,2816.0,80.0,2909.090909090909
17,2491.0,42.0,2779.6363636363635
18,2988.4615384615386,69.0,3097.090909090909
19,2797.6666666666665,48.0,2847.846153846154
20,3293.75,171.5,3225.8571428571427
21,2550.0,112.0,2426.722222222222
22,2262.0,69.33333333333333,2239.3636363636365
23,3321.0,212.0,3086.5625
24,2744.086956521739,135.0,2616.8571428571427
25,3332.181818181818,150.0,3182.4
26,2679.0,147.0,2563.478260869565
27,3155.625,212.0,2965.909090909091
28,2650.064516129032,128.0,2561.8571428571427
29,3113.3793103448274,170.0,3041.12
30,4147.666666666667,172.5,4032.4210526315787
31,3492.8888888888887,146.0,3578.181818181818
32,3084.090909090909,155.0,2907.3548387096776
33,3128.15625,92.0,3041.3793103448274
34,3592.8888888888887,365.0,3250.076923076923
35,2785.2631578947367,119.0,2702.1176470588234
36,2461.875,118.0,2409.3488372093025
37,3094.0,128.0,3119.9655172413795
38,3304.777777777778,211.75,3173.625
39,3123.5526315789475,213.0,2888.1111111111113
40,2813.0,125.0,2664.871794871795
41,3768.9166666666665,134.75,3695.125
42,3006.2045454545455,240.0,2772.0
43,3562.5675675675675,369.0,3225.6
44,3162.0731707317073,142.2,3093.3333333333335
45,4149.090909090909,133.83333333333334,4363.259259259259
46,2868.235294117647,159.75,2716.744680851064
47,3023.64,125.0,2844.0851063829787
48,4063.5555555555557,300.0,3762.5
49,3870.9473684210525,152.0,3876.5454545454545
50,3132.0,163.33333333333334,2964.8979591836733
51,3448.4897959183672,148.0,3374.0454545454545
52,3669.75,243.33333333333334,3465.3658536585367
53,3149.903846153846,131.66666666666666,3096.195652173913
54,3691.734693877551,173.25,3535.288888888889
55,3530.2291666666665,195.0,3361.1363636363635
56,3639.446808510638,218.66666666666666,3410.159090909091
57,3578.037037037037,133.33333333333334,3520.8333333333335
58,3785.1428571428573,150.33333333333334,3759.4418604651164
59,3383.6603773584907,131.4,3305.25
60,3534.6181818181817,176.0,3451.3333333333335
61,3551.1111111111113,258.0,3294.470588235294
62,3477.5,170.0,3341.7450980392155
63,3550.5,210.0,3353.740740740741
64,3340.7377049180327,180.0,3209.6363636363635
65,3705.181818181818,175.5,3557.6862745098038
66,3616.581818181818,176.0,3556.75
67,3261.818181818182,117.6,3122.1639344262294
68,3350.0689655172414,184.8,3187.0943396226417
69,3426.923076923077,290.5,3156.4444444444443
70,3878.690909090909,165.0,3806.816326530612
71,3431.27868852459,180.0,3276.8
72,3497.0,144.83333333333334,3419.0
73,3327.154929577465,168.0,3212.859375
74,3588.4328358208954,166.0,3473.1803278688526
