num_images,all,giraffes,zebras
2,1404.0,140.0,0.0
3,1512.0,238.0,1479.0
4,2050.0,259.0,2176.0
5,3025.0,294.0,3440.0
6,2668.0,315.0,2397.0
7,3718.0,336.0,3599.0
8,3438.0,336.0,3120.0
9,3768.75,350.0,3445.3333333333335
10,3836.8,212.0,4453.333333333333
11,3236.5714285714284,165.0,3980.25
12,3535.714285714286,180.0,4410.0
13,3899.285714285714,189.0,4888.0
14,3701.25,198.0,4262.4
15,3540.0,198.0,3877.5
16,3494.4,201.0,3693.285714285714
17,3448.3636363636365,167.5,4028.0
18,3456.6666666666665,170.0,3892.0
19,3409.4615384615386,175.0,3705.0
20,3700.4615384615386,175.0,4064.4444444444443
21,3713.285714285714,180.0,3973.2
22,3955.714285714286,180.0,4276.8
23,3684.1875,182.5,3813.1666666666665
24,3862.5,185.0,4013.3333333333335
25,3753.0,190.0,3817.0
26,3700.6666666666665,190.0,3723.0
27,3877.8333333333335,190.0,3927.214285714286
28,3851.9473684210525,167.2,4114.857142857143
29,3838.8,184.8,4014.4
30,3643.2727272727275,192.0,3717.6470588235293
31,3548.086956521739,192.0,3582.0
32,3585.0,196.8,3581.0526315789475
33,3693.0833333333335,196.8,3704.2105263157896
34,3680.16,196.8,3666.25
35,3406.4285714285716,199.2,3320.086956521739
36,3526.6428571428573,204.0,3442.1739130434785
37,3510.0,204.0,3416.0
38,3618.6206896551726,204.0,3534.0
39,3538.2580645161293,184.16666666666666,3545.64
40,3619.3548387096776,184.16666666666666,3636.64
41,3683.3870967741937,184.16666666666666,3709.44
42,3752.7096774193546,184.16666666666666,3786.88
43,3644.5454545454545,188.5,3637.3333333333335
44,3676.235294117647,188.5,3657.4285714285716
45,3689.714285714286,188.5,3661.7586206896553
46,3685.6944444444443,188.5,3647.0
47,3650.5945945945946,163.42857142857142,3713.6
48,3672.0,163.42857142857142,3724.3548387096776
49,3781.1052631578946,163.42857142857142,3846.6451612903224
50,3610.9756097560976,154.0,3716.818181818182
51,3579.3333333333335,138.44444444444446,3774.0
52,3632.3333333333335,141.55555555555554,3828.3636363636365
53,3488.4,141.55555555555554,3619.472222222222
54,3484.8478260869565,141.55555555555554,3602.054054054054
55,3548.913043478261,141.55555555555554,3673.945945945946
56,3470.25,141.55555555555554,3563.897435897436
57,3380.08,141.55555555555554,3445.0975609756097
58,3423.92,141.55555555555554,3494.6341463414633
59,3484.92,141.55555555555554,3562.0243902439024
60,3378.8076923076924,143.11111111111111,3421.6744186046512
61,3255.3818181818183,143.11111111111111,3264.695652173913
62,3252.8571428571427,143.11111111111111,3255.31914893617
63,3301.25,153.33333333333334,3295.0425531914893
64,3298.7894736842104,153.33333333333334,3286.125
65,3229.0338983050847,155.0,3207.36
66,3300.0,155.0,3283.38
67,3381.101694915254,156.66666666666666,3365.5
68,3421.6949152542375,156.66666666666666,3410.12
69,3402.8,158.33333333333334,3378.901960784314
70,3450.6,160.0,3425.294117647059
71,3506.1833333333334,161.66666666666666,3479.4117647058824
72,3584.15,161.66666666666666,3562.9803921568628
73,3630.9,161.66666666666666,3612.549019607843
74,3612.5409836065573,161.66666666666666,3588.153846153846
75,3607.1129032258063,161.66666666666666,3577.5471698113206
