num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,1144.0,30.0,1752.0
4,2358.0,42.0,3910.0
5,2622.0,16.0,4514.0
6,1667.25,22.0,1912.6666666666667
7,2120.4,43.5,2826.0
8,1950.0,36.0,2624.0
9,3435.0,66.0,4804.333333333333
10,3555.0,93.0,3780.0
11,1746.6666666666667,38.666666666666664,2018.2222222222222
12,3234.0,76.0,3300.0
13,2745.6,115.0,2759.75
14,1948.4705882352941,88.0,1794.0
15,2121.0,100.0,2050.8571428571427
16,2859.230769230769,126.0,2720.0
17,2083.2,88.0,2088.823529411765
18,2122.714285714286,98.0,2039.9473684210527
19,2312.8,82.25,2455.875
20,5156.181818181818,159.0,5341.888888888889
21,3491.6,132.5,3472.0
22,3301.0526315789475,260.0,3022.5
23,2796.0,82.5,2911.8
24,3394.6666666666665,186.0,3256.0
25,2646.4285714285716,116.0,2556.0
26,3544.4210526315787,105.0,3651.5
27,2580.0,106.75,2524.5
28,3017.8888888888887,107.2,3135.7727272727275
29,3833.090909090909,231.0,3601.35
30,3021.777777777778,154.0,2924.125
31,2720.8,134.0,2584.1875
32,3520.137931034483,111.66666666666667,3459.076923076923
33,4102.5,118.8,4446.0
34,2486.121951219512,117.25,2396.675675675676
35,3637.5,165.0,3471.923076923077
36,2524.1,138.0,2347.5789473684213
37,2945.4210526315787,115.5,2879.0588235294117
38,3656.625,155.25,3596.4285714285716
39,2941.3255813953488,112.0,2926.315789473684
40,3141.425,124.2,3098.457142857143
41,3280.153846153846,121.66666666666667,3126.6666666666665
42,3773.4117647058824,133.0,3736.4333333333334
43,3379.275,142.0,3253.837837837838
44,3456.1,444.0,3130.6666666666665
45,3169.446808510638,222.0,2973.6279069767443
46,3843.684210526316,133.71428571428572,4046.9032258064517
47,3368.6666666666665,118.4,3344.0
48,3650.9473684210525,152.0,3558.823529411765
49,3691.3333333333335,248.5,3443.775
50,3192.42,140.0,3150.6136363636365
51,3305.25,110.6,3245.0232558139537
52,3772.8571428571427,164.0,3700.108108108108
53,3397.2916666666665,158.0,3253.7727272727275
54,3581.9,150.0,3508.9772727272725
55,3822.9166666666665,154.8,3725.6744186046512
56,3525.4901960784314,142.0,3415.021276595745
57,3307.5555555555557,144.83333333333334,3237.0
58,3124.2,166.0,3037.509433962264
59,3110.3125,164.66666666666666,3004.2413793103447
60,3695.3137254901962,202.5,3504.574468085106
61,3453.1132075471696,128.33333333333334,3434.553191489362
62,3237.0,174.0,3058.0
63,3241.1935483870966,172.0,3115.089285714286
64,3295.0158730158732,170.0,3098.0508474576272
65,2991.536231884058,176.0,2844.0
66,3440.9491525423728,141.66666666666666,3367.9245283018868
67,3538.125,191.25,3353.5
68,3333.846153846154,215.0,3130.9508196721313
69,3786.8727272727274,229.33333333333334,3541.346153846154
70,3563.65,218.66666666666666,3339.3684210526317
71,3664.3793103448274,149.14285714285714,3640.0
72,3681.0,178.0,3505.6271186440677
73,3786.4285714285716,174.0,3659.157894736842
74,3163.4868421052633,130.5,3098.9411764705883
