num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,1170.0,0.0,1143.0
7,1788.0,0.0,1740.0
8,2352.0,0.0,2282.0
9,3015.0,0.0,2925.0
10,3408.0,0.0,3296.0
11,3824.0,0.0,3664.0
12,4096.0,0.0,3936.0
13,4860.0,0.0,4680.0
14,6744.0,0.0,6504.0
15,7956.0,0.0,7644.0
16,4814.0,0.0,4611.0
17,5175.0,0.0,4965.0
18,3786.6666666666665,0.0,3637.3333333333335
19,3285.0,0.0,3150.0
20,3734.25,0.0,3588.0
21,3609.0,0.0,3474.0
22,3771.0,0.0,3627.0
23,4002.0,0.0,3854.8
24,4530.0,0.0,4360.0
25,3571.714285714286,0.0,3440.5714285714284
26,2772.4,0.0,2673.8
27,2313.076923076923,0.0,2227.230769230769
28,2182.4,32.0,2214.6428571428573
29,2333.3333333333335,32.0,2370.6428571428573
30,2486.866666666667,34.0,2520.0
31,2610.0,35.0,2642.8571428571427
32,2351.1111111111113,36.0,2351.4117647058824
33,2434.5,36.0,2437.6470588235293
34,2663.1666666666665,37.0,2666.0
35,2607.5789473684213,41.0,2585.8333333333335
36,2704.7368421052633,42.0,2679.8888888888887
37,2709.4,42.0,2682.1052631578946
38,2790.0,42.0,2764.842105263158
39,2984.1,44.0,2950.842105263158
40,2948.2380952380954,44.0,2910.0
41,2926.181818181818,45.0,2993.7
42,3039.7727272727275,45.0,3113.25
43,3136.2272727272725,45.0,3215.35
44,3177.1304347826085,46.0,3242.6666666666665
45,3286.1739130434785,46.0,3356.904761904762
46,3435.3478260869565,46.0,3513.3333333333335
47,3588.2608695652175,46.0,3672.7619047619046
48,3652.0,47.0,3722.7272727272725
49,3618.0,47.0,3678.782608695652
50,3525.925925925926,48.0,3560.4
51,3523.9285714285716,53.0,3525.0
52,3387.2,81.0,3368.5714285714284
53,3473.0666666666666,81.0,3457.0714285714284
54,3430.6451612903224,108.0,3386.0689655172414
55,3474.1935483870966,110.0,3426.6206896551726
56,3578.2258064516127,112.0,3527.5862068965516
57,3665.0,112.0,3616.551724137931
58,3732.548387096774,112.0,3685.3793103448274
59,3816.0,112.0,3770.896551724138
60,3997.2580645161293,116.0,3943.862068965517
61,4042.9032258064517,120.0,3979.448275862069
62,4124.129032258064,122.0,4056.7241379310344
63,3902.676470588235,124.0,3814.375
64,3943.3823529411766,124.0,3856.875
65,3740.9189189189187,130.0,3629.1428571428573
66,3627.6923076923076,130.0,3511.2972972972975
67,3535.0243902439024,130.0,3415.3846153846152
68,3501.785714285714,108.33333333333333,3448.2820512820513
69,3413.909090909091,108.33333333333333,3352.390243902439
70,3471.818181818182,108.33333333333333,3411.512195121951
71,3585.340909090909,108.33333333333333,3526.512195121951
72,3499.4347826086955,108.33333333333333,3433.3488372093025
73,3552.1739130434785,108.33333333333333,3486.9767441860463
74,3649.891304347826,110.0,3580.6046511627906
