num_images,all,giraffes,zebras
2,580.0,9.0,0.0
3,1309.5,13.0,0.0
4,1101.3333333333333,30.0,1339.0
5,2036.6666666666667,45.0,2530.0
6,7144.0,44.0,0.0
7,2422.5,90.0,2704.0
8,1766.5714285714287,54.0,1794.0
9,2187.4285714285716,68.0,2480.0
10,1762.2222222222222,70.0,1701.0
11,2673.0,49.333333333333336,3588.2
12,2993.0,42.0,3010.5714285714284
13,3365.714285714286,80.0,3400.0
14,2283.6363636363635,80.0,2191.8
15,2638.4615384615386,88.0,2657.6363636363635
16,2108.470588235294,168.0,1936.6875
17,3632.0833333333335,106.0,3774.0
18,3204.923076923077,86.0,3259.6363636363635
19,2413.8888888888887,73.5,2367.375
20,3162.3529411764707,98.0,2992.5
21,3807.1428571428573,108.0,3811.5
22,3039.4545454545455,126.0,3135.777777777778
23,4332.0,118.0,4375.25
24,2894.1052631578946,122.0,2938.0
25,4119.4,142.5,4130.153846153846
26,3426.3,378.0,3083.684210526316
27,2813.777777777778,224.0,2598.56
28,2732.1428571428573,120.0,2638.08
29,3530.25,155.0,3368.3636363636365
30,2140.4102564102564,110.25,2049.9714285714285
31,2753.4375,95.2,2820.777777777778
32,3872.9166666666665,432.0,3472.608695652174
33,3521.035714285714,108.0,3710.6521739130435
34,2603.897435897436,89.6,2599.6176470588234
35,3125.3333333333335,146.25,3093.5172413793102
36,3289.6969696969695,134.0,3234.7586206896553
37,3390.5454545454545,192.0,3199.548387096774
38,2838.512195121951,181.33333333333334,2662.7368421052633
39,4124.814814814815,163.33333333333334,4049.5
40,3315.6666666666665,198.0,3098.7567567567567
41,2993.439024390244,160.0,2814.315789473684
42,3162.7555555555555,159.75,3024.878048780488
43,3063.8837209302324,142.0,2915.6
44,3154.4418604651164,141.16666666666666,3119.837837837838
45,4060.5714285714284,162.0,4006.451612903226
46,3262.5,150.0,3202.7567567567567
47,3494.3658536585367,175.0,3323.0526315789475
48,3653.6190476190477,166.5,3522.4210526315787
49,3071.391304347826,203.5,2909.190476190476
50,2744.406779661017,121.5,2664.509433962264
51,3954.439024390244,234.0,3733.7368421052633
52,3410.7291666666665,373.5,3103.4347826086955
53,3392.078431372549,126.0,3281.3617021276596
54,3742.7272727272725,184.33333333333334,3551.682926829268
55,3346.9056603773583,166.0,3214.1666666666665
56,3301.4210526315787,145.8,3159.6923076923076
57,3619.42,172.8,3536.0
58,3739.68,184.5,3549.913043478261
59,3464.7241379310344,151.2,3340.3396226415093
60,3518.285714285714,200.0,3327.923076923077
61,3865.0384615384614,180.4,3751.659574468085
62,3685.2075471698113,215.8,3529.6458333333335
63,3271.8688524590166,151.2,3132.8571428571427
64,3294.7868852459014,140.57142857142858,3261.314814814815
65,3319.2203389830506,196.8,3163.5
66,3342.96875,174.0,3157.9333333333334
67,3480.8571428571427,172.0,3335.157894736842
68,3296.3636363636365,231.4,3085.8196721311474
69,3813.8032786885246,276.6666666666667,3564.689655172414
70,3170.4857142857145,168.0,3048.75
71,3508.109375,174.0,3371.7758620689656
72,3442.9253731343283,166.0,3298.016129032258
73,3177.1428571428573,186.33333333333334,3017.4375
74,3374.7272727272725,184.16666666666666,3255.3333333333335
