num_images,all,giraffes,zebras
2,1281.0,1770.0,936.0
3,36200.0,1770.0,34680.0
4,1111.5,16.0,1245.6666666666667
5,2475.3333333333335,26.0,3151.0
6,1206.3333333333333,36.0,1224.0
7,2352.0,40.0,2768.0
8,2322.6666666666665,39.0,2960.0
9,1730.1,32.0,1680.0
10,2396.625,108.0,2325.714285714286
11,2161.090909090909,156.0,2008.0
12,1872.0,55.5,1998.888888888889
13,2661.1,49.333333333333336,3254.285714285714
14,2749.090909090909,69.0,2900.0
15,2105.8333333333335,38.0,2158.0
16,3430.0,120.0,3496.0
17,3575.0,108.0,3406.909090909091
18,2484.705882352941,132.5,2401.0
19,2928.0,149.33333333333334,2923.285714285714
20,2131.6521739130435,88.33333333333333,2091.9
21,3331.5333333333333,81.0,3340.3076923076924
22,4400.2,105.0,5065.454545454545
23,3262.9411764705883,224.0,3097.6
24,3329.4444444444443,89.6,3917.076923076923
25,2555.52,260.0,2333.625
26,2310.9375,126.0,2194.7586206896553
27,3246.25,114.0,3227.5714285714284
28,3562.5,140.0,3440.7272727272725
29,2686.064516129032,82.6,2778.076923076923
30,2520.189189189189,236.0,2304.972222222222
31,3399.925925925926,97.5,3260.0
32,2636.4,108.5,2602.451612903226
33,2904.8823529411766,183.0,2693.25
34,3076.15625,178.66666666666666,2924.4827586206898
35,3309.0857142857144,146.25,3276.0
36,3538.8709677419356,102.0,3560.1111111111113
37,3029.1428571428573,167.5,2864.3030303030305
38,3189.6857142857143,138.0,3060.03125
39,3716.818181818182,280.0,3426.0
40,3401.1428571428573,132.0,3289.875
41,3886.2580645161293,185.0,3668.9655172413795
42,2722.2391304347825,162.0,2560.0
43,3018.8260869565215,112.5,2917.5238095238096
44,4053.848484848485,158.0,3845.1612903225805
45,3446.590909090909,154.0,3303.825
46,3786.0789473684213,129.5,3736.764705882353
47,3142.311111111111,163.33333333333334,2972.5
48,3484.8837209302324,140.0,3351.7948717948716
49,3570.1463414634145,135.42857142857142,3683.529411764706
50,2816.1509433962265,168.0,2620.8
51,3808.3720930232557,152.16666666666666,3823.2432432432433
52,3834.6666666666665,186.66666666666666,3640.190476190476
53,3312.9795918367345,160.0,3158.222222222222
54,3350.3076923076924,219.0,3175.5
55,3369.056603773585,151.2,3243.625
56,3472.0,200.0,3290.608695652174
57,3233.7457627118642,166.0,3045.2
58,3642.156862745098,147.6,3536.413043478261
59,3745.2549019607845,156.0,3660.0
60,3243.6666666666665,156.6,3092.4545454545455
61,3588.0714285714284,244.75,3353.5384615384614
62,3308.3050847457625,211.75,3107.836363636364
63,3399.8,192.0,3236.181818181818
64,3320.46875,211.2,3139.728813559322
65,3984.910714285714,136.71428571428572,4001.530612244898
66,3727.690909090909,290.5,3440.7735849056603
67,3507.1774193548385,117.0,3472.9821428571427
68,3534.915254237288,176.0,3346.6181818181817
69,3808.6666666666665,202.5,3632.9285714285716
70,3570.2615384615383,228.25,3357.1475409836066
71,3251.820895522388,212.5,3043.285714285714
72,3081.6323529411766,156.0,2991.311475409836
73,4058.8,168.0,3880.5882352941176
74,3304.7972972972975,166.0,3174.1176470588234
