num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,1096.0,0.0,1072.0
7,1705.0,0.0,1661.0
8,2100.0,0.0,2028.0
9,2800.0,0.0,2716.0
10,3390.0,0.0,3270.0
11,3952.0,0.0,3792.0
12,5628.0,0.0,5418.0
13,6744.0,0.0,6504.0
14,3762.5,0.0,3637.5
15,4212.0,0.0,4063.5
16,4414.5,0.0,4266.0
17,5409.5,0.0,5223.5
18,5989.5,0.0,5775.0
19,4351.666666666667,0.0,4200.0
20,3561.25,0.0,3431.75
21,3564.0,0.0,3432.0
22,3929.2,0.0,3778.8
23,3833.6666666666665,0.0,3692.3333333333335
24,3227.625,0.0,3106.5
25,3487.5,0.0,3360.0
26,3675.25,0.0,3538.0
27,3858.75,0.0,3709.125
28,3699.8888888888887,0.0,3558.4444444444443
29,3635.2,0.0,3493.2
30,3744.0,0.0,3600.0
31,3086.769230769231,34.0,3168.75
32,2859.8,35.0,2902.714285714286
33,2794.5,35.0,2826.6666666666665
34,2950.5,38.0,2971.4
35,3054.705882352941,39.0,3064.9375
36,3038.0,39.0,3041.4117647058824
37,3107.222222222222,39.0,3112.764705882353
38,3411.3333333333335,39.0,3422.1176470588234
39,3105.9,41.0,3088.4736842105262
40,3172.4,41.0,3156.6315789473683
41,3224.5714285714284,41.0,3204.65
42,3351.1428571428573,41.0,3333.0
43,3485.1428571428573,42.0,3463.45
44,3604.714285714286,43.0,3578.6
45,3404.4347826086955,45.0,3357.6363636363635
46,3614.1304347826085,45.0,3567.818181818182
47,3757.8260869565215,46.0,3706.181818181818
48,3735.0833333333335,46.0,3678.782608695652
49,3699.2,46.0,3639.375
50,3759.28,47.0,3694.6666666666665
51,3435.285714285714,49.0,3377.185185185185
52,3539.8571428571427,98.0,3457.1111111111113
53,3549.310344827586,100.0,3537.925925925926
54,3583.7586206896553,100.0,3573.3333333333335
55,3712.5172413793102,104.0,3694.5185185185187
56,3714.8333333333335,104.0,3691.4285714285716
57,3778.064516129032,104.0,3751.7586206896553
58,3764.28125,112.0,3712.0
59,3818.125,114.0,3762.0333333333333
60,3732.242424242424,114.0,3671.8387096774195
61,3700.823529411765,116.0,3631.84375
62,3792.5588235294117,120.0,3714.25
63,3742.457142857143,120.0,3660.3636363636365
64,3818.4,124.0,3728.242424242424
65,3683.6315789473683,105.0,3660.0
66,3739.0789473684213,106.66666666666667,3711.942857142857
67,3788.4736842105262,106.66666666666667,3763.4285714285716
68,3810.6153846153848,108.33333333333333,3776.5
69,3850.2820512820513,108.33333333333333,3817.5833333333335
70,3878.4,108.33333333333333,3841.2972972972975
71,3948.75,108.33333333333333,3912.9189189189187
72,3767.1162790697676,108.33333333333333,3714.75
73,3847.3953488372094,108.33333333333333,3796.65
74,3806.4545454545455,108.33333333333333,3751.2195121951218
