num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,36200.0,1770.0,34680.0
7,36200.0,1770.0,34680.0
8,36200.0,1770.0,34680.0
9,36200.0,1770.0,34680.0
10,36200.0,1770.0,34680.0
11,4693.0,1770.0,4541.0
12,5830.0,1770.0,5654.0
13,3404.0,1770.0,3312.0
14,2835.0,1770.0,2754.0
15,3340.0,1770.0,3240.0
16,3712.0,1770.0,3605.3333333333335
17,3085.5,1770.0,3000.5
18,3496.5,1770.0,3404.0
19,3763.5,1770.0,3646.5
20,3362.0,1770.0,3255.4
21,3460.4,1770.0,3353.8
22,3715.2,1770.0,3594.8
23,3367.5,1770.0,3255.0
24,2817.5,1770.0,2725.625
25,3127.0,1770.0,3021.0
26,2886.0,1770.0,2790.0
27,2976.8,1770.0,2873.1
28,2818.181818181818,1770.0,2722.3636363636365
29,2667.0,1770.0,2572.5
30,2832.9166666666665,1770.0,2730.0
31,2975.9166666666665,1770.0,2869.8333333333335
32,3060.0,1770.0,2952.3333333333335
33,2892.6923076923076,1770.0,2791.846153846154
34,2497.5,1770.0,2412.0
35,2365.842105263158,1770.0,2286.842105263158
36,2348.0,33.0,2353.05
37,2530.1428571428573,33.0,2538.8
38,2588.5714285714284,33.0,2598.8
39,2567.6363636363635,34.0,2569.6666666666665
40,2636.2727272727275,35.0,2635.0
41,2784.090909090909,36.0,2780.6666666666665
42,2699.4583333333335,36.0,2782.090909090909
43,2662.1153846153848,36.0,2728.5
44,2836.846153846154,38.0,2902.6666666666665
45,2956.5,38.0,3028.3333333333335
46,2932.5185185185187,39.0,2992.8
47,2983.814814814815,40.0,3042.0
48,3090.6666666666665,41.0,3148.8
49,3123.0,41.0,3176.3076923076924
50,3089.655172413793,41.0,3136.0
51,3169.310344827586,42.0,3214.222222222222
52,3141.6,44.0,3171.0714285714284
53,3144.1935483870966,66.0,3145.2413793103447
54,3108.1875,66.0,3104.3333333333335
55,3183.96875,67.5,3177.866666666667
56,3270.4375,67.5,3266.5
57,3237.818181818182,69.0,3224.8064516129034
58,3212.0,70.5,3190.6875
59,3214.1428571428573,72.0,3185.4545454545455
60,3274.285714285714,73.5,3242.909090909091
61,3302.3611111111113,73.5,3268.0
62,3392.6111111111113,76.5,3350.735294117647
63,3452.864864864865,79.5,3399.4
64,3445.4736842105262,79.5,3389.3333333333335
65,3390.153846153846,79.5,3331.2162162162163
66,3243.4285714285716,79.5,3177.2
67,3165.909090909091,79.5,3096.0
68,3236.3636363636365,79.5,3166.6666666666665
69,3293.181818181818,82.5,3215.5
70,3387.2727272727275,82.5,3309.714285714286
71,3418.8,76.0,3391.6666666666665
72,3410.086956521739,76.0,3379.6279069767443
73,3471.8478260869565,76.0,3442.4418604651164
74,3551.086956521739,77.33333333333333,3519.0697674418607
