num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,833.3333333333334,12.0,1116.0
4,2437.5,54.0,3848.0
5,1973.3333333333333,46.0,2470.0
6,4293.0,36.0,7344.0
7,1382.857142857143,45.0,1570.4
8,1800.0,27.0,2247.5
9,2628.0,60.0,3213.0
10,3025.0,44.0,3034.0
11,4477.2,80.0,6314.666666666667
12,4335.0,54.0,5676.0
13,3412.5,117.0,3331.4285714285716
14,2407.0,74.0,2518.125
15,2857.846153846154,80.0,3141.5
16,4048.0,81.66666666666667,5225.0
17,2797.5,47.0,2849.6666666666665
18,5488.0,115.0,6295.166666666667
19,3658.0,102.0,3762.0
20,3093.3333333333335,114.66666666666667,3276.0
21,2897.4,94.0,2866.6666666666665
22,4122.857142857143,112.0,3908.923076923077
23,4773.923076923077,162.5,4824.272727272727
24,3701.176470588235,142.33333333333334,3798.285714285714
25,2445.153846153846,95.0,2376.3478260869565
26,2419.9285714285716,128.33333333333334,2342.28
27,2183.3823529411766,108.0,2070.0
28,4482.0,279.0,4284.0
29,2998.035714285714,176.0,2870.4
30,4063.681818181818,145.0,3968.25
31,3426.576923076923,160.0,3284.3333333333335
32,3297.8571428571427,162.5,3134.4615384615386
33,2988.181818181818,156.33333333333334,2855.2
34,3486.0,122.0,3537.8260869565215
35,4180.833333333333,126.0,4182.952380952381
36,3283.75,147.0,3172.6206896551726
37,3577.03125,207.0,3320.1
38,2776.05,150.75,2689.777777777778
39,3323.0526315789475,210.66666666666666,3118.2285714285713
40,3397.7714285714287,211.75,3234.967741935484
41,4089.866666666667,134.0,4046.3703703703704
42,3581.3513513513512,154.0,3445.029411764706
43,3095.2,126.0,3039.925
44,3358.568181818182,200.0,3150.2926829268295
45,3722.205882352941,324.0,3419.25
46,3182.5714285714284,171.0,3009.6
47,3469.35,130.5,3359.9444444444443
48,2802.8793103448274,141.16666666666666,2699.230769230769
49,3415.0,219.0,3219.2727272727275
50,2976.222222222222,203.5,2790.0
51,2923.0,156.0,2806.153846153846
52,3165.9622641509436,127.75,3027.5510204081634
53,3684.5714285714284,160.0,3643.186046511628
54,3632.7727272727275,164.25,3530.475
55,3596.6,173.8,3483.222222222222
56,3427.02,316.0,3139.2083333333335
57,3427.285714285714,141.75,3295.288888888889
58,3197.3684210526317,111.0,3087.9245283018868
59,3622.9245283018868,149.4,3514.0416666666665
60,3743.288888888889,173.25,3607.8048780487807
61,3232.34375,141.66666666666666,3108.8275862068967
62,3555.714285714286,163.42857142857142,3486.0
63,3036.626865671642,166.0,2896.967213114754
64,3411.0,138.28571428571428,3345.3818181818183
65,3612.948275862069,197.5,3442.5925925925926
66,3135.5757575757575,130.66666666666666,3151.40350877193
67,3695.8793103448274,168.0,3545.6603773584907
68,3543.951612903226,126.0,3475.7678571428573
69,3742.603448275862,215.0,3522.4444444444443
70,3459.076923076923,225.0,3243.1147540983607
71,3199.9402985074626,132.8,3087.1129032258063
72,3695.8064516129034,145.71428571428572,3643.309090909091
73,3672.8125,154.8,3542.7796610169494
74,3189.189189189189,195.8,2988.1739130434785
