num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,4114.0,34.0,34680.0
5,1296.75,37.5,1998.0
6,1134.0,1770.0,920.0
7,2047.5,24.0,2207.2
8,1386.0,30.0,1340.75
9,2137.1428571428573,108.5,2330.2
10,2490.0,38.0,3190.0
11,4847.25,35.0,5621.333333333333
12,2921.25,97.5,3285.3333333333335
13,2648.8,80.0,2803.5
14,3214.4,135.0,3061.1111111111113
15,1912.4444444444443,80.0,1862.5
16,2929.1666666666665,60.0,3072.8
17,3366.0,153.0,3420.3333333333335
18,1985.142857142857,130.0,1859.421052631579
19,2404.65,68.75,2559.125
20,3067.3333333333335,92.0,2928.470588235294
21,3527.5,165.0,3426.4285714285716
22,2613.095238095238,85.0,2641.8333333333335
23,3616.823529411765,96.0,3817.714285714286
24,2436.5,137.5,2314.2
25,2497.4347826086955,91.5,2596.0
26,2990.625,220.5,2791.3636363636365
27,2530.064516129032,189.0,2330.9655172413795
28,2931.230769230769,151.66666666666666,2822.304347826087
29,3304.3478260869565,130.0,3226.6
30,2763.8709677419356,94.5,2754.0
31,3547.5,124.0,3634.0
32,2725.4857142857145,110.0,2635.0
33,3739.5172413793102,118.0,3581.8518518518517
34,3335.5555555555557,170.0,3307.478260869565
35,3492.09375,139.5,3469.714285714286
36,2675.3846153846152,165.33333333333334,2517.3333333333335
37,3756.25,124.0,3750.8571428571427
38,3248.222222222222,113.4,3315.483870967742
39,3506.3333333333335,204.0,3368.7272727272725
40,2972.608695652174,163.33333333333334,2819.0697674418607
41,4286.903225806452,100.0,4233.0
42,3338.6666666666665,186.66666666666666,3184.242424242424
43,3605.25,171.0,3493.75
44,3476.7837837837837,156.0,3331.764705882353
45,3176.7659574468084,155.25,3054.4186046511627
46,3407.232558139535,150.75,3295.3846153846152
47,3282.0652173913045,170.33333333333334,3077.3488372093025
48,3646.5405405405404,255.5,3402.3142857142857
49,3182.6326530612246,179.66666666666666,2989.1304347826085
50,3616.7441860465115,175.0,3480.871794871795
51,3379.591836734694,216.0,3145.5
52,3411.3,231.0,3176.1702127659573
53,3607.78,176.0,3490.177777777778
54,3479.1428571428573,156.0,3320.222222222222
55,3773.31914893617,160.0,3742.8048780487807
56,3732.7659574468084,130.0,3561.4545454545455
57,3325.5,146.25,3341.9166666666665
58,3383.875,175.5,3204.846153846154
59,3420.754716981132,234.0,3181.176470588235
60,3466.1111111111113,301.0,3179.5384615384614
61,2915.3384615384616,182.5,2740.72131147541
62,3388.5,202.66666666666666,3188.2982456140353
63,3477.948275862069,190.0,3316.1111111111113
64,3417.2131147540986,152.0,3284.1071428571427
65,3519.509433962264,163.42857142857142,3484.782608695652
66,3378.5714285714284,174.0,3214.9310344827586
67,3413.4920634920636,174.0,3260.793103448276
68,3602.6666666666665,160.0,3494.2115384615386
69,3685.0,174.0,3490.0714285714284
70,3579.5833333333335,200.25,3380.410714285714
71,3455.5522388059703,180.0,3314.1967213114754
72,3566.0625,178.0,3425.0
73,3355.8823529411766,151.66666666666666,3218.2258064516127
74,3121.3150684931506,186.33333333333334,2965.9701492537315
