num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,2024.0,1770.0,1617.0
4,1425.0,32.0,2254.0
5,3080.0,1770.0,2794.0
6,1634.0,72.0,1652.4
7,3843.0,45.0,9686.0
8,2772.0,70.0,3802.6666666666665
9,1242.1818181818182,75.0,1219.5555555555557
10,3250.0,84.0,3358.0
11,2705.1428571428573,200.0,2568.3333333333335
12,2343.3333333333335,54.0,2586.4285714285716
13,2472.0,90.0,2356.4
14,2921.4545454545455,132.0,2790.0
15,3836.8,43.0,4815.428571428572
16,3165.6923076923076,78.0,3840.0
17,5667.375,156.0,5485.142857142857
18,4301.4,153.0,4160.0
19,4611.5,230.0,4424.444444444444
20,4537.272727272727,196.0,4351.2
21,2838.1052631578946,85.5,3073.2
22,4091.733333333333,51.0,4185.0
23,3720.9375,110.0,3484.6
24,3335.5789473684213,231.0,3142.9411764705883
25,2802.782608695652,118.0,2770.65
26,3093.391304347826,228.0,2834.0
27,3163.68,186.0,2960.8695652173915
28,3043.478260869565,118.0,3021.7
29,3190.153846153846,195.0,3026.7391304347825
30,2743.3823529411766,228.0,2523.5454545454545
31,4023.304347826087,118.0,4083.15
32,2868.3636363636365,201.0,2660.3870967741937
33,3010.0666666666666,101.66666666666667,2979.777777777778
34,2656.7368421052633,91.0,2663.3939393939395
35,3044.4545454545455,165.33333333333334,2886.4
36,3009.5405405405404,106.66666666666667,2899.4117647058824
37,2837.048780487805,97.14285714285714,2954.5588235294117
38,3478.75,120.75,3476.785714285714
39,3241.6470588235293,284.0,2953.5
40,2984.487804878049,146.0,2865.0
41,3011.3571428571427,162.5,2821.7
42,3232.3846153846152,126.0,3124.8
43,3038.608695652174,124.25,2933.6428571428573
44,4478.827586206897,155.25,4547.36
45,3762.0,154.0,3774.1935483870966
46,3462.285714285714,197.33333333333334,3262.3846153846152
47,3027.84,175.5,2861.282608695652
48,3183.409090909091,182.0,2983.0243902439024
49,3664.75,150.0,3519.108108108108
50,3206.0377358490564,142.2,3103.0
51,3294.3,192.5,3137.478260869565
52,3785.478260869565,328.5,3479.318181818182
53,2871.983333333333,126.66666666666667,2794.6481481481483
54,3460.8,175.5,3374.0454545454545
55,3216.759259259259,117.0,3091.2
56,4042.2272727272725,177.75,3892.725
57,3060.0677966101694,156.0,2991.730769230769
58,3196.896551724138,140.4,3091.245283018868
59,3350.0689655172414,187.2,3190.4150943396226
60,3227.1746031746034,217.25,3037.5254237288136
61,3203.4375,199.2,3032.9491525423728
62,3184.406779661017,204.0,3020.3703703703704
63,3544.3728813559323,233.75,3325.018181818182
64,3216.9375,139.75,3176.0535714285716
65,3299.0625,156.0,3172.322033898305
66,3460.689655172414,128.85714285714286,3441.176470588235
67,3690.206896551724,210.0,3490.6666666666665
68,3453.8333333333335,195.8,3278.909090909091
69,3434.590909090909,154.28571428571428,3339.271186440678
70,3684.1,197.16666666666666,3538.240740740741
71,3514.3968253968255,186.75,3321.6271186440677
72,3438.235294117647,182.0,3315.4193548387098
73,3633.2,211.2,3440.4
74,3505.820895522388,157.66666666666666,3383.409836065574
