num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,36200.0,1770.0,34680.0
7,36200.0,1770.0,34680.0
8,2249.0,1770.0,2210.0
9,2716.0,1770.0,2660.0
10,3180.0,1770.0,3105.0
11,3744.0,1770.0,3632.0
12,4352.0,1770.0,4216.0
13,4914.0,1770.0,4770.0
14,2900.0,1770.0,2810.0
15,3100.0,1770.0,3010.0
16,3586.0,1770.0,3487.0
17,3007.3333333333335,1770.0,2920.6666666666665
18,3163.3333333333335,1770.0,3068.0
19,3556.0,1770.0,3453.3333333333335
20,3960.0,1770.0,3840.0
21,3407.25,1770.0,3300.0
22,3159.8,1770.0,3063.6
23,3416.4,1770.0,3315.0
24,3930.2,1770.0,3818.4
25,3900.0,1770.0,3775.0
26,4142.666666666667,1770.0,4012.6666666666665
27,4293.0,1770.0,4160.5
28,4399.0,1770.0,4257.666666666667
29,4088.0,1770.0,3952.0
30,4300.285714285715,1770.0,4159.428571428572
31,4048.875,1770.0,3919.25
32,4132.75,1770.0,4003.125
33,3809.5555555555557,1770.0,3692.4444444444443
34,3264.0,1770.0,3159.2727272727275
35,3426.0,1770.0,3318.0
36,3437.5833333333335,1770.0,3325.1666666666665
37,3534.0,1770.0,3420.0
38,3675.3333333333335,1770.0,3552.0
39,3397.0,1770.0,3278.5
40,3126.25,35.0,3175.2
41,3106.1176470588234,35.0,3145.0
42,2946.315789473684,35.0,2966.6666666666665
43,3036.5263157894738,35.0,3060.0
44,2934.8571428571427,36.0,2940.25
45,2945.4545454545455,36.0,2946.4285714285716
46,2855.6666666666665,38.0,2839.217391304348
47,2922.5,39.0,2902.9565217391305
48,3033.0,39.0,3014.608695652174
49,3123.4,40.0,3097.0
50,3201.12,41.0,3170.6666666666665
51,3171.8076923076924,42.0,3134.08
52,3257.6923076923076,43.0,3216.0
53,3392.3076923076924,86.0,3323.2
54,3349.037037037037,88.0,3274.0384615384614
55,3317.1428571428573,66.0,3339.0
56,3375.3571428571427,67.5,3394.8076923076924
57,3460.285714285714,69.0,3478.0384615384614
58,3384.6206896551726,69.0,3394.4444444444443
59,3332.133333333333,70.5,3331.1428571428573
60,3425.0,70.5,3426.5714285714284
61,3456.7741935483873,75.0,3440.4827586206898
62,3485.75,76.5,3460.6
63,3344.0,78.0,3300.5757575757575
64,3229.864864864865,78.0,3178.9714285714285
65,3246.9473684210525,78.0,3193.6666666666665
66,3244.153846153846,78.0,3188.5945945945946
67,3381.5384615384614,78.0,3326.7567567567567
68,3392.7,78.0,3335.5263157894738
69,3447.025,79.5,3386.5789473684213
70,3473.170731707317,79.5,3410.25641025641
71,3510.1463414634145,79.5,3447.7948717948716
72,3442.953488372093,70.66666666666667,3441.275
73,3502.093023255814,72.0,3497.825
74,3470.6666666666665,73.33333333333333,3454.285714285714
