num_images,all,giraffes,zebras
2,1140.0,32.0,34680.0
3,2352.0,13.0,34680.0
4,1314.6666666666667,48.0,2760.0
5,3234.0,44.0,5250.0
6,1947.75,40.0,5984.0
7,2184.0,54.0,2514.6666666666665
8,1668.857142857143,31.0,1720.8333333333333
9,2496.0,93.0,2525.4
10,3166.6666666666665,96.0,3212.0
11,2471.1111111111113,74.0,2638.285714285714
12,2505.6,39.0,2455.777777777778
13,2037.5384615384614,240.0,1819.0833333333333
14,3141.3333333333335,120.0,3037.5
15,1564.5217391304348,53.333333333333336,1580.65
16,2966.6666666666665,110.0,2983.0
17,3069.8571428571427,130.0,3006.5833333333335
18,3086.1428571428573,88.0,2937.846153846154
19,3416.076923076923,100.0,3517.7272727272725
20,3662.4,141.0,3646.153846153846
21,2551.4210526315787,51.0,2513.823529411765
22,3370.1052631578946,142.5,3270.235294117647
23,2787.5416666666665,132.5,2650.909090909091
24,3387.222222222222,128.0,3438.9333333333334
25,2527.7241379310344,336.0,2267.5714285714284
26,3216.3636363636365,96.66666666666667,3265.2631578947367
27,3291.75,93.0,3729.722222222222
28,2869.714285714286,252.0,2612.076923076923
29,3364.0833333333335,88.5,3518.8
30,3551.2727272727275,132.0,3441.9
31,3474.8,132.0,3283.913043478261
32,3458.285714285714,131.25,3434.25
33,3836.5925925925926,149.33333333333334,3718.0416666666665
34,3295.8709677419356,181.33333333333334,3145.0
35,2862.6315789473683,172.5,2645.0
36,2844.9473684210525,112.0,2778.176470588235
37,3077.9411764705883,106.85714285714286,3298.222222222222
38,3178.9473684210525,106.5,2965.9444444444443
39,3210.7368421052633,100.0,3375.483870967742
40,4102.933333333333,213.0,3940.8518518518517
41,3353.5714285714284,182.5,3202.3684210526317
42,3080.0,168.75,2926.3636363636365
43,4316.896551724138,450.0,3908.25
44,3108.1063829787236,148.0,3004.2380952380954
45,3309.8863636363635,91.2,3287.846153846154
46,3009.391304347826,156.0,2866.285714285714
47,3573.439024390244,192.0,3392.657894736842
48,3290.4347826086955,219.0,3086.4883720930234
49,3288.021739130435,113.6,3247.1463414634145
50,3584.5714285714284,170.4,3540.4054054054054
51,3347.8260869565215,173.25,3200.190476190476
52,3338.081632653061,148.0,3242.909090909091
53,3181.037037037037,158.0,3061.1020408163267
54,3530.0,158.0,3343.6
55,3521.6,208.0,3302.2127659574467
56,4344.390243902439,152.0,4278.810810810811
57,3490.3207547169814,171.6,3389.0625
58,3251.6,256.6666666666667,3022.684210526316
59,2658.8823529411766,217.25,2463.25
60,3141.311475409836,156.0,3020.964285714286
61,3813.7090909090907,178.0,3614.9607843137255
62,3098.2131147540986,164.0,2988.4
63,2893.0,205.0,2684.171875
64,3379.8,176.0,3175.0
65,3759.5555555555557,164.0,3623.387755102041
66,3478.4761904761904,148.33333333333334,3377.315789473684
67,3260.46875,145.0,3157.551724137931
68,3253.3846153846152,158.4,3096.85
69,3268.855072463768,140.0,3161.873015873016
70,3650.1451612903224,187.0,3485.0526315789475
71,3542.8571428571427,142.28571428571428,3475.7678571428573
72,3325.7714285714287,232.5,3082.0
73,3458.985507246377,161.33333333333334,3324.4444444444443
74,2871.951219512195,189.2,2672.311688311688
