GID,ANNOTATION_ID
2640,[17208]
2778,[16901]
3430,[]
4365,[]
761,[14095]
4706,[]
197,[]
765,[14219]
3507,[12221]
1763,[14749]
1603,"[15834, 15835]"
2492,[14310]
628,[]
4585,"[18323, 18324, 18325, 18326, 18327, 18328, 18329]"
4318,[]
237,[]
605,[15393]
3484,[]
2794,[9970]
4603,[]
4600,[18007]
312,[9218]
1904,"[15829, 15830, 15831]"
3265,[12563]
3071,[]
1160,[13348]
1110,[]
4542,[]
4399,[]
974,[]
3242,"[12679, 12680]"
4123,[18045]
1626,"[14786, 14787]"
1152,[9266]
4916,[12483]
1290,[]
377,[13317]
3017,[17023]
2451,[14091]
3924,[]
1718,[]
3372,[12725]
4781,[18013]
1254,"[12778, 12779, 12780, 14223]"
4442,[10011]
1195,[13335]
2610,[13889]
3748,[]
2678,"[17281, 17282, 17283, 17284, 17285]"
1095,[9456]
1601,"[15175, 15176, 15177]"
2231,"[15294, 15295]"
432,[]
1930,[14016]
187,[]
2622,[16970]
1394,[]
330,[15523]
1323,"[12404, 12405, 12406, 12407]"
3240,[12524]
2268,[]
3804,[]
2997,[13888]
1726,[14704]
45,[13412]
1994,[14408]
3181,[]
450,"[16148, 16149]"
2800,[9972]
1080,[]
4605,[]
149,[9215]
2363,"[15180, 15181, 15182]"
1704,[]
1348,[]
699,[14098]
4923,[]
3002,"[16933, 16934, 16935, 16936]"
4966,[13003]
4116,[]
4930,[12453]
4953,"[13008, 13009]"
750,"[14251, 14252]"
4238,"[17958, 17959, 17960]"
2648,[]
1311,[]
4481,[]
2893,"[17202, 17203]"
2180,[14952]
3493,[12192]
4064,"[18119, 18120]"
3760,[]
4418,[17963]
1076,[]
2061,[9249]
413,"[16175, 16176]"
3241,[12616]
521,"[9363, 9364]"
3636,[]
484,[]
2612,[]
747,[14110]
2120,"[9208, 9209]"
4534,[]
4374,[]
1480,[14806]
4626,[]
445,[9377]
2694,[17172]
1363,[]
3702,[]
2074,[]
4302,[]
2160,"[9487, 9488]"
3044,[]
4643,[18063]
93,[]
1676,[14262]
2844,[13910]
2567,[16751]
3350,[12719]
915,[15656]
3499,"[12154, 12155, 12156]"
4580,[18071]
3728,[]
3624,[18686]
4856,[18245]
389,[13270]
1829,"[14610, 14611]"
4896,[12451]
4187,[]
3333,[]
3243,[12574]
529,[15410]
2238,[15249]
3775,[]
715,[14128]
3118,"[12575, 12576]"
4832,"[18527, 18528]"
3602,[18249]
3163,"[8980, 8981, 8982]"
3216,[8991]
4620,[18218]
290,[]
33,[13436]
2315,[14006]
2866,[16736]
313,[9176]
439,[9367]
3235,[12741]
1107,[]
3927,[]
578,[16179]
1259,[9671]
39,[13451]
4883,[]
3714,[]
1968,"[15365, 15366, 15367]"
550,[15401]
2607,[]
4470,"[17992, 17993]"
2516,[]
669,[]
324,[15572]
4715,[]
