num_images,all,giraffes,zebras
2,540.0,22.5,0.0
3,0.0,0.0,0.0
4,3922.0,0.0,3420.0
5,1256.0,32.0,1339.5
6,1901.25,34.5,3171.0
7,1809.3333333333333,48.0,2254.0
8,2592.0,69.0,2750.25
9,3696.0,0.0,3111.0
10,5036.25,96.0,5649.333333333333
11,4111.8,74.0,4462.5
12,2478.6666666666665,160.0,2363.375
13,4803.2,126.0,5146.5
14,2014.3846153846155,61.5,2031.2727272727273
15,3095.181818181818,63.333333333333336,3657.0
16,2830.5,88.0,2853.3333333333335
17,3655.4,168.0,3483.3333333333335
18,1706.4615384615386,60.0,1792.0
19,2389.6,106.0,2402.823529411765
20,3324.75,127.5,3265.714285714286
21,2509.5238095238096,61.0,2312.4
22,3490.6666666666665,90.0,3738.4166666666665
23,3351.3333333333335,153.0,3150.5882352941176
24,2553.4444444444443,81.66666666666667,2556.125
25,3551.294117647059,255.0,3317.0
26,3788.8,165.33333333333334,3780.0
27,3040.0,94.5,3114.6666666666665
28,3571.4285714285716,118.0,3616.9444444444443
29,2656.0588235294117,165.0,2512.9032258064517
30,3271.1724137931033,109.8,3409.5833333333335
31,5153.315789473684,245.0,4986.470588235294
32,3315.4074074074074,162.5,3132.48
33,2662.277777777778,100.5,2604.15625
34,3015.59375,154.0,2888.0689655172414
35,3383.53125,150.75,3356.25
36,3072.3513513513512,110.0,2952.705882352941
37,3317.5757575757575,140.0,3192.133333333333
38,3267.0,140.0,3073.0666666666666
39,2815.2,204.0,2613.9285714285716
40,3304.4594594594596,134.0,3185.294117647059
41,3490.457142857143,192.0,3336.53125
42,3672.0,163.2,3659.25
43,3451.6216216216217,111.0,3264.8
44,3666.157894736842,184.33333333333334,3476.5714285714284
45,4123.0,243.0,3843.0967741935483
46,3722.1,197.33333333333334,3514.054054054054
47,3676.5,149.6,3672.0
48,3725.268292682927,138.6,3697.4444444444443
49,3068.1132075471696,154.0,2951.6666666666665
50,2994.3396226415093,134.0,2881.469387755102
51,3936.6190476190477,209.0,3797.9210526315787
52,4464.972972972973,218.66666666666666,4259.588235294118
53,3249.037037037037,270.0,2993.9411764705883
54,3135.1186440677966,110.6,3026.9444444444443
55,3198.7636363636366,171.0,3050.392156862745
56,4042.5,260.0,3816.2926829268295
57,3706.274509803922,234.0,3466.9375
58,3267.0526315789475,138.33333333333334,3192.529411764706
59,3610.3076923076924,154.0,3499.1063829787236
60,3578.962962962963,204.0,3410.0
61,3284.983333333333,123.0,3208.3333333333335
62,3095.969696969697,206.4,2891.4590163934427
63,4969.179487179487,198.0,4952.911764705882
64,3160.0,161.57142857142858,3057.2903225806454
65,3231.030303030303,172.0,3085.3333333333335
66,3572.135593220339,222.75,3367.890909090909
67,3479.409836065574,231.0,3271.3333333333335
68,3763.3793103448274,151.2,3649.264150943396
69,3833.901960784314,180.4,3699.1304347826085
70,3569.1612903225805,174.0,3421.4912280701756
71,3630.3548387096776,165.28571428571428,3542.072727272727
72,3506.779411764706,172.0,3346.0
73,3480.985507246377,178.0,3327.5873015873017
74,3762.8888888888887,239.2,3560.7758620689656
