num_images,all,giraffes,zebras
2,940.0,69.0,0.0
3,1775.0,150.0,0.0
4,2697.0,165.0,0.0
5,1815.0,185.0,2044.0
6,1189.5,70.0,2720.0
7,1494.25,96.0,3367.0
8,1497.6,136.0,2100.0
9,1830.4,156.0,2666.0
10,2257.2,183.33333333333334,3360.5
11,2215.5,190.0,2720.6666666666665
12,2538.6666666666665,190.0,3228.6666666666665
13,2393.714285714286,209.0,2685.0
14,2728.0,227.33333333333334,3069.0
15,2445.3333333333335,195.0,2836.8
16,2780.4444444444443,198.0,3296.0
17,2793.0,204.0,3110.3333333333335
18,2818.909090909091,207.0,3021.4285714285716
19,2843.0833333333335,170.4,3353.4285714285716
20,2709.4285714285716,133.71428571428572,3752.1428571428573
21,2897.1428571428573,133.71428571428572,4066.0
22,2941.6666666666665,137.42857142857142,3906.0
23,2928.0,137.42857142857142,3731.1111111111113
24,2904.0,139.28571428571428,3558.1
25,2585.25,133.0,3095.5833333333335
26,2677.2,134.75,3213.6666666666665
27,2640.0,134.75,3091.846153846154
28,2662.7272727272725,138.25,3050.4285714285716
29,2785.090909090909,147.0,3216.0
30,2969.590909090909,150.5,3445.214285714286
31,2964.0,154.0,3379.6
32,3001.125,165.0,3357.0
33,3117.375,165.0,3505.75
34,3256.5,166.875,3686.0
35,3360.0,166.875,3825.0
36,3342.36,166.875,3745.529411764706
37,3177.1111111111113,166.875,3456.157894736842
38,3297.4444444444443,168.75,3628.8947368421054
39,3303.25,170.625,3590.5
40,3216.4,170.625,3420.681818181818
41,3331.3333333333335,170.625,3560.0
42,3373.0967741935483,170.625,3584.3478260869565
43,3506.516129032258,178.125,3728.0
44,3393.939393939394,180.0,3548.88
45,3498.909090909091,192.0,3651.48
46,3617.939393939394,192.0,3790.52
47,3740.4545454545455,192.0,3935.68
48,3636.5714285714284,192.0,3770.3703703703704
49,3546.9189189189187,192.0,3633.0
50,3411.9,192.0,3438.5
51,3345.5476190476193,192.0,3342.1176470588234
52,3428.095238095238,198.0,3433.676470588235
53,3424.5581395348836,198.0,3419.4857142857145
54,3441.8863636363635,177.77777777777777,3520.285714285714
55,3498.090909090909,177.77777777777777,3584.0
56,3495.5555555555557,177.77777777777777,3568.9444444444443
57,3527.822222222222,177.77777777777777,3606.777777777778
58,3515.217391304348,177.77777777777777,3580.5405405405404
59,3570.7608695652175,177.77777777777777,3643.027027027027
60,3503.5416666666665,170.0,3623.9473684210525
61,3323.076923076923,170.0,3377.1428571428573
62,3378.8076923076924,170.0,3439.8571428571427
63,3415.0,170.0,3479.904761904762
64,3352.6296296296296,170.0,3393.681818181818
65,3413.6666666666665,170.0,3460.2272727272725
66,3323.1964285714284,170.0,3344.8478260869565
67,3306.315789473684,170.0,3318.2127659574467
68,3306.206896551724,170.0,3312.0
69,3356.0172413793102,171.7,3362.4166666666665
70,3377.7586206896553,171.7,3386.25
71,3423.2758620689656,171.7,3437.1458333333335
72,3408.508474576271,171.7,3414.3061224489797
73,3399.15,171.7,3397.96
74,3454.5,171.7,3458.0
75,3445.245901639344,171.7,3441.9607843137255
