num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,3103.0,46.0,0.0
5,4521.0,18.0,0.0
6,1974.0,57.5,3150.0
7,1527.1666666666667,21.0,2009.25
8,3547.5,96.0,3948.0
9,2854.4,58.5,3904.0
10,2586.285714285714,78.0,2556.0
11,4288.0,111.0,4543.0
12,2998.375,82.0,3373.3333333333335
13,2763.0,92.0,2948.0
14,2221.846153846154,129.0,2086.0
15,2745.3333333333335,114.0,2707.6923076923076
16,3163.6363636363635,66.66666666666667,3722.375
17,2134.3888888888887,47.0,2102.0625
18,3502.0,108.0,3564.0
19,3139.785714285714,73.5,3190.0
20,4356.25,79.5,4584.0
21,2006.3076923076924,72.0,1973.3478260869565
22,2157.75,76.5,2189.0
23,4618.285714285715,255.0,4341.076923076923
24,3857.0666666666666,135.0,3850.846153846154
25,4012.0,152.5,3939.3571428571427
26,2764.8,96.66666666666667,2710.5
27,3096.72,128.0,2941.1304347826085
28,3109.8076923076924,150.0,2970.75
29,3448.1481481481483,140.0,3456.1739130434785
30,3776.782608695652,213.0,3433.181818181818
31,2867.3548387096776,228.0,2651.133333333333
32,2873.1,99.0,3023.4583333333335
33,2789.4166666666665,212.0,2565.0
34,3914.962962962963,126.0,4136.272727272727
35,3798.777777777778,155.0,3619.2
36,2692.3414634146343,183.0,2530.5789473684213
37,3607.25,97.5,3646.9285714285716
38,2917.3846153846152,127.8,2880.0
39,3569.823529411765,264.0,3341.8709677419356
40,3156.95,134.0,2922.5641025641025
41,3668.3636363636365,175.0,3604.310344827586
42,3575.5945945945946,182.0,3397.264705882353
43,3014.9148936170213,164.25,2891.9767441860463
44,2988.3488372093025,115.2,2970.9473684210525
45,3466.575,236.66666666666666,3242.5135135135133
46,3584.512195121951,140.0,3450.315789473684
47,3367.9523809523807,169.4,3286.4054054054054
48,3241.387755102041,296.0,2958.0
49,3551.9555555555557,182.5,3410.268292682927
50,4651.294117647059,158.0,4622.1
51,2866.8888888888887,167.2,2723.5714285714284
52,3436.8,200.0,3264.1304347826085
53,3332.2884615384614,231.0,3091.6
54,4181.860465116279,216.0,3964.8
55,3682.2,250.0,3454.468085106383
56,3167.836363636364,164.0,3045.2
57,3369.9056603773583,160.0,3218.061224489796
58,3423.1071428571427,146.66666666666666,3354.26
59,3101.2903225806454,163.16666666666666,2976.75
60,3770.530612244898,191.25,3600.9333333333334
61,3549.8245614035086,216.0,3320.5
62,3644.8,152.16666666666666,3550.795918367347
63,3743.0188679245284,217.5,3525.5102040816328
64,3479.4576271186443,136.0,3346.296296296296
65,3496.344827586207,170.0,3398.153846153846
66,3401.5333333333333,182.6,3246.5454545454545
67,3470.125,170.0,3309.322033898305
68,4041.3793103448274,231.4,3849.169811320755
69,3583.4754098360654,163.16666666666666,3459.4545454545455
70,3172.5,204.0,2989.089552238806
71,3600.4615384615386,239.25,3378.3606557377047
72,3800.7868852459014,172.0,3648.6785714285716
73,3330.7462686567164,143.5,3163.3333333333335
74,3236.56338028169,188.5,3082.153846153846
