num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,1872.0,0.0,1518.0
4,2356.0,46.0,3744.0
5,3074.5,19.0,5418.0
6,3698.0,52.0,6232.0
7,5346.0,54.0,8892.0
8,2675.2,68.0,2852.0
9,2322.714285714286,65.0,2679.6
10,2294.0,58.0,2304.0
11,3060.0,38.0,3126.3333333333335
12,2691.0,99.0,2639.0
13,3843.625,180.0,3680.1428571428573
14,3604.0,37.0,4054.4285714285716
15,2149.375,64.0,2233.0
16,3391.5,71.66666666666667,4140.0
17,5236.0,168.0,5185.285714285715
18,4255.2,192.0,4021.3333333333335
19,2482.7,120.0,2412.4444444444443
20,2208.6521739130435,73.33333333333333,2206.6
21,3556.8571428571427,228.0,3297.230769230769
22,2604.9,90.0,2752.25
23,3475.4736842105262,159.0,3390.5882352941176
24,2843.8260869565215,108.0,2941.8947368421054
25,2862.222222222222,216.0,2646.0
26,2866.769230769231,295.0,2616.44
27,2856.8928571428573,123.75,2830.8333333333335
28,2924.8518518518517,112.0,2881.5833333333335
29,2968.0714285714284,159.0,2808.0
30,3261.12,137.66666666666666,3198.4545454545455
31,2505.1428571428573,168.0,2368.8125
32,2448.8888888888887,99.0,2402.5
33,2973.34375,114.0,2889.0344827586205
34,3260.625,195.0,3037.0333333333333
35,3320.6666666666665,136.0,3219.259259259259
36,2495.214285714286,155.25,2376.4736842105262
37,2704.5,127.75,2581.5263157894738
38,3853.103448275862,157.5,3865.68
39,3820.78125,185.0,3609.9
40,2946.7804878048782,171.0,2815.0
41,3878.205882352941,205.33333333333334,3697.548387096774
42,3526.4615384615386,198.0,3363.657142857143
43,4166.5,152.0,4067.4074074074074
44,3025.931818181818,197.33333333333334,2836.0975609756097
45,3241.5652173913045,248.5,3016.340909090909
46,3126.6363636363635,127.75,3014.1
47,3208.6041666666665,156.0,3066.409090909091
48,3320.177777777778,178.66666666666666,3137.1428571428573
49,3033.509433962264,146.0,2936.1666666666665
50,4166.222222222223,243.0,3890.3823529411766
51,3140.923076923077,147.6,3027.1063829787236
52,3510.2608695652175,166.0,3344.0
53,3302.074074074074,216.0,3076.294117647059
54,4020.5,166.5,3896.6666666666665
55,3805.4545454545455,154.0,3673.6
56,3486.0,240.0,3258.5208333333335
57,3655.0,237.0,3415.021276595745
58,3536.1296296296296,192.0,3398.816326530612
59,4035.446808510638,154.0,4012.1951219512193
60,3162.4821428571427,155.83333333333334,3077.76
61,3455.3571428571427,364.5,3162.037037037037
62,3155.2,158.0,3008.633333333333
63,3323.9,146.66666666666666,3242.3703703703704
64,3318.6393442622953,168.0,3190.909090909091
65,3009.68115942029,184.8,2844.953125
66,3265.3125,145.71428571428572,3198.877192982456
67,3198.4411764705883,138.28571428571428,3107.2131147540986
68,3535.4615384615386,243.0,3284.3870967741937
69,3505.2903225806454,166.0,3331.862068965517
70,3234.2028985507245,261.0,2968.681818181818
71,3342.3478260869565,136.71428571428572,3255.2903225806454
72,3582.064516129032,162.0,3449.561403508772
73,3486.0454545454545,231.0,3280.4032258064517
74,3213.157894736842,157.5,3103.9411764705883
