num_images,all,giraffes,zebras
2,625.0,6.0,1056.0
3,2392.0,0.0,1911.0
4,2280.0,0.0,2071.0
5,6576.0,0.0,5244.0
6,1660.0,27.0,2336.0
7,1367.142857142857,25.0,1359.0
8,3926.6666666666665,96.0,4814.0
9,2098.285714285714,30.666666666666668,3136.25
10,2607.1428571428573,38.0,2676.0
11,2753.1428571428573,72.0,3215.4
12,3150.125,64.5,3572.0
13,2693.6,49.333333333333336,3293.5714285714284
14,3419.1111111111113,64.5,3745.714285714286
15,2406.153846153846,190.0,2240.25
16,2838.4615384615386,156.0,2646.0
17,2478.866666666667,125.0,2412.3076923076924
18,3240.4166666666665,80.0,3346.5
19,2892.777777777778,85.0,2944.266666666667
20,2722.5882352941176,104.0,2792.5714285714284
21,2462.2105263157896,102.0,2302.222222222222
22,2595.45,133.0,2568.3529411764707
23,2662.5652173913045,153.0,2520.190476190476
24,2645.7391304347825,91.2,2845.1111111111113
25,2610.153846153846,120.0,2626.909090909091
26,3095.6190476190477,78.66666666666667,3160.6666666666665
27,3153.92,165.0,3148.5714285714284
28,3169.92,113.33333333333333,3116.090909090909
29,3279.56,132.0,3442.8
30,2939.3548387096776,130.0,2811.4285714285716
31,2846.1111111111113,90.66666666666667,2752.5757575757575
32,3407.5862068965516,264.0,3119.714285714286
33,3233.2,142.0,3165.5
34,3252.516129032258,93.0,3304.0
35,3484.5333333333333,119.0,3519.8846153846152
36,3121.970588235294,165.66666666666666,2962.8387096774195
37,3168.2894736842104,107.2,3189.121212121212
38,2700.3658536585367,192.0,2514.4736842105262
39,3114.1666666666665,130.0,2960.176470588235
40,3684.5151515151515,148.0,3634.7586206896553
41,2878.5,162.5,2760.0
42,3455.1463414634145,164.25,3323.2432432432433
43,3286.4285714285716,110.0,3167.153846153846
44,2497.090909090909,153.0,2359.4117647058824
45,2769.9411764705883,142.0,2673.0
46,4184.108108108108,256.6666666666667,3936.823529411765
47,3865.076923076923,175.2,3817.0588235294117
48,3055.5,154.0,2883.6666666666665
49,3460.488888888889,187.5,3312.5365853658536
50,3585.913043478261,248.5,3335.0
51,3473.470588235294,171.0,3330.0
52,3470.4,152.0,3382.866666666667
53,3501.469387755102,246.0,3248.744680851064
54,2945.8333333333335,280.0,2700.8275862068967
55,3250.625,126.0,3102.403846153846
56,3234.9,140.4,3112.6545454545453
57,3724.4166666666665,258.0,3470.133333333333
58,3660.0,172.0,3584.088888888889
59,2724.0882352941176,164.0,2569.809523809524
60,3215.9166666666665,173.25,3040.1785714285716
61,3555.1666666666665,168.0,3345.176470588235
62,3846.3125,193.66666666666666,3649.8
63,3048.046875,243.0,2806.451612903226
64,3863.823529411765,158.0,3822.222222222222
65,3815.1923076923076,169.4,3727.127659574468
66,3440.9333333333334,197.16666666666666,3291.6666666666665
67,3250.0,226.66666666666666,3035.3684210526317
68,3582.0689655172414,182.25,3408.5925925925926
69,3476.6417910447763,188.5,3330.5409836065573
70,3151.6969696969695,193.6,2967.0819672131147
71,3989.7719298245615,174.0,3860.230769230769
72,4050.3396226415093,195.75,3873.469387755102
73,3835.2131147540986,179.83333333333334,3731.3818181818183
74,4120.357142857143,161.57142857142858,4099.3877551020405
