num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,1968.0,24.0,0.0
4,1720.5,33.0,2800.0
5,2415.0,68.0,3751.0
6,3157.0,68.0,5069.0
7,2107.0,42.0,3397.5
8,2457.0,44.0,4008.0
9,2928.75,62.5,4700.0
10,3568.5,82.5,5740.0
11,4318.0,97.5,7056.0
12,4265.8,100.0,5904.0
13,4150.0,100.0,5245.5
14,3501.75,105.0,3949.6666666666665
15,3551.1111111111113,112.5,3921.4285714285716
16,3826.1111111111113,120.0,4211.571428571428
17,4144.444444444444,120.0,4594.285714285715
18,4480.0,144.0,4942.857142857143
19,3907.6363636363635,150.0,4097.111111111111
20,3870.25,156.0,3985.2
21,4143.75,162.0,4267.2
22,4104.692307692308,168.0,4165.454545454545
23,4062.5,171.0,4080.0
24,4284.642857142857,174.0,4309.0
25,4444.642857142857,177.0,4473.0
26,4462.0,180.0,4450.384615384615
27,4629.333333333333,183.0,4621.153846153846
28,4549.375,183.0,4510.0
29,4828.125,195.0,4774.642857142857
30,4315.526315789473,195.0,4191.176470588235
31,4191.9,198.0,4044.8888888888887
32,4010.5454545454545,198.0,3839.85
33,3978.9565217391305,201.0,3795.4285714285716
34,4146.521739130435,201.0,3967.8571428571427
35,4072.7083333333335,201.0,3886.909090909091
36,4192.708333333333,207.0,3995.0
37,4333.291666666667,210.0,4136.454545454545
38,4278.84,210.0,4078.608695652174
39,4417.8,248.5,4187.04347826087
40,4141.714285714285,284.0,3877.8846153846152
41,4247.214285714285,284.0,3984.5384615384614
42,4230.896551724138,284.0,3969.0
43,4343.689655172414,292.0,4067.5555555555557
44,4435.862068965517,292.0,4160.222222222223
45,4520.620689655172,296.0,4239.444444444444
46,4688.275862068966,300.0,4400.111111111111
47,4753.862068965517,300.0,4466.666666666667
48,4733.433333333333,300.0,4444.285714285715
49,4672.258064516129,304.0,4375.724137931034
50,4800.774193548387,304.0,4504.310344827586
51,4605.636363636364,304.0,4308.387096774193
52,4736.0,312.0,4438.709677419355
53,4711.764705882353,312.0,4414.5
54,4793.705882352941,312.0,4496.25
55,4876.35294117647,316.0,4571.8125
56,5003.470588235294,316.0,4696.0625
57,4956.685714285714,324.0,4634.848484848485
58,4648.421052631579,328.0,4323.444444444444
59,4579.0,328.0,4256.27027027027
60,4512.725,328.0,4193.526315789473
61,4599.4,328.0,4278.473684210527
62,4560.463414634146,328.0,4240.0
63,4318.181818181818,328.0,4003.714285714286
64,4381.363636363636,332.0,4060.0
65,4439.227272727273,332.0,4116.666666666667
66,4509.181818181818,332.0,4184.523809523809
67,4454.8,332.0,4132.7441860465115
68,4477.733333333334,336.0,4150.2558139534885
69,4436.782608695652,336.0,4112.181818181818
70,4392.574468085107,336.0,4069.6444444444446
71,4355.9375,336.0,4034.782608695652
72,4310.306122448979,382.5,3969.8297872340427
73,4320.14,387.0,3974.8125
74,4379.36,387.0,4032.6666666666665
