num_images,all,giraffes,zebras
2,640.0,0.0,465.5
3,1271.0,0.0,913.5
4,999.0,24.0,1479.0
5,1316.25,28.0,2072.0
6,1766.25,64.0,2706.0
7,1825.8,82.5,2346.0
8,2127.6,90.0,2744.0
9,2376.0,95.0,3083.3333333333335
10,2820.2,102.5,3690.0
11,3380.0,107.5,4520.0
12,3151.0,110.0,3824.0
13,2972.5714285714284,117.5,3363.4
14,3442.1428571428573,117.5,3951.6
15,3852.0,122.5,4439.8
16,3696.0,125.0,4080.8333333333335
17,4022.25,125.0,4473.333333333333
18,4352.875,130.0,4845.333333333333
19,3784.2,137.5,3964.875
20,3931.2,137.5,4133.25
21,3220.769230769231,140.0,3213.6363636363635
22,3288.0,168.0,3263.5
23,3129.75,168.0,3064.0
24,3160.235294117647,142.33333333333334,3236.4285714285716
25,3377.176470588235,170.66666666666666,3443.1428571428573
26,3485.294117647059,176.0,3548.4285714285716
27,3701.176470588235,176.0,3786.6428571428573
28,3699.8888888888887,178.66666666666666,3750.733333333333
29,3902.3333333333335,178.66666666666666,3973.6666666666665
30,3677.8,178.66666666666666,3684.705882352941
31,3828.0,178.66666666666666,3847.764705882353
32,3677.590909090909,178.66666666666666,3654.6315789473683
33,3730.4347826086955,181.33333333333334,3687.75
34,3867.5652173913045,184.0,3827.85
35,4032.478260869565,186.66666666666666,3993.6
36,4146.521739130435,186.66666666666666,4115.9
37,3998.4,192.0,3919.409090909091
38,4162.08,219.0,4059.4545454545455
39,4314.72,222.0,4211.363636363636
40,4012.9285714285716,225.0,3864.0
41,3844.0,228.0,3672.074074074074
42,3598.4848484848485,228.0,3409.4666666666667
43,3291.9736842105262,228.0,3088.8
44,3407.4210526315787,228.0,3203.7714285714287
45,3444.6923076923076,231.0,3233.75
46,3432.825,231.0,3221.4324324324325
47,3498.0,231.0,3286.054054054054
48,3498.1463414634145,234.0,3278.7368421052633
49,3350.0,234.0,3128.2926829268295
50,3354.911111111111,234.0,3132.8571428571427
51,3430.222222222222,237.0,3201.5714285714284
52,3366.7021276595747,237.0,3137.2045454545455
53,3430.340425531915,237.0,3199.9545454545455
54,3489.7872340425533,237.0,3259.3636363636365
55,3453.061224489796,237.0,3222.782608695652
56,3516.408163265306,237.0,3286.1739130434785
57,3605.0,240.0,3369.521739130435
58,3540.078431372549,246.0,3295.0
59,3388.8888888888887,249.0,3146.0
60,3334.1785714285716,249.0,3092.5471698113206
61,3370.035714285714,249.0,3128.377358490566
62,3401.5178571428573,249.0,3159.735849056604
63,3367.0,249.0,3126.090909090909
64,3326.95,207.5,3129.6428571428573
65,3340.2622950819673,210.0,3138.1052631578946
66,3374.7049180327867,210.0,3172.9473684210525
67,3417.622950819672,231.0,3203.4210526315787
68,3426.3225806451615,231.0,3211.7586206896553
69,3482.451612903226,231.0,3268.137931034483
70,3516.7741935483873,231.0,3302.0689655172414
71,3498.5714285714284,231.0,3282.7118644067796
72,3524.4444444444443,231.0,3308.64406779661
73,3491.0153846153844,233.75,3270.032786885246
74,3496.181818181818,233.75,3274.8548387096776
75,3456.8507462686566,189.2,3283.7903225806454
