num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,336.0,4.0,0.0
8,384.0,4.0,0.0
9,414.0,5.0,0.0
10,456.0,5.0,0.0
11,640.0,5.0,0.0
12,688.0,5.0,0.0
13,744.0,6.0,0.0
14,468.0,11.0,784.0
15,481.5,11.0,808.0
16,504.0,12.0,848.0
17,585.0,12.0,999.0
18,605.0,13.0,1026.0
19,635.0,13.0,1080.0
20,640.0,13.0,1089.0
21,660.0,13.0,1125.0
22,690.0,14.0,1170.0
23,792.0,14.0,1360.0
24,836.0,14.0,1440.0
25,918.0,14.0,1595.0
26,1170.0,14.0,2072.0
27,1264.0,14.0,2250.0
28,1377.0,15.0,2448.0
29,1503.0,15.0,2686.0
30,1503.0,17.0,2686.0
31,1512.0,17.0,2703.0
32,1530.0,17.0,2737.0
33,1624.5,17.0,2916.0
34,1634.0,17.0,2934.0
35,1672.0,17.0,3006.0
36,1691.0,17.0,3042.0
37,1719.5,17.0,3096.0
38,1757.5,19.0,3168.0
39,1767.0,19.0,3186.0
40,1776.5,19.0,3204.0
41,1880.0,19.0,3401.0
42,2090.0,19.0,3801.0
43,2123.0,19.0,3864.0
44,2328.0,19.0,4255.0
45,2340.0,19.0,4278.0
46,2340.0,19.0,4278.0
47,2352.0,20.0,4278.0
48,2352.0,20.0,4278.0
49,2364.0,20.0,4301.0
50,2487.5,20.0,4536.0
51,2600.0,20.0,4750.0
52,2613.0,20.0,4775.0
53,2639.0,20.0,4825.0
54,2652.0,20.0,4850.0
55,2767.5,20.0,5070.0
56,2781.0,20.0,5096.0
57,2884.0,20.0,5292.0
58,2912.0,20.0,5346.0
59,2940.0,21.0,5373.0
60,2982.0,21.0,5454.0
61,2996.0,21.0,5481.0
62,2996.0,21.0,5481.0
63,3024.0,21.0,5535.0
64,3038.0,21.0,5562.0
65,3052.0,21.0,5589.0
66,3080.0,21.0,5643.0
67,3094.0,21.0,5670.0
68,3094.0,21.0,5670.0
69,3108.0,21.0,5697.0
70,3122.0,21.0,5724.0
71,3136.0,21.0,5751.0
72,3150.0,21.0,5778.0
73,3164.0,21.0,5805.0
74,3164.0,21.0,5805.0
