num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,1254.0,0.0,1040.0
19,1320.0,0.0,1100.0
20,1440.0,0.0,1210.0
21,1625.0,0.0,1368.0
22,1677.0,0.0,1416.0
23,1703.0,0.0,1440.0
24,2010.0,0.0,1722.0
25,2055.0,0.0,1764.0
26,2240.0,0.0,1935.0
27,2698.0,0.0,2358.0
28,2880.0,0.0,2508.0
29,3020.0,0.0,2641.0
30,3100.0,0.0,2717.0
31,3120.0,0.0,2736.0
32,1570.0,23.0,2736.0
33,1580.0,23.0,2755.0
34,1680.0,23.0,2940.0
35,1701.0,23.0,2980.0
36,1711.5,23.0,3000.0
37,1722.0,23.0,3020.0
38,1804.0,23.0,3171.0
39,1848.0,23.0,3255.0
40,1859.0,23.0,3276.0
41,1870.0,23.0,3297.0
42,1978.0,23.0,3498.0
43,2035.5,23.0,3608.0
44,2093.0,23.0,3718.0
45,2337.5,24.0,4152.0
46,2362.5,24.0,4200.0
47,2457.0,24.0,4375.0
48,2470.0,24.0,4400.0
49,2470.0,24.0,4400.0
50,2483.0,24.0,4425.0
51,2496.0,24.0,4450.0
52,2509.0,24.0,4475.0
53,2619.0,24.0,4680.0
54,2619.0,24.0,4680.0
55,2632.5,24.0,4706.0
56,2646.0,24.0,4732.0
57,2659.5,24.0,4758.0
58,2772.0,24.0,4968.0
59,2772.0,24.0,4968.0
60,2772.0,24.0,4968.0
61,2786.0,25.0,4968.0
62,2786.0,25.0,4968.0
63,2786.0,25.0,4968.0
64,2800.0,25.0,4995.0
65,2800.0,25.0,4995.0
66,2800.0,25.0,4995.0
67,2814.0,25.0,5022.0
68,2814.0,25.0,5022.0
69,2828.0,25.0,5049.0
70,2842.0,25.0,5076.0
71,2856.0,25.0,5103.0
72,2870.0,25.0,5130.0
73,2884.0,25.0,5157.0
74,2884.0,25.0,5157.0
