threshold,all,giraffes,zebras
40,3270.818181818182,196.0,3062.5631067961167
45,3034.8453608247423,197.16666666666666,2821.230769230769
50,3050.425531914894,197.16666666666666,2836.5
55,2916.88,225.5,2685.5774647887324
60,2853.4520547945203,225.5,2620.4347826086955
65,3443.5263157894738,175.0,3316.235294117647
70,3288.676470588235,157.5,3170.733333333333
75,2524.125,133.33333333333334,2489.846153846154
80,2056.153846153846,133.33333333333334,2038.4
85,1079.875,105.0,1018.3333333333334
90,1266.5,102.0,1316.25
