num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,1800.0,40.0,0.0
4,3210.0,0.0,2523.0
5,2112.0,32.0,3534.0
6,1668.3333333333333,30.0,2112.0
7,2478.0,20.0,3321.0
8,4728.5,74.0,7755.0
9,3480.3333333333335,24.0,8823.0
10,2855.25,0.0,2396.25
11,1385.75,45.0,1460.6
12,2706.285714285714,38.0,3283.2
13,3214.8,34.0,3570.0
14,2280.0,31.0,2275.0
15,1788.923076923077,50.666666666666664,1980.0
16,2664.5,78.0,3013.0
17,6324.0,144.0,8112.5
18,2589.2727272727275,90.0,2718.222222222222
19,3804.3333333333335,102.0,3700.125
20,2228.5384615384614,210.0,2061.1666666666665
21,4007.1111111111113,90.0,3972.0
22,8316.8,162.0,8965.0
23,2922.8571428571427,70.5,2988.0
24,3459.5384615384614,212.0,3251.8333333333335
25,2697.5882352941176,105.0,2809.285714285714
26,2558.75,100.0,2592.6428571428573
27,4711.222222222223,172.0,4717.0
28,3258.9333333333334,73.5,3349.3846153846152
29,3398.6923076923076,156.0,3424.0
30,2656.625,110.0,2647.6428571428573
31,3372.285714285714,98.0,3434.6666666666665
32,3441.0,176.0,3328.6
33,3310.6666666666665,102.5,3510.0
34,3900.714285714286,133.0,4232.727272727273
35,2636.6521739130435,102.0,2727.8947368421054
36,3618.133333333333,81.66666666666667,3946.25
37,3076.65,149.33333333333334,3096.176470588235
38,2706.8333333333335,122.66666666666667,2718.285714285714
39,3556.0,141.75,3753.0666666666666
40,2508.6666666666665,94.0,2518.190476190476
41,3108.0,138.0,2979.75
42,3528.0,156.0,3505.5
43,3331.9,125.33333333333333,3424.0
44,3031.0,80.0,3366.5882352941176
45,3782.625,73.5,3906.8571428571427
46,3924.6315789473683,60.0,3938.823529411765
47,3413.277777777778,106.0,3566.6666666666665
48,2821.090909090909,128.0,2813.0526315789475
49,3615.4285714285716,155.0,3586.3333333333335
50,3855.6,195.0,3666.8333333333335
51,2884.8275862068967,127.5,2751.777777777778
52,3580.6666666666665,88.33333333333333,3895.5
53,3911.4,77.5,4569.818181818182
54,3367.2,174.0,3119.2105263157896
55,2845.5652173913045,342.0,2531.4545454545455
56,4713.428571428572,290.0,4446.153846153846
57,2730.0,112.0,2671.4285714285716
58,6745.0,116.0,7400.25
59,2398.0,70.66666666666667,2387.1739130434785
60,2576.0,104.0,2548.2
61,6956.333333333333,145.0,7871.0
62,6080.454545454545,392.0,5781.0
63,3157.0,94.0,3286.125
64,4224.888888888889,125.33333333333333,4426.8
65,2860.3142857142857,121.5,2812.9032258064517
66,4706.6,132.5,5153.125
67,2329.6296296296296,107.33333333333333,2285.375
68,3046.695652173913,128.25,3114.9473684210525
69,4577.0,97.5,4606.875
70,2766.0,171.5,2690.206896551724
71,3381.8214285714284,142.33333333333334,3302.4
72,3752.0,168.0,3725.714285714286
73,2744.6666666666665,104.0,2722.5
74,3162.076923076923,106.0,3027.75
