num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,46.0,0.0,44.0
5,81.0,0.0,78.0
6,160.0,0.0,155.0
7,164.0,0.0,156.0
8,276.0,0.0,264.0
9,357.0,0.0,343.0
10,392.0,0.0,378.0
11,457.5,0.0,435.0
12,472.5,0.0,450.0
13,528.0,0.0,504.0
14,586.5,0.0,561.0
15,620.5,0.0,586.5
16,450.0,0.0,426.0
17,475.0,0.0,449.6666666666667
18,540.0,0.0,513.3333333333334
19,595.0,0.0,567.0
20,667.0,0.0,628.6666666666666
21,674.6666666666666,0.0,636.3333333333334
22,690.0,0.0,636.3333333333334
23,697.6666666666666,0.0,636.3333333333334
24,720.6666666666666,0.0,659.3333333333334
25,743.6666666666666,0.0,674.6666666666666
26,784.0,0.0,712.0
27,784.0,0.0,712.0
28,833.3333333333334,0.0,758.3333333333334
29,841.6666666666666,0.0,766.6666666666666
30,875.3333333333334,0.0,797.3333333333334
31,909.0,0.0,828.0
32,909.0,0.0,828.0
33,976.3333333333334,0.0,889.3333333333334
34,995.6666666666666,0.0,899.0
35,1005.3333333333334,0.0,908.6666666666666
36,1040.0,0.0,940.0
37,1074.6666666666667,0.0,971.3333333333334
38,1120.0,0.0,1013.3333333333334
39,1120.0,0.0,1013.3333333333334
40,1155.0,0.0,1045.0
41,1166.0,0.0,1056.0
42,1177.0,0.0,1067.0
43,1188.0,0.0,1078.0
44,1199.0,0.0,1089.0
45,1246.6666666666667,0.0,1133.3333333333333
46,1306.6666666666667,0.0,1190.0
47,1318.3333333333333,0.0,1201.6666666666667
48,1318.3333333333333,0.0,1201.6666666666667
49,1368.0,0.0,1248.0
50,1418.3333333333333,0.0,1295.0
51,1430.6666666666667,0.0,1307.3333333333333
52,1430.6666666666667,0.0,1307.3333333333333
53,1469.3333333333333,0.0,1342.6666666666667
54,1521.0,0.0,1355.3333333333333
55,1534.0,0.0,1368.0
56,1547.0,0.0,1380.6666666666667
57,1547.0,0.0,1380.6666666666667
58,1560.0,0.0,1393.3333333333333
59,1573.0,0.0,1406.0
60,1626.6666666666667,0.0,1456.0
61,1681.0,0.0,1506.6666666666667
62,1763.0,0.0,1582.0
63,1386.0,0.0,1247.0
64,1397.0,0.0,1257.75
65,1419.0,0.0,1279.25
66,1473.75,0.0,1331.0
67,1506.5,0.0,1361.25
68,1518.0,0.0,1372.5
69,1529.5,0.0,1383.75
70,1541.0,0.0,1395.0
71,1598.0,0.0,1449.0
72,1598.0,0.0,1449.0
73,1656.0,0.0,1504.0
74,1668.0,0.0,1515.75
