num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,2492.0,40.0,0.0
4,1610.0,52.0,1800.0
5,2380.0,66.0,2646.0
6,1872.0,54.0,2299.0
7,2499.2,78.0,3082.0
8,3009.6,84.0,3768.0
9,3635.4,115.0,4550.0
10,3700.6666666666665,125.0,4214.0
11,3504.8571428571427,132.5,3738.0
12,3547.625,132.5,3680.0
13,3566.6666666666665,168.0,3549.4285714285716
14,3503.0,152.0,3825.0
15,3403.6363636363635,152.0,3610.625
16,3264.6666666666665,157.33333333333334,3361.1111111111113
17,3192.5384615384614,162.66666666666666,3209.2
18,3515.076923076923,186.0,3534.3
19,3558.214285714286,192.0,3539.4545454545455
20,3479.8,195.0,3413.3333333333335
21,3630.6666666666665,195.0,3580.6666666666665
22,3750.6,198.0,3707.0
23,3682.25,207.0,3628.3076923076924
24,3647.764705882353,207.0,3590.0
25,3837.176470588235,210.0,3789.5
26,3660.5789473684213,177.5,3759.2
27,3855.5263157894738,182.5,3982.4
28,3797.9,182.5,3888.5
29,4013.75,185.0,4120.0
30,3682.608695652174,195.0,3678.2105263157896
31,3510.16,171.6,3612.0
32,3363.6296296296296,171.6,3408.7272727272725
33,3443.1111111111113,173.8,3491.4545454545455
34,3333.7586206896553,173.8,3340.875
35,3482.4827586206898,176.0,3495.9166666666665
36,3622.6206896551726,180.4,3642.5
37,3372.1875,166.0,3437.923076923077
38,3339.3939393939395,168.0,3381.0
39,3451.0,182.0,3487.5185185185187
40,3436.764705882353,184.16666666666666,3453.3214285714284
41,3523.764705882353,186.33333333333334,3542.0
42,3607.0588235294117,190.66666666666666,3620.5714285714284
43,3732.4117647058824,190.66666666666666,3758.6428571428573
44,3679.5714285714284,190.66666666666666,3689.0
45,3687.8333333333335,190.66666666666666,3687.4
46,3561.6315789473683,190.66666666666666,3531.9375
47,3531.2820512820513,190.66666666666666,3491.878787878788
48,3534.55,190.66666666666666,3487.705882352941
49,3628.125,190.66666666666666,3589.676470588235
50,3706.4,190.66666666666666,3675.764705882353
51,3714.268292682927,190.66666666666666,3676.6
52,3663.5714285714284,178.0,3695.2
53,3631.0697674418607,178.0,3650.0
54,3626.4772727272725,178.0,3636.0
55,3559.021739130435,180.0,3540.6666666666665
56,3508.0851063829787,180.0,3478.775
57,3577.7872340425533,180.0,3553.5
58,3622.6666666666665,180.0,3595.609756097561
59,3591.8367346938776,180.0,3555.0
60,3573.36,180.0,3529.4186046511627
61,3546.9607843137255,182.0,3490.909090909091
62,3540.576923076923,182.0,3479.4222222222224
63,3583.173076923077,182.0,3524.4444444444443
64,3557.5849056603774,184.0,3486.782608695652
65,3586.9056603773583,184.0,3518.8695652173915
66,3603.1111111111113,184.0,3530.021276595745
67,3520.714285714286,184.0,3435.4285714285716
68,3530.1785714285716,184.0,3445.714285714286
69,3603.6428571428573,199.28571428571428,3504.1632653061224
70,3431.733333333333,199.28571428571428,3310.188679245283
71,3470.6666666666665,199.28571428571428,3350.566037735849
72,3457.7868852459014,199.28571428571428,3335.0
73,3411.936507936508,176.25,3337.7090909090907
74,3425.126984126984,176.25,3352.0545454545454
75,3450.7301587301586,176.25,3379.2
