num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,2522.0,34.0,0.0
4,3630.0,0.0,3190.0
5,1750.0,25.0,4200.0
6,2200.5,66.0,2516.0
7,1739.0,45.0,2346.6666666666665
8,3536.0,52.5,8575.0
9,3149.0,74.0,4263.0
10,3309.8,28.0,3729.0
11,2525.25,60.0,3262.0
12,3296.285714285714,78.0,3792.0
13,3295.125,82.0,3266.4285714285716
14,3516.875,73.33333333333333,4752.0
15,1787.6666666666667,111.0,1672.9411764705883
16,2241.764705882353,92.0,2314.1428571428573
17,2638.235294117647,51.0,2591.4666666666667
18,2100.0,112.0,1894.6666666666667
19,3476.5,150.0,3429.5
20,2847.222222222222,90.0,2820.8125
21,2524.7272727272725,232.0,2279.9523809523807
22,3726.6666666666665,168.0,3474.3571428571427
23,3259.157894736842,236.0,2970.3333333333335
24,3442.7368421052633,270.0,3177.222222222222
25,3977.6470588235293,156.0,3933.6
26,4606.5,98.0,5299.25
27,3901.0,312.0,3597.3529411764707
28,3396.521739130435,128.0,3374.85
29,3644.4545454545455,152.5,3486.6
30,3149.3928571428573,130.66666666666666,3108.6
31,2887.266666666667,122.5,2867.5
32,3420.1785714285716,140.0,3312.96
33,2999.6774193548385,104.4,3089.9615384615386
34,3550.3846153846152,108.5,3667.6363636363635
35,2845.5384615384614,106.5,2872.5454545454545
36,3004.3783783783783,108.0,3023.59375
37,3318.787878787879,128.0,3368.75
38,3053.5,158.66666666666666,2907.3939393939395
39,3579.7714285714287,432.0,3230.1470588235293
40,2678.6976744186045,92.4,2652.0263157894738
41,3237.7297297297296,178.66666666666666,3086.8823529411766
42,3592.2162162162163,128.0,3504.735294117647
43,3260.7619047619046,152.0,3134.342105263158
44,3281.2,216.0,3045.9473684210525
45,3196.390243902439,109.5,3120.0
46,3139.2083333333335,162.8,3026.6511627906975
47,3430.904761904762,155.25,3322.0
48,3548.8636363636365,156.0,3478.5897435897436
49,3562.0,124.2,3538.125
50,3939.4871794871797,133.2,3963.3529411764707
51,3893.5227272727275,186.75,3724.75
52,2989.673076923077,154.0,2899.3695652173915
53,3580.8695652173915,182.25,3403.404761904762
54,3192.6792452830186,219.0,2967.0
55,3482.7,177.75,3316.478260869565
56,3303.823529411765,187.5,3154.3829787234044
57,3433.326923076923,166.0,3213.5510204081634
58,3158.137931034483,207.5,2943.0
59,2867.265625,160.2,2703.406779661017
60,3582.549019607843,157.5,3424.5106382978724
61,3169.285714285714,180.0,2972.7457627118642
62,3664.8888888888887,164.0,3531.7551020408164
63,3508.8,168.0,3407.5
64,3607.3928571428573,168.75,3459.2884615384614
65,3359.75,138.33333333333334,3277.5555555555557
66,3496.5,123.2,3419.0
67,3255.5223880597014,103.2,3135.8870967741937
68,3171.1384615384613,160.0,3031.5
69,3320.909090909091,168.0,3154.2622950819673
70,3560.0,175.5,3433.5263157894738
71,3504.0,146.66666666666666,3382.3333333333335
72,3560.7903225806454,158.4,3416.7719298245615
73,3539.705882352941,163.16666666666666,3397.5
74,3753.8360655737706,252.0,3510.0344827586205
