num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,739.5,33.0,785.3333333333334
4,1717.0,34.0,2848.0
5,979.2,18.0,1039.5
6,2560.6666666666665,62.0,6048.0
7,1350.0,54.0,1606.5
8,1723.4285714285713,48.0,2024.0
9,2001.625,144.0,1899.0
10,3379.2,152.0,3518.5
11,1820.0,64.0,1849.3333333333333
12,2931.5,60.0,3291.6666666666665
13,2775.2727272727275,69.0,2872.6666666666665
14,2640.0,80.0,2745.6
15,2916.0,94.0,2783.9
16,3540.0,80.0,3498.0
17,2332.8888888888887,81.66666666666667,2389.3333333333335
18,2797.5,152.5,2676.285714285714
19,3770.6666666666665,77.0,4895.625
20,2685.3333333333335,165.0,2457.0
21,3188.25,132.5,3136.0
22,3286.764705882353,91.66666666666667,3437.1428571428573
23,5896.0,94.0,6413.333333333333
24,3264.0,280.0,2995.45
25,2800.4166666666665,58.0,2717.4545454545455
26,2934.6666666666665,56.0,3118.8
27,2520.5,132.75,2482.6666666666665
28,3278.8076923076924,97.5,3361.090909090909
29,2895.1785714285716,177.0,2793.0
30,3602.375,98.33333333333333,3648.3809523809523
31,4235.142857142857,157.5,4425.882352941177
32,3475.862068965517,130.0,3474.4
33,3578.3333333333335,192.0,3377.714285714286
34,2821.885714285714,192.0,2622.0
35,3038.0,136.0,2896.3636363636365
36,3654.9375,132.0,3548.2758620689656
37,3398.25,116.8,3448.296296296296
38,3118.076923076923,116.66666666666667,3176.7272727272725
39,3202.5,172.5,2977.8947368421054
40,3881.121212121212,189.33333333333334,3726.4
41,3663.0,150.75,3635.1
42,3677.0588235294117,200.0,3564.0
43,3590.2702702702704,172.5,3399.7714285714287
44,2939.7727272727275,234.0,2706.7619047619046
45,2855.6862745098038,156.0,2688.340425531915
46,3225.0,202.66666666666666,3028.682926829268
47,3714.731707317073,316.0,3432.0263157894738
48,3622.3636363636365,468.0,3274.3720930232557
49,3318.5454545454545,156.0,3222.051282051282
50,3395.1304347826085,129.6,3349.756097560976
51,2906.1052631578946,131.66666666666666,2825.4117647058824
52,3308.076923076923,158.0,3154.3541666666665
53,3064.9824561403507,132.0,3009.8823529411766
54,3521.8076923076924,100.0,3529.5652173913045
55,3778.574468085106,150.0,3657.2558139534885
56,3837.4285714285716,280.0,3576.255319148936
57,3499.7924528301887,236.5,3276.734693877551
58,3253.5,166.0,3072.72
59,3399.2631578947367,120.0,3367.6470588235293
60,3228.3508771929824,152.16666666666666,3136.0
61,3214.8387096774195,154.0,3090.214285714286
62,3544.655172413793,161.33333333333334,3454.673076923077
63,3445.2131147540986,236.5,3206.754385964912
64,3556.6666666666665,129.6,3449.890909090909
65,3336.6666666666665,155.83333333333334,3215.4
66,3370.90625,186.75,3192.9
67,3678.4137931034484,193.6,3505.0
68,3514.5,135.0,3446.1666666666665
69,3098.1176470588234,162.0,2918.625
70,3342.6417910447763,151.66666666666666,3203.1311475409834
71,3145.945945945946,206.4,2939.608695652174
72,3562.5454545454545,138.33333333333334,3473.3
73,3747.8709677419356,240.0,3486.4406779661017
74,3166.3333333333335,189.2,2980.285714285714
