num_images,all,giraffes,zebras
2,336.0,0.0,336.0
3,476.0,0.0,469.0
4,689.3333333333334,0.0,682.0
5,933.3333333333334,0.0,925.0
6,1450.6666666666667,0.0,1429.3333333333333
7,1884.0,0.0,1836.0
8,1770.0,0.0,1720.0
9,1604.4,0.0,1545.6
10,1908.0,0.0,1827.0
11,2133.8,0.0,2039.8
12,1770.4285714285713,0.0,1683.0
13,1755.625,0.0,1676.125
14,1931.875,0.0,1849.375
15,2227.25,0.0,2146.125
16,2308.375,0.0,2219.875
17,2445.0,0.0,2347.5
18,2760.0,0.0,2656.0
19,3009.0,0.0,2898.5
20,3448.5,0.0,3325.0
21,3420.0,0.0,3258.0
22,3449.6,0.0,3291.2
23,3120.3333333333335,0.0,2959.3333333333335
24,2843.214285714286,0.0,2693.9285714285716
25,2955.4285714285716,0.0,2797.714285714286
26,3128.5714285714284,0.0,2964.285714285714
27,2966.6666666666665,0.0,2813.3333333333335
28,3070.4,0.0,2915.5333333333333
29,3293.0666666666666,0.0,3116.4
30,3192.75,36.0,3188.6
31,3155.764705882353,36.0,3142.6875
32,3138.4444444444443,37.0,3111.764705882353
33,3131.5789473684213,38.0,3094.222222222222
34,3249.0526315789475,39.0,3213.222222222222
35,3366.315789473684,39.0,3334.6666666666665
36,3542.6315789473683,39.0,3514.0
37,3701.5789473684213,40.0,3669.3333333333335
38,3821.0526315789475,40.0,3791.722222222222
39,4045.1052631578946,42.0,4004.4444444444443
40,3933.0,44.0,3872.0526315789475
41,4125.1,46.0,4051.8947368421054
42,3854.5,46.0,3773.1428571428573
43,3827.7391304347825,47.0,3737.0454545454545
44,3727.04,47.0,3630.2916666666665
45,3493.25,47.0,3391.5555555555557
46,3465.103448275862,48.0,3357.5
47,3564.0,48.0,3455.75
48,3469.935483870968,48.0,3455.310344827586
49,3587.1612903225805,50.0,3576.103448275862
50,3526.5151515151515,53.0,3487.9032258064517
51,3615.090909090909,81.0,3552.967741935484
52,3590.529411764706,82.5,3520.0
53,3781.6176470588234,112.0,3687.875
54,3883.0,142.5,3765.125
55,3859.714285714286,142.5,3739.242424242424
56,3916.8,145.0,3791.0
57,3975.8,145.0,3851.151515151515
58,4075.0857142857144,145.0,3950.5454545454545
59,4029.75,147.5,3897.1176470588234
60,4122.027777777777,147.5,3989.1176470588234
61,4202.5,147.5,4070.5882352941176
62,4240.166666666667,150.0,4102.764705882353
63,4119.5,150.0,3978.0
64,4063.102564102564,150.0,3919.5675675675675
65,4122.615384615385,152.5,3975.2432432432433
66,4214.153846153846,152.5,4067.027027027027
67,4236.102564102564,152.5,4089.6216216216217
68,4292.307692307692,152.5,4145.864864864865
69,4354.410256410257,152.5,4208.189189189189
70,4220.5609756097565,152.5,4070.769230769231
71,4282.975609756098,152.5,4134.128205128205
72,4357.317073170731,152.5,4208.205128205128
73,4225.953488372093,152.5,4073.829268292683
74,4297.674418604651,152.5,4145.170731707317
