num_images,all,giraffes,zebras
2,1104.0,28.0,0.0
3,1089.0,42.0,1395.0
4,1783.5,69.0,2432.0
5,1598.0,58.0,3139.0
6,2080.0,66.0,4176.0
7,2687.3333333333335,68.0,5670.0
8,3564.0,72.0,7812.0
9,3177.25,74.0,4757.0
10,2865.0,78.0,3597.3333333333335
11,3381.2,80.0,4350.0
12,3758.4,84.0,4876.666666666667
13,4165.0,84.0,5481.0
14,3414.4285714285716,92.0,3755.8
15,3276.0,94.0,3465.3333333333335
16,2851.2,94.0,2861.875
17,2500.6153846153848,122.5,2359.6363636363635
18,2712.0,122.5,2606.090909090909
19,2891.076923076923,132.5,2759.2727272727275
20,3167.230769230769,162.0,3026.181818181818
21,3387.230769230769,162.0,3261.090909090909
22,3141.133333333333,168.0,2956.153846153846
23,3190.875,199.5,2971.4285714285716
24,3322.25,210.0,3078.5
25,3403.235294117647,162.66666666666666,3351.4285714285716
26,3340.1666666666665,165.33333333333334,3257.3333333333335
27,3315.7894736842104,170.66666666666666,3199.625
28,3105.1428571428573,195.0,2928.0
29,3304.4761904761904,236.66666666666666,3108.0
30,3438.3809523809523,236.66666666666666,3253.1666666666665
31,3594.8571428571427,240.0,3408.5
32,3159.64,240.0,2930.181818181818
33,3158.076923076923,246.66666666666666,2940.0
34,3157.777777777778,250.0,2928.75
35,3125.3793103448274,206.25,2985.92
36,3048.0,167.2,2998.769230769231
37,3069.6875,156.0,3111.846153846154
38,2963.1176470588234,156.0,2970.5
39,3029.823529411765,158.0,3039.1071428571427
40,3033.8,158.0,3033.7241379310344
41,3137.1428571428573,158.0,3147.8275862068967
42,3219.0,160.0,3230.896551724138
43,3227.3333333333335,160.0,3230.5
44,3271.75,160.0,3279.733333333333
45,3143.358974358974,144.0,3200.0
46,3083.4146341463415,144.0,3114.0
47,3198.048780487805,144.0,3239.5
48,3183.279069767442,145.71428571428572,3198.0
49,3228.75,145.71428571428572,3240.5405405405404
50,3180.9565217391305,147.42857142857142,3170.6153846153848
51,3245.478260869565,147.42857142857142,3242.076923076923
52,3334.782608695652,150.85714285714286,3328.846153846154
53,3326.936170212766,150.85714285714286,3314.2
54,3310.0,150.85714285714286,3281.5714285714284
55,3253.176470588235,150.85714285714286,3210.2727272727275
56,3290.705882352941,154.28571428571428,3245.4545454545455
57,3345.176470588235,154.28571428571428,3302.7954545454545
58,3341.076923076923,146.25,3355.0
59,3410.1923076923076,146.25,3430.0
60,3480.0,146.25,3505.818181818182
61,3511.698113207547,147.875,3528.0
62,3497.4074074074074,147.875,3506.304347826087
63,3540.222222222222,149.5,3547.8260869565215
64,3453.7678571428573,149.5,3442.7291666666665
65,3506.8571428571427,149.5,3499.1666666666665
66,3499.5087719298244,149.5,3486.204081632653
67,3422.4,149.5,3388.846153846154
68,3448.6666666666665,149.5,3417.0
69,3459.2131147540986,149.5,3423.0943396226417
70,3514.5737704918033,149.5,3481.603773584906
71,3522.0967741935483,161.0,3472.759259259259
72,3501.2380952380954,161.0,3447.2
73,3509.625,161.0,3452.285714285714
74,3522.876923076923,161.0,3462.8070175438597
75,3581.5384615384614,161.0,3524.561403508772
