num_images,all,giraffes,zebras
2,80.0,0.0,76.0
3,441.0,0.0,420.0
4,445.5,0.0,429.0
5,728.0,0.0,686.0
6,893.3333333333334,0.0,840.0
7,1188.3333333333333,0.0,1127.0
8,1344.0,0.0,1256.0
9,1550.0,0.0,1433.3333333333333
10,2144.0,0.0,1994.6666666666667
11,2543.3333333333335,0.0,2356.6666666666665
12,2223.0,0.0,2071.0
13,2394.0,0.0,2242.0
14,2870.25,0.0,2687.5
15,2585.2,0.0,2428.8
16,2149.285714285714,23.0,2308.3333333333335
17,2099.25,24.0,2210.8571428571427
18,2052.0,25.0,2128.0
19,2191.1111111111113,25.0,2280.0
20,2426.4444444444443,52.0,2485.375
21,2618.0,54.0,2684.0
22,2633.1,58.0,2665.0
23,2534.181818181818,58.0,2546.0
24,2742.5454545454545,60.0,2765.0
25,2886.0,64.0,2916.0
26,3141.2727272727275,64.0,3184.4
27,2832.153846153846,33.0,3083.6363636363635
28,2956.076923076923,33.0,3225.2727272727275
29,3013.5384615384614,33.0,3291.5454545454545
30,2868.0,33.0,3095.5
31,3051.214285714286,51.0,3255.0
32,3282.5,74.0,3458.25
33,3384.285714285714,76.0,3571.3333333333335
34,3248.8,76.0,3395.6923076923076
35,3375.6666666666665,78.0,3528.0
36,3613.3333333333335,80.0,3788.3076923076924
37,3609.375,84.0,3758.6428571428573
38,3731.625,84.0,3891.9285714285716
39,3877.5,84.0,4050.714285714286
40,3997.0,84.0,4181.142857142857
41,3565.4736842105262,88.0,3643.294117647059
42,3557.4,90.0,3614.0
43,3409.090909090909,94.0,3424.3
44,3137.28,98.0,3108.695652173913
45,3255.84,100.0,3225.0
46,3403.08,102.0,3371.2608695652175
47,3472.08,102.0,3443.217391304348
48,3384.3333333333335,112.0,3324.88
49,3274.551724137931,114.0,3198.962962962963
50,3192.0,114.0,3108.0
51,3247.548387096774,150.0,3128.4137931034484
52,3372.967741935484,150.0,3254.896551724138
53,3537.8709677419356,150.0,3421.5172413793102
54,3312.4,152.5,3180.6060606060605
55,3410.5142857142855,152.5,3279.2727272727275
56,3446.5833333333335,155.0,3308.470588235294
57,3535.0,157.5,3391.9117647058824
58,3478.135135135135,157.5,3333.942857142857
59,3504.6315789473683,160.0,3353.527777777778
60,3466.6923076923076,160.0,3315.3513513513512
61,3528.0,165.0,3366.7027027027025
62,3608.6153846153848,165.0,3446.864864864865
63,3698.871794871795,167.5,3530.9189189189187
64,3620.829268292683,167.5,3452.2051282051284
65,3513.860465116279,167.5,3344.1951219512193
66,3489.659090909091,167.5,3319.0476190476193
67,3376.608695652174,170.0,3202.2954545454545
68,3331.063829787234,170.0,3157.9333333333334
69,3339.6458333333335,175.0,3157.5652173913045
70,3360.0,175.0,3177.5
71,3362.8571428571427,175.0,3179.468085106383
72,3282.3529411764707,175.0,3100.408163265306
73,3188.1296296296296,177.5,3003.230769230769
74,3201.910714285714,180.0,3011.5555555555557
