num_images,all,giraffes,zebras
2,598.5,40.0,703.0
3,1215.0,66.0,1593.0
4,1266.6666666666667,52.0,2516.0
5,1677.5,50.0,4600.0
6,1713.6,53.333333333333336,3016.0
7,2184.0,70.0,3872.0
8,1943.4285714285713,70.0,2520.0
9,1894.6666666666667,74.0,2158.0
10,1776.0,80.0,2080.0
11,2046.8181818181818,90.0,2411.1428571428573
12,2248.6363636363635,92.0,2682.714285714286
13,2159.846153846154,80.0,2673.75
14,2031.4666666666667,81.6,2342.4
15,2252.6666666666665,84.8,2615.9
16,2315.625,89.6,2659.6363636363635
17,2394.0,94.4,2682.5
18,2548.1176470588234,94.4,2881.5
19,2521.5,94.4,2804.230769230769
20,2499.8947368421054,94.4,2737.0
21,2641.0526315789475,96.0,2901.8571428571427
22,2406.4347826086955,91.5,2635.294117647059
23,2508.4583333333335,94.5,2717.222222222222
24,2597.9166666666665,97.5,2810.6666666666665
25,2629.846153846154,99.0,2798.5
26,2746.769230769231,99.0,2935.3
27,2772.0,100.5,2912.590909090909
28,2956.25,105.0,3116.2727272727275
29,2995.862068965517,106.5,3133.391304347826
30,3077.0,109.5,3230.608695652174
31,3180.4137931034484,133.83333333333334,3312.8695652173915
32,3138.8333333333335,133.83333333333334,3248.0
33,3111.0967741935483,148.0,3175.04
34,3121.65625,148.0,3173.8076923076924
35,3143.6363636363635,150.0,3178.777777777778
36,3229.6060606060605,152.0,3268.3333333333335
37,3137.1428571428573,152.0,3144.137931034483
38,3156.3333333333335,144.85714285714286,3240.4137931034484
39,3181.837837837838,144.85714285714286,3273.2
40,3096.153846153846,146.71428571428572,3149.4375
41,3115.125,146.71428571428572,3161.181818181818
42,3220.95,148.57142857142858,3271.030303030303
43,3300.0,148.57142857142858,3359.5151515151515
44,3244.1190476190477,148.57142857142858,3279.542857142857
45,3238.953488372093,150.42857142857142,3260.0833333333335
46,3172.9555555555557,156.0,3162.7631578947367
47,3203.8695652173915,156.0,3189.5384615384614
48,3262.0,156.0,3252.6666666666665
49,3287.744680851064,156.0,3273.75
50,3342.127659574468,156.0,3333.5
51,3213.76,157.85714285714286,3171.860465116279
52,3235.2156862745096,157.85714285714286,3188.5227272727275
53,3237.0,157.85714285714286,3186.3333333333335
54,3207.5471698113206,150.5,3202.133333333333
55,3265.132075471698,150.5,3264.0
56,3325.9622641509436,150.5,3331.1555555555556
57,3391.9811320754716,157.5,3382.6222222222223
58,3439.0943396226417,157.5,3434.4
59,3472.9056603773583,159.25,3466.8
60,3478.222222222222,161.0,3461.9565217391305
61,3473.672727272727,153.33333333333334,3511.695652173913
62,3551.0,153.33333333333334,3595.8478260869565
63,3652.3636363636365,153.33333333333334,3706.4347826086955
64,3700.3818181818183,153.33333333333334,3760.021739130435
65,3733.818181818182,153.33333333333334,3797.086956521739
66,3714.75,153.33333333333334,3769.276595744681
67,3699.3684210526317,153.33333333333334,3744.4166666666665
68,3707.5862068965516,153.33333333333334,3745.714285714286
69,3731.7241379310344,155.0,3767.4285714285716
70,3740.135593220339,165.33333333333334,3755.24
71,3740.5666666666666,165.33333333333334,3749.3333333333335
72,3799.0,167.11111111111111,3806.8627450980393
73,3861.2,167.11111111111111,3873.176470588235
74,3894.0,167.11111111111111,3909.0196078431372
75,3918.5833333333335,167.11111111111111,3936.470588235294
