num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,2592.0,0.0,2520.0
8,1701.0,0.0,1638.0
9,2093.0,0.0,1925.0
10,1962.3333333333333,0.0,1782.6666666666667
11,2561.3333333333335,0.0,2321.0
12,2858.3333333333335,0.0,2606.6666666666665
13,3194.3333333333335,0.0,2904.0
14,3653.3333333333335,0.0,3341.0
15,4171.0,0.0,3836.0
16,4646.0,0.0,4275.0
17,3116.4,0.0,2870.4
18,2856.0,29.0,3150.0
19,2692.285714285714,30.0,2888.5
20,2715.0,31.0,2857.285714285714
21,2779.3333333333335,33.0,2876.25
22,2838.0,34.0,2941.25
23,2977.777777777778,37.0,3069.0
24,3097.777777777778,37.0,3199.25
25,2449.5,37.0,2460.3636363636365
26,2586.0,38.0,2601.181818181818
27,2476.3846153846152,40.0,2466.0
28,2648.3076923076924,42.0,2631.25
29,2768.6428571428573,44.0,2731.230769230769
30,2948.5714285714284,44.0,2916.153846153846
31,3105.0,44.0,3073.923076923077
32,3303.4285714285716,44.0,3276.4615384615386
33,3292.8,44.0,3256.4285714285716
34,3035.294117647059,45.0,2982.375
35,3214.4444444444443,45.0,3154.5882352941176
36,3082.0,45.0,3012.0
37,3159.0,45.0,3089.2631578947367
38,3125.714285714286,45.0,3052.35
39,3145.090909090909,45.0,3069.1428571428573
40,3253.090909090909,45.0,3178.5714285714284
41,3160.375,45.0,3080.4347826086955
42,3171.2916666666665,45.0,3091.7391304347825
43,3283.0,46.0,3197.782608695652
44,2970.0,46.0,2877.814814814815
45,2923.2413793103447,47.0,2825.035714285714
46,2924.1666666666665,47.0,2905.964285714286
47,2882.3225806451615,49.0,2850.206896551724
48,2964.0,49.0,2930.0
49,3046.71875,50.0,3009.0
50,3150.125,51.0,3109.6
51,3073.235294117647,76.5,3006.09375
52,2992.9166666666665,78.0,2916.0
53,3134.222222222222,104.0,3038.823529411765
54,3182.2702702702704,112.0,3076.342857142857
55,3171.2105263157896,112.0,3064.3333333333335
56,3143.974358974359,118.0,3022.2972972972975
57,3148.6,120.0,3021.315789473684
58,3145.0,120.0,3016.6666666666665
59,3168.0,122.0,3034.0
60,3162.7272727272725,122.0,3026.285714285714
61,3159.2,128.0,3009.2558139534885
62,3213.3333333333335,130.0,3058.5116279069766
63,3260.6666666666665,132.0,3101.6046511627906
64,3275.5434782608695,134.0,3110.931818181818
65,3313.913043478261,136.0,3144.7727272727275
66,3389.872340425532,136.0,3218.6
67,3417.75,138.0,3241.304347826087
68,3490.3125,140.0,3309.1304347826085
69,3345.3333333333335,142.0,3162.0
70,3410.5882352941176,142.0,3226.8979591836733
71,3474.1960784313724,142.0,3289.2244897959185
72,3439.923076923077,142.0,3255.8
73,3398.490566037736,142.0,3215.0588235294117
74,3425.962962962963,180.0,3222.6923076923076
