num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,1287.0,0.0,1120.0
7,2240.0,0.0,1980.0
8,2703.0,0.0,2368.0
9,1681.5,14.0,2934.0
10,2000.0,17.0,3477.0
11,2484.0,18.0,4356.0
12,2679.5,18.0,4730.0
13,2940.0,18.0,5221.0
14,3287.5,18.0,5880.0
15,2100.0,20.0,2513.3333333333335
16,2270.75,21.0,2720.0
17,2371.5,21.0,2850.0
18,2720.0,22.0,3278.0
19,2905.0,23.0,3502.0
20,2584.0,25.0,3780.0
21,2878.2,27.0,4225.0
22,3212.0,27.0,4746.0
23,3393.0,27.0,5031.0
24,3023.6666666666665,27.0,4050.0
25,3275.0,28.0,4392.0
26,3604.0,28.0,4857.75
27,3999.5,48.0,5332.5
28,4422.5,49.5,5916.0
29,4672.5,49.5,6270.0
30,5103.166666666667,51.0,6864.0
31,5370.5,54.0,7210.5
32,5724.0,54.0,7710.75
33,6022.5,54.0,8137.5
34,6312.5,60.0,8514.0
35,5812.142857142857,60.0,7341.6
36,5325.75,86.0,6301.166666666667
37,5540.25,86.0,6570.166666666667
38,5156.666666666667,88.0,5901.428571428572
39,5284.222222222223,90.0,6044.571428571428
40,5465.777777777777,90.0,6264.0
41,5108.6,98.0,5663.125
42,5211.0,98.0,5783.5
43,5440.5,98.0,6052.0
44,5712.0,98.0,6371.0
45,5443.454545454545,108.0,5901.111111111111
46,5193.083333333333,108.0,5538.7
47,5434.0,112.0,5800.0
48,5618.0,118.0,5997.6
49,5449.2307692307695,150.0,5679.545454545455
50,5574.153846153846,150.0,5816.909090909091
51,5124.6,150.0,5238.153846153846
52,5360.0,150.0,5493.461538461538
53,5162.125,150.0,5248.285714285715
54,4818.944444444444,122.0,5106.2
55,4476.3,128.0,4637.823529411765
56,4372.9047619047615,112.0,4726.588235294118
57,4397.857142857143,113.75,4748.470588235294
58,4503.0,115.5,4862.117647058823
59,4615.714285714285,115.5,4992.0
60,4332.0,115.5,4598.789473684211
61,4425.217391304348,115.5,4704.0
62,4331.0,115.5,4569.75
63,4403.208333333333,115.5,4651.2
64,4285.44,117.25,4488.380952380952
65,4060.962962962963,119.0,4194.173913043478
66,4110.555555555556,119.0,4248.695652173913
67,4022.4285714285716,119.0,4136.0
68,4114.285714285715,119.0,4236.375
69,4207.142857142857,119.0,4337.916666666667
70,4367.964285714285,120.75,4506.25
71,4412.714285714285,120.75,4555.166666666667
72,4483.448275862069,122.5,4607.28
73,4429.6,122.5,4532.7692307692305
74,4436.612903225807,122.5,4525.037037037037
