num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,1233.0,0.0,1206.0
7,1705.0,0.0,1661.0
8,2088.0,0.0,2016.0
9,2613.0,0.0,2535.0
10,3390.0,0.0,3270.0
11,3952.0,0.0,3792.0
12,4716.0,0.0,4536.0
13,6720.0,0.0,6480.0
14,3762.5,0.0,3637.5
15,4056.0,0.0,3913.0
16,4401.0,0.0,4252.5
17,5235.0,0.0,5055.0
18,5956.5,0.0,5758.5
19,4351.666666666667,0.0,4200.0
20,3561.25,0.0,3422.5
21,4151.25,0.0,3997.5
22,3696.0,0.0,3555.2
23,3625.0,0.0,3491.6666666666665
24,3171.0,0.0,3052.0
25,3444.125,0.0,3318.75
26,3607.5,0.0,3480.0
27,3850.875,0.0,3709.125
28,3589.4444444444443,0.0,3452.222222222222
29,3592.6,0.0,3450.6
30,3715.2,0.0,3571.2
31,3572.181818181818,34.0,3723.0
32,2859.8,35.0,2902.714285714286
33,2794.5,35.0,2826.6666666666665
34,2830.0,38.0,2840.25
35,3033.529411764706,39.0,3042.6875
36,3012.1666666666665,39.0,3014.3529411764707
37,3074.1666666666665,39.0,3079.294117647059
38,3138.5555555555557,39.0,3145.5882352941176
39,3237.315789473684,40.0,3233.3333333333335
40,3339.3684210526317,41.0,3332.0
41,3135.0,41.0,3114.8
42,3301.1428571428573,42.0,3277.8
43,3479.714285714286,42.0,3457.8
44,3599.1428571428573,43.0,3572.8
45,3433.0434782608695,45.0,3386.090909090909
46,3498.478260869565,45.0,3452.7272727272725
47,3734.2608695652175,46.0,3683.0
48,3740.625,46.0,3684.521739130435
49,3802.25,46.0,3747.1304347826085
50,3731.84,47.0,3667.5
51,3435.285714285714,49.0,3377.185185185185
52,3436.9310344827586,73.5,3451.8888888888887
53,3539.2413793103447,100.0,3527.3333333333335
54,3603.0344827586205,100.0,3592.777777777778
55,3677.5862068965516,100.0,3669.5555555555557
56,3725.1666666666665,104.0,3702.285714285714
57,3759.5806451612902,104.0,3733.2413793103447
58,3843.2258064516127,112.0,3797.448275862069
59,3818.125,114.0,3762.0333333333333
60,3732.242424242424,114.0,3671.8387096774195
61,3705.705882352941,118.0,3631.84375
62,3770.1176470588234,120.0,3691.875
63,3742.457142857143,120.0,3660.3636363636365
64,3818.4,124.0,3728.242424242424
65,3757.2432432432433,126.0,3655.0
66,3739.0789473684213,106.66666666666667,3711.942857142857
67,3721.0,106.66666666666667,3689.3888888888887
68,3805.846153846154,108.33333333333333,3771.4444444444443
69,3845.4871794871797,108.33333333333333,3812.5
70,3848.65,108.33333333333333,3810.7567567567567
71,3948.75,108.33333333333333,3912.9189189189187
72,3771.7441860465115,108.33333333333333,3719.625
73,3847.3953488372094,108.33333333333333,3796.65
74,3801.818181818182,108.33333333333333,3746.3414634146343
