num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,4693.0,0.0,4541.0
12,5830.0,0.0,5654.0
13,3404.0,0.0,3312.0
14,2835.0,0.0,2754.0
15,3340.0,0.0,3240.0
16,3701.3333333333335,0.0,3594.6666666666665
17,3085.5,0.0,3000.5
18,3496.5,0.0,3404.0
19,3763.5,0.0,3646.5
20,3362.0,0.0,3255.4
21,3460.4,0.0,3353.8
22,3723.8,0.0,3603.4
23,3375.0,0.0,3262.5
24,2817.5,0.0,2725.625
25,3127.0,0.0,3021.0
26,2886.0,0.0,2790.0
27,2976.8,0.0,2873.1
28,2818.181818181818,0.0,2722.3636363636365
29,2672.25,0.0,2577.75
30,2832.9166666666665,0.0,2730.0
31,2970.3333333333335,0.0,2864.25
32,3065.6666666666665,0.0,2958.0
33,2898.0,0.0,2797.153846153846
34,2497.5,0.0,2412.0
35,2365.842105263158,0.0,2286.842105263158
36,2348.0,33.0,2353.05
37,2530.1428571428573,33.0,2538.8
38,2584.285714285714,33.0,2594.35
39,2689.904761904762,34.0,2698.15
40,2761.809523809524,35.0,2766.75
41,2784.090909090909,36.0,2780.6666666666665
42,2699.4583333333335,36.0,2782.090909090909
43,2662.1153846153848,36.0,2728.5
44,2857.3076923076924,38.0,2923.875
45,2956.5,38.0,3028.3333333333335
46,2932.5185185185187,39.0,2992.8
47,2983.814814814815,40.0,3042.0
48,3090.6666666666665,41.0,3148.8
49,3123.0,41.0,3176.3076923076924
50,3089.655172413793,41.0,3136.0
51,3169.310344827586,42.0,3214.222222222222
52,3141.6,44.0,3171.0714285714284
53,3144.1935483870966,66.0,3145.2413793103447
54,3108.1875,66.0,3104.3333333333335
55,3183.96875,67.5,3177.866666666667
56,3270.4375,67.5,3266.5
57,3237.818181818182,69.0,3224.8064516129034
58,3212.0,70.5,3190.6875
59,3313.0588235294117,72.0,3289.5625
60,3274.285714285714,73.5,3242.909090909091
61,3298.0555555555557,73.5,3263.529411764706
62,3392.6111111111113,76.5,3350.735294117647
63,3452.864864864865,79.5,3399.4
64,3445.4736842105262,79.5,3389.3333333333335
65,3390.153846153846,79.5,3331.2162162162163
66,3262.285714285714,79.5,3196.0
67,3165.909090909091,79.5,3096.0
68,3236.3636363636365,79.5,3166.6666666666665
69,3293.181818181818,82.5,3215.5
70,3383.090909090909,82.5,3305.404761904762
71,3379.8695652173915,76.0,3348.6046511627906
72,3410.086956521739,76.0,3379.6279069767443
73,3467.608695652174,76.0,3438.0
74,3555.391304347826,77.33333333333333,3523.5813953488373
