num_images,all,giraffes,zebras
2,444.0,0.0,325.0
3,728.3333333333334,42.0,830.0
4,840.0,25.5,1309.5
5,1092.0,28.5,1476.0
6,1554.8,44.0,2086.0
7,1805.8333333333333,52.0,2205.75
8,1878.5,64.0,2037.3333333333333
9,2210.75,66.0,2426.6666666666665
10,2454.375,68.0,2713.1666666666665
11,2475.0,87.5,2627.4285714285716
12,2523.0,90.0,2624.0
13,2536.3636363636365,76.0,2877.0
14,2640.0,78.0,2930.0
15,2829.75,82.0,3141.3333333333335
16,2931.923076923077,86.0,3187.8
17,3164.6153846153848,86.0,3463.2
18,3111.4285714285716,90.0,3337.4545454545455
19,3280.0,94.0,3517.2727272727275
20,3510.0,94.0,3784.090909090909
21,3344.0625,102.0,3474.0
22,3343.0588235294117,106.0,3424.714285714286
23,3479.4117647058824,114.0,3587.1428571428573
24,3465.3888888888887,116.0,3539.0666666666666
25,3428.6315789473683,118.0,3469.375
26,3377.7,118.0,3395.4117647058824
27,3613.5,128.0,3631.764705882353
28,3787.5,130.0,3811.764705882353
29,3838.095238095238,134.0,3832.6111111111113
30,4002.6666666666665,158.66666666666666,3976.3333333333335
31,4163.0,161.0,4149.444444444444
32,3900.3478260869565,161.0,3838.65
33,3767.2,165.66666666666666,3660.090909090909
34,3802.8846153846152,194.66666666666666,3659.478260869565
35,3643.9285714285716,164.25,3605.4166666666665
36,3757.0,164.25,3726.7083333333335
37,3757.4137931034484,168.75,3703.04
38,3721.3,150.0,3780.72
39,3519.030303030303,150.0,3523.035714285714
40,3627.212121212121,150.0,3640.5714285714284
41,3712.121212121212,154.0,3720.0
42,3778.818181818182,158.0,3780.0714285714284
43,3777.6176470588234,173.8,3767.310344827586
44,3894.0,173.8,3893.3793103448274
45,3772.8888888888887,173.8,3742.8387096774195
46,3658.4210526315787,176.0,3600.0
47,3642.846153846154,162.0,3660.4848484848485
48,3605.9,166.0,3606.235294117647
49,3598.243902439024,166.0,3590.4285714285716
50,3486.409090909091,168.0,3442.6315789473683
51,3439.1304347826085,168.0,3380.875
52,3434.553191489362,168.0,3371.439024390244
53,3446.1666666666665,168.0,3378.1428571428573
54,3480.4375,168.0,3414.5714285714284
55,3524.625,168.0,3461.809523809524
56,3559.2708333333335,168.0,3498.6666666666665
57,3639.7708333333335,168.0,3582.8571428571427
58,3639.877551020408,168.0,3577.813953488372
59,3635.8,168.0,3568.5
60,3576.980769230769,168.0,3497.5652173913045
61,3561.3207547169814,168.0,3478.2127659574467
62,3585.0377358490564,170.0,3502.978723404255
63,3623.0943396226417,170.0,3543.2127659574467
64,3593.6296296296296,170.0,3508.3125
65,3621.9444444444443,170.0,3538.0
66,3521.40350877193,170.0,3422.529411764706
67,3544.2105263157896,172.0,3442.0588235294117
68,3585.2631578947367,172.0,3484.470588235294
69,3591.0,174.0,3481.730769230769
70,3523.9,174.0,3406.5555555555557
71,3599.05,176.0,3478.777777777778
72,3535.0806451612902,176.0,3408.4285714285716
73,3430.0923076923077,176.0,3294.508474576271
74,3493.0461538461536,190.66666666666666,3346.5423728813557
