num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,2652.0,0.0,2587.0
11,3136.0,0.0,3024.0
12,3660.0,0.0,3540.0
13,4386.0,0.0,4250.0
14,2679.0,0.0,2584.0
15,2869.0,0.0,2774.0
16,3349.5,0.0,3244.5
17,2456.6666666666665,0.0,2376.0
18,2848.0,0.0,2760.0
19,3481.3333333333335,0.0,3360.0
20,3779.6666666666665,0.0,3654.0
21,4030.0,0.0,3890.0
22,3320.0,0.0,3208.0
23,3655.0,0.0,3536.0
24,4134.75,0.0,4005.25
25,3755.6,0.0,3632.6
26,3939.6,0.0,3813.6
27,3622.5,0.0,3502.5
28,3944.0,0.0,3808.0
29,4116.0,0.0,3969.0
30,4377.5,0.0,4224.5
31,4168.0,0.0,4024.0
32,4517.714285714285,0.0,4366.0
33,3633.3333333333335,29.0,3886.625
34,3782.0,30.0,4042.5
35,3948.0,30.0,4223.75
36,4187.333333333333,31.0,4476.875
37,4074.0,32.0,4301.0
38,3861.818181818182,33.0,4032.8
39,3843.5833333333335,33.0,3986.5454545454545
40,4015.8333333333335,35.0,4155.272727272727
41,3358.8,35.0,3417.1428571428573
42,3014.705882352941,37.0,3042.5625
43,3160.0,38.0,3186.75
44,2945.684210526316,38.0,3090.9411764705883
45,2821.3333333333335,39.0,2927.3684210526317
46,2802.5,39.0,2896.95
47,2783.478260869565,40.0,2863.5714285714284
48,2775.0,40.0,2846.4545454545455
49,2938.0,40.0,3018.2727272727275
50,3049.5,41.0,3130.909090909091
51,3031.6,42.0,3099.1304347826085
52,3105.230769230769,64.5,3135.75
53,3163.5,64.5,3196.75
54,3142.4814814814813,66.0,3164.48
55,3261.777777777778,67.5,3283.2
56,3311.259259259259,69.0,3329.92
57,3245.535714285714,72.0,3247.076923076923
58,3320.1428571428573,73.5,3319.3846153846152
59,3320.1724137931033,73.5,3313.777777777778
60,3393.793103448276,75.0,3384.814814814815
61,3440.8,102.0,3397.8571428571427
62,3518.6666666666665,108.0,3463.1428571428573
63,3540.8064516129034,108.0,3481.2413793103447
64,3495.4545454545455,108.0,3428.6451612903224
65,3357.0285714285715,108.0,3282.909090909091
66,3436.4,108.0,3363.6363636363635
67,3414.75,90.0,3417.6969696969695
68,3339.4324324324325,90.0,3335.0588235294117
69,3294.0,90.0,3279.5555555555557
70,3437.5384615384614,108.0,3406.5
71,3557.5897435897436,108.0,3530.1944444444443
72,3646.358974358974,108.0,3621.9444444444443
73,3573.6585365853657,110.0,3534.9473684210525
74,3515.0,110.0,3468.125
