num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,2223.0,0.0,2184.0
9,2744.0,0.0,2688.0
10,3150.0,0.0,3075.0
11,3792.0,0.0,3680.0
12,4335.0,0.0,4216.0
13,5225.0,0.0,5073.0
14,2930.0,0.0,2840.0
15,3060.0,0.0,2970.0
16,3564.0,0.0,3454.0
17,2760.0,0.0,2680.0
18,3198.0,0.0,3102.6666666666665
19,3692.6666666666665,0.0,3586.3333333333335
20,4000.0,0.0,3880.0
21,3177.5,0.0,3076.75
22,2961.0,0.0,2870.0
23,3263.4,0.0,3167.2
24,3864.0,0.0,3754.8
25,3603.3333333333335,0.0,3488.3333333333335
26,4046.0,0.0,3918.5
27,4365.0,0.0,4230.0
28,4446.0,0.0,4302.0
29,4072.0,0.0,3936.0
30,4308.571428571428,0.0,4167.714285714285
31,3612.5555555555557,0.0,3497.3333333333335
32,3673.5555555555557,0.0,3558.3333333333335
33,3885.0,0.0,3766.0
34,3590.4,0.0,3475.2
35,3316.3636363636365,0.0,3211.6363636363635
36,3269.6666666666665,0.0,3167.6666666666665
37,3406.6666666666665,0.0,3301.6666666666665
38,3318.6923076923076,0.0,3212.0
39,3385.714285714286,33.0,3480.0
40,3299.4,34.0,3371.4285714285716
41,3228.75,35.0,3281.266666666667
42,2848.1052631578946,35.0,2866.6666666666665
43,3017.3684210526317,35.0,3040.0
44,2925.714285714286,36.0,2930.75
45,2857.090909090909,36.0,2857.1428571428573
46,3020.818181818182,38.0,3014.285714285714
47,3020.521739130435,39.0,3005.7272727272725
48,3037.5,39.0,3019.2608695652175
49,3149.625,40.0,3127.8260869565215
50,3155.6,41.0,3125.5
51,3114.0,42.0,3076.32
52,3226.153846153846,43.0,3184.44
53,3282.4074074074074,64.5,3313.52
54,3250.285714285714,66.0,3269.230769230769
55,3335.5714285714284,66.0,3358.3846153846152
56,3384.6428571428573,67.5,3404.576923076923
57,3448.1071428571427,69.0,3465.846153846154
58,3402.9655172413795,69.0,3413.703703703704
59,3437.793103448276,69.0,3449.6666666666665
60,3507.862068965517,70.5,3517.1111111111113
61,3696.896551724138,75.0,3696.3703703703704
62,3573.548387096774,78.0,3550.0
63,3317.6857142857143,78.0,3273.939393939394
64,3298.1666666666665,78.0,3250.9411764705883
65,3364.324324324324,78.0,3314.942857142857
66,3308.9736842105262,78.0,3256.5555555555557
67,3350.0789473684213,78.0,3297.777777777778
68,3365.6923076923076,79.5,3306.5945945945946
69,3339.0,79.5,3278.2894736842104
70,3384.048780487805,79.5,3321.5384615384614
71,3424.3809523809523,81.0,3355.625
72,3493.4883720930234,90.0,3469.5
73,3548.6511627906975,91.66666666666667,3521.7
74,3545.2272727272725,110.0,3496.0
