ANNOTATION_ID,NID,NAME,SPECIES,SEX,AGE_MONTHS,EXEMPLAR_FLAG,IMAGE_QUALITY,IMAGE_YAW
4,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
5,5,5,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
6,6,-6,lion,UNKNOWN SEX,infant,0,UNKNOWN,,
7,7,-7,sheep_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
8,8,8,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
9,9,9,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
10,10,-10,lion,UNKNOWN SEX,infant,0,UNKNOWN,,
11,45,45,antelope,UNKNOWN SEX,infant,0,UNKNOWN,,
12,45,45,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
13,13,13,sheep_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
14,14,14,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
15,838,838,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
16,-16,____,zebra_grevys,UNKNOWN NAME,infant,0,UNKNOWN,,
17,-17,____,zebra_grevys,UNKNOWN NAME,infant,0,UNKNOWN,,
18,15,15,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
19,411,411,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
20,17,17,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
21,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
22,19,19,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
23,20,-23,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
24,21,21,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
25,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
26,23,23,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
27,24,-27,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
28,25,25,giraffe_reticulated,UNKNOWN SEX,infant,0,UNKNOWN,,
29,26,26,lion,UNKNOWN SEX,infant,0,UNKNOWN,,
30,27,27,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
31,27,27,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
32,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
33,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
34,30,-34,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
35,31,-35,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
36,32,32,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
37,33,33,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
38,34,34,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
39,3,3,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
40,35,-40,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
41,36,-41,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
42,37,-42,giraffe_reticulated,UNKNOWN SEX,infant,0,UNKNOWN,,
43,38,38,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
44,39,39,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
45,40,-45,cow_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
46,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
47,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
48,43,43,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
49,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
50,44,44,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
51,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
52,1183,-1549,lion,UNKNOWN SEX,infant,0,UNKNOWN,,
53,47,47,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
54,48,48,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
55,49,49,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
56,408,-505,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
57,51,-57,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
58,52,-58,cow_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
59,53,-59,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
60,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
61,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
62,56,-62,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
63,57,57,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
64,58,-64,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
65,59,59,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
66,60,60,sheep_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
67,870,-1114,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
68,33,33,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
69,59,59,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
70,321,321,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
71,63,-71,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
72,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
73,65,65,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
74,66,-74,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
75,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
76,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
77,69,69,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
78,70,-78,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
79,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
80,799,-1018,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
81,74,74,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
82,74,74,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
83,75,75,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
84,76,76,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
85,77,-85,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
86,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
87,79,79,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
88,80,-88,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
89,81,-89,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
90,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
91,83,83,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
92,503,-629,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
93,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
94,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
95,86,-95,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
96,87,-96,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
97,88,-97,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
98,89,89,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
99,90,-99,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
100,1239,-1629,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
